No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-01.tif;6514;74.189438;205.564937;61.368434;168.881074;2.935798;2.751921;0.363383;0.290801;2067.000000;0.931640;490.221000;0.682542;9.782693e-02;9.652662e-01
2;M-11783-x40-01.tif;1832;156.197052;481.105895;25.560409;184.008967;7.817197;7.198984;0.138908;0.068890;1806.000000;0.990305;424.222000;0.627562;8.421622e-02;9.638079e-01
3;M-11783-x40-01.tif;2243;128.842621;138.307624;49.669807;60.899594;2.094949;1.226089;0.815602;0.770035;426.000000;0.578614;243.000000;0.261187;1.080350e-01;9.842240e-01
4;M-11783-x40-01.tif;2241;182.789380;291.772869;40.954358;95.695274;3.581482;2.336632;0.427966;0.311581;824.000000;0.903795;317.583000;0.658240;1.012296e-01;9.241100e-01
5;M-11783-x40-01.tif;3343;203.603051;448.570147;44.754912;128.299911;2.947560;2.866722;0.348830;0.258579;1114.000000;0.937186;351.888000;0.581294;7.741087e-02;9.306318e-01
6;M-11783-x40-01.tif;1703;263.618908;499.383441;38.077708;60.429088;1.440065;1.586994;0.630122;0.593790;176.000000;0.776496;175.551000;0.586121;7.060552e-02;8.963215e-01
7;M-11783-x40-01.tif;3931;359.470873;292.344696;57.910400;104.329271;2.073563;1.801564;0.555073;0.459834;1068.000000;0.831801;320.048000;0.606675;4.725690e-01;8.106875e-01
8;M-11783-x40-01.tif;2712;380.536504;212.720501;53.154111;68.411650;1.283094;1.287043;0.776975;0.737802;212.000000;0.629532;209.112000;0.650968;7.741087e-02;8.452814e-01
9;M-11783-x40-01.tif;5720;416.761713;536.144056;75.144496;185.586210;4.973442;2.469725;0.404903;0.211453;3959.000000;0.914359;597.904000;0.602864;9.102158e-02;8.932024e-01
10;M-11783-x40-01.tif;3492;441.930412;367.729954;48.717159;97.730918;1.515401;2.006088;0.498483;0.465501;338.000000;0.866900;257.873000;0.603363;4.833501e-01;7.801963e-01
11;M-11783-x40-01.tif;1837;445.892760;250.459445;36.795058;72.972107;1.787765;1.983204;0.504235;0.439244;365.000000;0.863567;203.149000;0.619368;1.080350e-01;8.447143e-01
12;M-11783-x40-01.tif;5551;501.053144;296.904702;69.847450;111.117360;1.610179;1.590858;0.628592;0.572424;760.000000;0.777735;335.141000;0.615324;4.782388e-01;7.640486e-01
13;M-11783-x40-01.tif;2564;541.577223;607.829563;56.288912;96.374684;3.615663;1.712143;0.584063;0.351481;1480.000000;0.811708;341.317000;0.528189;8.761890e-02;9.673996e-01
14;M-11783-x40-01.tif;358;491.502793;765.759777;17.289286;39.146299;3.026787;2.264194;0.441658;0.297448;164.000000;0.897183;116.691000;0.522085;1.080350e-01;9.204238e-01
15;M-11783-x40-01.tif;882;513.841270;566.908163;33.043795;38.093279;1.294032;1.152812;0.867444;0.773895;106.000000;0.497534;119.760000;0.548095;3.178791e-01;9.044737e-01
16;M-11783-x40-01.tif;2046;546.645161;365.655425;48.444989;54.389742;1.177059;1.122711;0.890701;0.880606;101.000000;0.454590;173.963000;0.628494;5.204934e-01;7.448261e-01
17;M-11783-x40-01.tif;1385;541.136462;216.147292;40.997585;43.128431;1.002384;1.051975;0.950593;0.948053;43.000000;0.310440;132.083000;0.589598;4.475071e-01;7.702807e-01
18;M-11783-x40-01.tif;2879;596.297673;317.327197;51.404724;80.607090;1.561102;1.568087;0.637720;0.564164;405.000000;0.770269;237.652000;0.581888;0;9.581368e-01
19;M-11783-x40-01.tif;1143;639.881015;345.200350;27.482992;54.458426;1.444495;1.981532;0.504660;0.490711;96.000000;0.863318;144.041000;0.558999;9.782693e-02;9.766625e-01
