No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-06.tif;2213;55.888839;552.933122;47.049562;62.668975;1.352798;1.331978;0.750763;0.717441;229.000000;0.660571;193.960000;0.638422;4.110565e-01;8.301439e-01
2;M-11830a-x40-06.tif;5754;184.407021;222.696038;73.190782;100.832728;1.183311;1.377670;0.725863;0.720571;183.000000;0.687839;292.509000;0.598936;5.591147e-02;9.254514e-01
3;M-11830a-x40-06.tif;6403;246.565360;316.455724;76.051292;108.476845;1.150095;1.426364;0.701083;0.692819;266.000000;0.713079;304.203000;0.613365;4.735375e-01;8.359542e-01
4;M-11830a-x40-06.tif;1469;247.227366;646.938053;27.186482;82.104066;2.748221;3.020033;0.331122;0.277461;353.000000;0.943588;225.238000;0.698069;4.193361e-02;8.395457e-01
5;M-11830a-x40-06.tif;5967;331.459192;254.037205;71.314402;118.349744;2.145853;1.659549;0.602573;0.542415;886.000000;0.798064;401.128000;0.531219;3.494467e-02;9.487478e-01
6;M-11830a-x40-06.tif;4815;425.242160;202.596262;59.165209;107.970981;1.351369;1.824907;0.547973;0.525887;291.000000;0.836496;285.950000;0.590442;3.974956e-01;8.889713e-01
7;M-11830a-x40-06.tif;2862;436.263802;636.223620;51.737094;96.978768;3.611140;1.874453;0.533489;0.387460;1443.000000;0.845807;360.381000;0.745152;4.924002e-01;8.362068e-01
8;M-11830a-x40-06.tif;6173;472.907824;347.175441;69.644491;126.424070;1.876659;1.815277;0.550880;0.491753;1439.000000;0.834584;381.545000;0.610626;8.736168e-02;9.537399e-01
9;M-11830a-x40-06.tif;4677;496.161428;174.146889;72.157289;83.874504;1.137845;1.162384;0.860301;0.846482;168.000000;0.509787;258.601000;0.585377;4.309313e-01;9.312755e-01
10;M-11830a-x40-06.tif;373;572.375335;800.308311;17.323810;28.941466;1.242546;1.670618;0.598581;0.566993;25.000000;0.801062;76.316000;0.493385;6.639487e-02;8.972044e-01
