No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-10.tif;1970;31.560406;623.622335;48.491215;56.164138;1.887079;1.158233;0.863384;0.795167;373.000000;0.504547;216.139000;0.472204;4.486423e-02;9.427239e-01
2;M-11901b-x40-10.tif;362;50.361878;41.892265;15.617397;39.726367;2.404016;2.543725;0.393124;0.292053;114.000000;0.919485;104.575000;0.370262;4.141313e-02;8.847743e-01
3;M-11901b-x40-10.tif;405;82.666667;98.935802;15.723618;39.316515;2.176397;2.500475;0.399924;0.333592;136.000000;0.916548;105.245000;0.331062;4.486423e-02;8.688130e-01
4;M-11901b-x40-10.tif;409;239.601467;14.877751;20.041254;31.322203;1.677305;1.562886;0.639842;0.530797;51.000000;0.768507;92.848000;0.501934;4.141313e-02;8.619108e-01
5;M-11901b-x40-10.tif;1156;263.032007;81.332180;37.324752;49.917408;2.457814;1.337381;0.747730;0.590696;368.000000;0.664003;188.955000;0.320971;4.141313e-02;8.653619e-01
6;M-11901b-x40-10.tif;958;290.795407;182.604384;26.606011;51.250798;1.893066;1.926286;0.519134;0.464381;168.000000;0.854693;150.963000;0.710760;6.218151e-01;8.459495e-01
7;M-11901b-x40-10.tif;1755;362.029630;735.195442;30.334061;81.916830;1.990907;2.700490;0.370303;0.332997;394.000000;0.928911;209.541000;0.551382;3.796204e-02;9.108013e-01
8;M-11901b-x40-10.tif;6032;415.258455;484.274204;75.252028;110.758307;2.020255;1.471832;0.679426;0.626064;820.000000;0.733744;391.326000;0.518609;2.468214e-01;9.502275e-01
9;M-11901b-x40-10.tif;2072;454.104247;415.396236;40.097466;67.689133;1.282853;1.688115;0.592377;0.575787;171.000000;0.805661;182.763000;0.474314;7.937517e-02;9.475171e-01
10;M-11901b-x40-10.tif;3466;498.550490;368.199077;57.673505;79.983111;1.268087;1.386826;0.721071;0.689830;292.000000;0.692861;235.014000;0.491145;1.780708e-01;8.339120e-01
11;M-11901b-x40-10.tif;5216;1029.282209;774.106212;60.510399;131.566509;5.305467;2.174279;0.459923;0.383669;2172.000000;0.887959;589.706000;0.237924;4.831532e-02;7.954773e-01
12;M-11901b-x40-10.tif;6650;1053.541353;329.494286;88.886432;98.844654;1.312555;1.112033;0.899254;0.866613;532.000000;0.437427;331.188000;0.459481;1.812052e-01;8.101089e-01
13;M-11901b-x40-10.tif;5238;1106.785796;456.736541;62.030794;136.781118;3.139597;2.205052;0.453504;0.356470;1915.000000;0.891254;454.595000;0.441817;1.596131e-01;8.144583e-01
14;M-11901b-x40-10.tif;1230;1108.560163;565.653659;26.564222;65.228559;1.859445;2.455504;0.407248;0.368078;215.000000;0.913317;169.531000;0.703682;5.010408e-01;9.140470e-01
15;M-11901b-x40-10.tif;2868;1133.327406;306.091702;40.113137;100.376356;1.805190;2.502331;0.399627;0.362432;415.000000;0.916678;255.068000;0.525182;3.011666e-01;8.460933e-01
16;M-11901b-x40-10.tif;1365;1141.101099;104.634432;38.360911;48.676516;1.460102;1.268909;0.788078;0.733506;161.000000;0.615575;158.257000;0.520372;3.451094e-02;9.426194e-01
17;M-11901b-x40-10.tif;2586;1166.772622;391.043310;50.690673;65.259923;1.019149;1.287415;0.776750;0.773118;57.000000;0.629809;181.986000;0.484185;2.623280e-01;8.595116e-01
18;M-11901b-x40-10.tif;1851;1202.325770;602.224203;44.158607;85.234296;4.431003;1.930185;0.518085;0.324405;1314.000000;0.855329;321.040000;0.698991;4.814816e-01;8.900372e-01
19;M-11901b-x40-10.tif;1192;1218.036913;539.856544;35.524803;51.369388;1.706292;1.446015;0.691556;0.575145;331.000000;0.722323;159.871000;0.665635;5.120840e-01;8.883913e-01
20;M-11901b-x40-10.tif;2884;1311.253121;226.455270;47.742586;77.846802;1.139389;1.630553;0.613289;0.605932;79.000000;0.789859;203.207000;0.505453;2.438919e-01;8.003609e-01
21;M-11901b-x40-10.tif;2219;1316.425417;79.809374;52.725537;88.441590;4.223935;1.677396;0.596162;0.361205;1592.000000;0.802864;343.196000;0.679933;4.831532e-02;8.964218e-01
22;M-11901b-x40-10.tif;3481;1319.048549;630.443263;41.455571;166.710925;4.018935;4.021436;0.248667;0.159473;2204.000000;0.968589;419.288000;0.562541;2.415766e-02;9.895349e-01
23;M-11901b-x40-10.tif;441;1392.904762;573.498866;24.369087;36.714844;2.633253;1.506615;0.663739;0.416548;207.000000;0.747964;120.801000;0.252732;4.486423e-02;7.920262e-01
24;M-11901b-x40-10.tif;453;1423.386313;535.582781;21.225882;32.396649;1.711127;1.526280;0.655188;0.549551;79.000000;0.755466;98.695000;0.585159;4.486423e-02;8.653619e-01
25;M-11901b-x40-10.tif;558;1452.722222;434.878136;25.947663;31.042103;1.482862;1.196335;0.835886;0.737296;97.000000;0.548903;101.970000;0.443999;4.831532e-02;8.619108e-01
26;M-11901b-x40-10.tif;4524;1530.615827;481.746905;78.538654;115.721930;7.628326;1.473439;0.678684;0.430132;3541.000000;0.734430;658.538000;0.579622;4.141313e-02;8.898072e-01
27;M-11901b-x40-10.tif;415;1503.387952;565.493976;24.226792;28.950977;1.633387;1.194998;0.836821;0.630423;112.000000;0.547476;92.294000;0.304345;4.141313e-02;7.920262e-01
28;M-11901b-x40-10.tif;3415;1527.407321;160.708053;61.828589;71.536891;1.231290;1.157020;0.864290;0.849651;207.000000;0.502995;229.869000;0.572452;2.790697e-01;9.001604e-01
