No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11183a-x40-08.tif;540;173.883333;419.774074;24.535045;28.102275;0.941915;1.145393;0.873063;0.870605;11.000000;0.487608;79.948000;155.985185;79;191
2;B-11183a-x40-08.tif;661;249.119516;629.754917;22.016218;38.552722;1.122352;1.751106;0.571068;0.566241;32.000000;0.820903;96.554000;161.062027;51;199
3;B-11183a-x40-08.tif;817;247.611995;655.828641;30.878872;35.234857;1.173107;1.141067;0.876373;0.837890;52.000000;0.481633;109.745000;141.336597;46;180
4;B-11183a-x40-08.tif;1219;268.740771;604.296965;35.099948;45.226730;1.053414;1.288513;0.776089;0.758793;49.000000;0.630624;127.030000;169.688269;62;226
5;B-11183a-x40-08.tif;1730;333.958382;525.635260;42.295213;61.383735;1.546765;1.451316;0.689030;0.584588;298.000000;0.724733;183.375000;158.509249;73;235
6;B-11183a-x40-08.tif;709;356.874471;479.005642;25.913272;35.251658;1.041194;1.360371;0.735094;0.726436;28.000000;0.677966;96.315000;160.262341;67;201
7;B-11183a-x40-08.tif;1459;365.890336;575.398218;35.441692;52.776446;1.149256;1.489106;0.671544;0.666937;75.000000;0.740965;145.158000;144.758739;104;200
8;B-11183a-x40-08.tif;576;380.036458;229.491319;25.654101;28.708984;0.944359;1.119080;0.893591;0.889809;14.000000;0.448881;82.677000;157.348958;67;189
9;B-11183a-x40-08.tif;708;383.177966;487.278249;28.170773;32.786692;1.127215;1.163855;0.859214;0.838587;48.000000;0.511617;100.144000;159.322034;99;202
10;B-11183a-x40-08.tif;1060;415.850000;577.698113;32.139627;45.622553;1.483396;1.419511;0.704468;0.648421;144.000000;0.709736;140.568000;148.461321;70;218
11;B-11183a-x40-08.tif;846;433.666667;621.780142;29.889584;36.961230;1.222360;1.236592;0.808674;0.788475;51.000000;0.588257;113.996000;151.942080;70;210
12;B-11183a-x40-08.tif;1633;456.977342;532.491733;37.615642;60.757295;1.494310;1.615214;0.619113;0.563248;247.000000;0.785302;175.113000;170.772198;32;233
13;B-11183a-x40-08.tif;1183;477.496196;677.928994;27.865693;64.901793;1.691810;2.329093;0.429352;0.357587;251.000000;0.903137;158.589000;152.829248;76;192
14;B-11183a-x40-08.tif;674;471.238872;463.813056;26.082752;33.153993;0.979243;1.271108;0.786715;0.780725;20.000000;0.617316;91.071000;154.207715;62;209
15;B-11183a-x40-08.tif;1049;483.857960;586.237369;28.539116;50.595409;1.275677;1.772844;0.564065;0.521751;110.000000;0.825730;129.677000;157.356530;72;235
16;B-11183a-x40-08.tif;360;474.738889;510.350000;21.151355;22.079965;1.037276;1.043903;0.957943;0.940190;18.000000;0.286957;68.502000;137.611111;93;170
17;B-11183a-x40-08.tif;476;525.707983;592.121849;19.210202;33.599709;1.271965;1.749056;0.571737;0.536841;59.000000;0.820437;87.226000;178.302521;22;233
18;B-11183a-x40-08.tif;778;532.948586;267.353470;27.683553;35.928012;0.968677;1.297811;0.770528;0.767403;11.000000;0.637406;97.316000;154.235219;34;187
19;B-11183a-x40-08.tif;752;532.835106;694.776596;26.723937;36.087783;1.003879;1.350392;0.740526;0.735203;21.000000;0.672028;97.399000;143.550532;97;181
20;B-11183a-x40-08.tif;696;559.340517;579.505747;26.475452;37.331374;1.384742;1.410037;0.709201;0.635875;87.000000;0.705006;110.051000;178.599138;20;238
21;B-11183a-x40-08.tif;1721;578.454387;50.517722;32.428232;75.876259;1.884424;2.339821;0.427383;0.380609;257.000000;0.904071;201.876000;154.664730;85;199
22;B-11183a-x40-08.tif;670;575.708955;615.525373;27.632167;31.933470;1.038027;1.155663;0.865304;0.836552;29.000000;0.501247;93.486000;171.280597;53;230
23;B-11183a-x40-08.tif;1228;591.083062;203.284202;33.151648;48.960440;1.145033;1.476863;0.677111;0.652256;72.000000;0.735881;132.927000;152.101792;76;192
24;B-11183a-x40-08.tif;821;665.950061;502.287454;32.002464;32.846257;1.019020;1.026367;0.974311;0.968906;28.000000;0.225208;102.534000;160.953715;52;238
25;B-11183a-x40-08.tif;1948;685.765400;548.440965;42.843682;62.958196;1.390573;1.469486;0.680510;0.625741;218.000000;0.732739;184.500000;182.394251;64;250
26;B-11183a-x40-08.tif;892;683.195067;418.721973;31.303461;36.479118;0.995349;1.165338;0.858120;0.853466;23.000000;0.513449;105.627000;160.951794;90;208
27;B-11183a-x40-08.tif;807;697.401487;513.653036;31.830757;32.385577;0.944684;1.017430;0.982868;0.979671;14.000000;0.184309;97.878000;182.930607;62;249
28;B-11183a-x40-08.tif;754;698.078249;603.706897;29.375424;33.017439;1.017752;1.123982;0.889694;0.880632;29.000000;0.456557;98.200000;169.812997;60;237
29;B-11183a-x40-08.tif;867;705.327566;476.246828;32.059776;34.850851;1.045000;1.087058;0.919914;0.908871;32.000000;0.392121;106.702000;177.290657;50;247
30;B-11183a-x40-08.tif;1537;725.743006;571.725439;30.486804;66.522269;1.421015;2.182002;0.458295;0.442232;140.000000;0.888800;165.669000;176.013012;64;251
31;B-11183a-x40-08.tif;824;715.296117;407.086165;28.896330;36.834337;1.075124;1.274706;0.784494;0.773271;41.000000;0.620136;105.511000;168.391990;107;220
32;B-11183a-x40-08.tif;790;713.617722;434.843038;29.215299;35.193650;1.015223;1.204631;0.830130;0.812098;14.000000;0.557570;100.392000;172.582278;85;228
33;B-11183a-x40-08.tif;677;720.844904;635.672083;25.451701;34.529007;1.083852;1.356648;0.737111;0.722987;41.000000;0.675772;96.025000;177.392910;69;218
34;B-11183a-x40-08.tif;1016;734.129921;66.463583;32.236592;40.862314;1.143015;1.267576;0.788908;0.774743;67.000000;0.614512;120.803000;149.210630;101;194
35;B-11183a-x40-08.tif;925;733.744865;532.015135;33.206072;35.686850;1.016407;1.074709;0.930485;0.924774;29.000000;0.366330;108.695000;166.229189;57;244
36;B-11183a-x40-08.tif;843;733.855279;454.803084;29.240232;36.864230;0.981577;1.260737;0.793187;0.789819;21.000000;0.608978;101.972000;166.608541;54;245
37;B-11183a-x40-08.tif;839;736.679380;601.321812;27.885530;38.739656;1.054742;1.389239;0.719819;0.711804;43.000000;0.694162;105.453000;168.094160;94;226
38;B-11183a-x40-08.tif;788;735.585025;488.083756;29.779820;33.911906;1.012939;1.138755;0.878152;0.872433;22.000000;0.478381;100.152000;163.875635;91;235
39;B-11183a-x40-08.tif;882;745.416100;386.628118;29.676984;38.094628;1.013583;1.283642;0.779033;0.773840;30.000000;0.626983;105.991000;156.630385;88;210
40;B-11183a-x40-08.tif;1074;755.177840;625.472067;28.718709;48.922451;1.168086;1.703505;0.587025;0.571344;66.000000;0.809569;125.558000;182.178771;74;226
41;B-11183a-x40-08.tif;799;770.440551;549.797247;30.232771;34.237001;1.066241;1.132447;0.883044;0.867892;30.000000;0.469291;103.468000;171.433041;62;243
