No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11183a-x40-08.tif;507;173.842209;420.441815;23.665978;27.351419;0.936508;1.155727;0.865256;0.862896;8.000000;0.501330;77.244000;56.992110;0;235
2;B-11183a-x40-08.tif;1020;267.513725;603.826471;33.327655;41.404725;1.389004;1.242353;0.804924;0.757549;107.000000;0.593378;133.431000;57.771569;0;216
3;B-11183a-x40-08.tif;615;356.030894;480.375610;25.007229;31.698504;1.024633;1.267574;0.788909;0.779305;26.000000;0.614510;88.987000;62.130081;0;206
4;B-11183a-x40-08.tif;544;379.457721;230.628676;24.603868;28.317930;0.961084;1.150954;0.868844;0.863746;12.000000;0.495086;81.056000;48.336397;0;255
5;B-11183a-x40-08.tif;550;382.276364;486.116364;25.177294;28.030131;0.970499;1.113310;0.898222;0.891297;15.000000;0.439541;81.900000;57.216364;0;137
6;B-11183a-x40-08.tif;606;449.793729;525.412541;23.927475;34.555063;1.189247;1.444158;0.692445;0.646189;50.000000;0.721471;95.165000;55.430693;0;196
7;B-11183a-x40-08.tif;687;462.934498;544.896652;24.279609;37.669082;1.248015;1.551470;0.644550;0.616448;57.000000;0.764562;103.799000;61.545852;0;245
8;B-11183a-x40-08.tif;890;519.057303;535.947191;25.384171;53.274379;1.590127;2.098724;0.476480;0.399267;163.000000;0.879185;133.357000;44.170787;0;196
9;B-11183a-x40-08.tif;2285;533.530416;492.922976;49.768292;63.710537;1.437947;1.280143;0.781163;0.716760;260.000000;0.624328;203.198000;52.322538;0;206
10;B-11183a-x40-08.tif;684;532.062865;268.399123;26.354841;33.391227;1.005133;1.266986;0.789274;0.781091;19.000000;0.614041;92.949000;68.102339;0;216
11;B-11183a-x40-08.tif;2185;565.670481;534.415561;50.135029;56.838241;1.196582;1.133703;0.882065;0.861153;129.000000;0.471128;181.260000;41.765675;0;186
12;B-11183a-x40-08.tif;4294;590.379134;479.441081;57.618990;107.593085;1.744382;1.867320;0.535527;0.472284;847.000000;0.844518;306.801000;55.292268;0;216
13;B-11183a-x40-08.tif;1028;589.096304;202.969844;28.523929;47.736979;1.302379;1.673577;0.597523;0.574372;72.000000;0.801852;129.709000;58.312257;0;255
14;B-11183a-x40-08.tif;2278;608.870500;562.648376;52.994359;69.394146;2.117791;1.309463;0.763672;0.602307;669.000000;0.645605;246.220000;50.532924;0;235
15;B-11183a-x40-08.tif;1146;607.415358;441.014834;33.333976;45.709400;1.248286;1.371256;0.729259;0.698367;135.000000;0.684238;134.077000;34.265271;0;157
16;B-11183a-x40-08.tif;794;632.638539;540.277078;27.425885;37.624084;1.080685;1.371846;0.728945;0.714165;44.000000;0.684572;103.840000;67.078086;0;206
17;B-11183a-x40-08.tif;1580;646.788608;435.638608;38.164375;54.392858;1.186276;1.425226;0.701643;0.679960;118.000000;0.712529;153.471000;47.616456;0;147
18;B-11183a-x40-08.tif;886;664.635440;502.547404;32.235808;35.078665;0.961097;1.088189;0.918958;0.916764;17.000000;0.394356;103.444000;61.064334;0;186
19;B-11183a-x40-08.tif;1032;675.494186;464.669574;31.760846;41.853534;1.112716;1.317771;0.758857;0.750111;57.000000;0.651257;120.126000;69.012597;0;177
20;B-11183a-x40-08.tif;2088;683.765805;549.628831;45.807846;63.329220;1.446676;1.382497;0.723329;0.662876;268.000000;0.690504;194.830000;51.736590;0;206
21;B-11183a-x40-08.tif;851;682.574618;419.642773;30.136204;36.533416;1.078561;1.212277;0.824894;0.811819;43.000000;0.565287;107.397000;62.826087;0;157
22;B-11183a-x40-08.tif;800;696.281250;513.941250;31.443503;32.515411;0.954080;1.034090;0.967034;0.963433;14.000000;0.254648;97.936000;47.153750;0;196
23;B-11183a-x40-08.tif;730;696.705479;604.387671;28.426003;32.920299;1.003257;1.158105;0.863479;0.857641;24.000000;0.504384;95.934000;56.434247;0;196
24;B-11183a-x40-08.tif;762;704.286089;477.427822;29.197921;33.604139;1.000636;1.150909;0.868879;0.859171;22.000000;0.495025;97.886000;46.628609;0;186
25;B-11183a-x40-08.tif;768;709.105469;577.101563;29.320113;34.405796;1.160416;1.173454;0.852185;0.826053;71.000000;0.523240;105.826000;63.319010;0;206
26;B-11183a-x40-08.tif;757;714.211361;406.981506;27.009169;36.517880;1.184632;1.352055;0.739615;0.722761;49.000000;0.673030;106.156000;58.408190;0;147
27;B-11183a-x40-08.tif;825;712.463030;434.918788;30.375209;35.151998;1.010976;1.157259;0.864110;0.850088;14.000000;0.503302;102.377000;49.152727;0;206
28;B-11183a-x40-08.tif;959;732.407716;532.380605;32.688958;37.516701;0.982465;1.147687;0.871317;0.867520;29.000000;0.490720;108.811000;60.966632;0;245
29;B-11183a-x40-08.tif;792;733.506313;454.513889;28.231340;36.117623;1.014011;1.279345;0.781650;0.773031;26.000000;0.623717;100.459000;56.772727;0;196
30;B-11183a-x40-08.tif;961;733.502601;486.585848;32.189115;39.424047;1.145395;1.224763;0.816484;0.787247;49.000000;0.577368;117.610000;67.242456;0;226
31;B-11183a-x40-08.tif;807;737.588600;568.107807;31.172821;33.774574;1.093136;1.083462;0.922967;0.900749;59.000000;0.384879;105.288000;49.068154;0;216
32;B-11183a-x40-08.tif;841;744.048751;387.669441;29.761456;36.703741;1.143080;1.233264;0.810856;0.794850;56.000000;0.585245;109.911000;66.104637;0;206
33;B-11183a-x40-08.tif;897;754.440357;420.696767;32.180661;36.866819;1.254353;1.145620;0.872890;0.840294;96.000000;0.487918;118.908000;66.759197;0;177
34;B-11183a-x40-08.tif;878;768.563781;550.481777;32.324306;35.117696;1.062517;1.086418;0.920456;0.906468;46.000000;0.390845;108.273000;58.105923;0;206
35;B-11183a-x40-08.tif;827;770.506651;481.373640;30.209756;35.158116;1.008354;1.163800;0.859254;0.851853;18.000000;0.511549;102.368000;64.032648;0;206
36;B-11183a-x40-08.tif;755;775.998675;450.674172;27.594296;35.274210;1.038967;1.278315;0.782280;0.772578;25.000000;0.622927;99.284000;60.459603;0;167
37;B-11183a-x40-08.tif;1499;795.303536;405.853903;31.929201;63.796355;1.788495;1.998057;0.500486;0.468943;212.000000;0.865744;183.548000;64.488993;0;157
38;B-11183a-x40-08.tif;636;786.566038;527.305031;24.733307;33.106090;1.031743;1.338523;0.747092;0.738842;19.000000;0.664720;90.807000;36.992138;0;216
39;B-11183a-x40-08.tif;703;795.036984;614.429587;28.539891;31.741582;1.117482;1.112183;0.899133;0.888400;34.000000;0.437676;99.358000;58.937411;0;157
