No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;1287;57.938617;71.697747;33.305154;49.554236;1.136738;1.487885;0.672095;0.667309;53.000000;0.740465;135.589000;163.627040;32;202
2;B-11704-x40-08.tif;1607;96.093342;378.663348;38.577878;53.815359;1.071183;1.394980;0.716856;0.706502;42.000000;0.697221;147.077000;163.252645;70;208
3;B-11704-x40-08.tif;1483;126.576534;307.616993;31.229918;60.769873;1.176842;1.945886;0.513905;0.511299;45.000000;0.857847;148.093000;165.036413;79;199
4;B-11704-x40-08.tif;990;125.164646;189.971717;33.054058;38.694150;0.996204;1.170632;0.854239;0.841889;21.000000;0.519880;111.326000;159.764646;23;222
5;B-11704-x40-08.tif;2515;193.214712;342.180119;54.690460;70.896044;2.027736;1.296315;0.771418;0.637095;705.000000;0.636329;253.151000;150.251690;37;192
6;B-11704-x40-08.tif;4958;225.737192;290.655708;69.006999;93.814920;1.286635;1.359499;0.735565;0.717254;374.000000;0.677454;283.130000;152.660145;84;195
7;B-11704-x40-08.tif;955;231.196859;115.961257;32.894870;37.266500;0.974468;1.132897;0.882693;0.875541;18.000000;0.469950;108.141000;154.607330;34;208
8;B-11704-x40-08.tif;1494;269.790495;747.966533;29.164562;69.295991;1.584811;2.376034;0.420869;0.396136;179.000000;0.907121;172.492000;151.831325;25;200
9;B-11704-x40-08.tif;893;292.454647;165.002240;24.203293;48.276789;1.218444;1.994637;0.501344;0.487848;39.000000;0.865248;116.932000;158.229563;32;205
10;B-11704-x40-08.tif;1397;320.110236;311.428060;27.984828;65.188942;1.341637;2.329439;0.429288;0.418561;59.000000;0.903168;153.469000;160.462419;90;195
11;B-11704-x40-08.tif;814;390.509828;459.778870;29.494722;35.279483;0.975734;1.196129;0.836030;0.832703;21.000000;0.548683;99.904000;152.821867;54;201
12;B-11704-x40-08.tif;488;531.305328;585.254098;21.772989;32.225847;1.406834;1.480084;0.675637;0.598303;63.000000;0.737234;92.883000;135.961066;94;179
13;B-11704-x40-08.tif;1014;564.102564;573.190335;37.644350;39.131412;1.435068;1.039503;0.961998;0.843135;199.000000;0.273056;135.226000;154.537475;58;201
14;B-11704-x40-08.tif;2039;577.142227;242.549779;35.395583;74.635938;1.253954;2.108623;0.474243;0.466049;101.000000;0.880394;179.248000;155.701815;82;207
15;B-11704-x40-08.tif;1038;577.590559;335.123314;31.824240;42.025399;1.018669;1.320547;0.757262;0.748314;21.000000;0.653111;115.271000;160.409441;74;202
16;B-11704-x40-08.tif;932;611.776824;371.328326;25.939515;46.520186;1.127195;1.793410;0.557597;0.548331;28.000000;0.830112;114.898000;166.469957;53;204
17;B-11704-x40-08.tif;881;616.216799;332.928490;31.060142;36.251697;0.956375;1.167145;0.856791;0.853551;14.000000;0.515663;102.898000;162.927355;70;204
18;B-11704-x40-08.tif;919;617.071817;263.717084;25.164624;47.168735;1.121515;1.874407;0.533502;0.525917;24.000000;0.845799;113.806000;164.441785;56;202
19;B-11704-x40-08.tif;774;651.062016;538.600775;28.990038;35.748254;1.223206;1.233122;0.810950;0.771155;72.000000;0.585116;109.075000;177.310078;72;226
20;B-11704-x40-08.tif;1678;661.403456;506.528605;39.253359;58.622690;1.369651;1.493444;0.669593;0.621685;217.000000;0.742728;169.944000;178.899285;76;237
21;B-11704-x40-08.tif;1290;663.166667;439.467442;37.926087;44.679914;1.261157;1.178079;0.848840;0.822764;102.000000;0.528650;142.983000;170.378295;107;227
22;B-11704-x40-08.tif;1474;677.318182;571.255767;35.191009;63.669240;2.134004;1.809247;0.552716;0.462965;364.000000;0.833370;198.816000;167.943012;66;220
23;B-11704-x40-08.tif;1069;679.632367;473.289055;32.298637;43.639383;1.222922;1.351122;0.740126;0.714711;113.000000;0.672468;128.172000;180.549111;84;232
24;B-11704-x40-08.tif;909;677.633663;353.811881;27.220794;43.746825;1.113994;1.607111;0.622235;0.604757;36.000000;0.782831;112.805000;162.966997;66;218
25;B-11704-x40-08.tif;1048;680.920802;239.442748;30.701478;44.379113;1.085173;1.445504;0.691800;0.677508;31.000000;0.722089;119.546000;161.532443;51;202
26;B-11704-x40-08.tif;1091;703.405133;502.967003;33.412747;42.686031;1.247941;1.277537;0.782756;0.762366;117.000000;0.622329;130.802000;181.416132;90;224
27;B-11704-x40-08.tif;1285;705.197665;637.766537;34.223995;49.068947;1.111315;1.433759;0.697467;0.679516;55.000000;0.716616;133.960000;164.165759;69;226
