No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;1059;58.661945;72.252125;30.497751;44.387735;1.042478;1.455443;0.687076;0.684353;30.000000;0.726585;117.784000;48.162417;0;255
2;B-11704-x40-08.tif;1432;95.518855;377.412011;36.229188;50.932915;1.113346;1.405853;0.711312;0.702839;65.000000;0.702877;141.544000;69.942737;0;198
3;B-11704-x40-08.tif;1325;126.472453;307.378113;28.704823;59.180403;1.224720;2.061689;0.485039;0.481693;47.000000;0.874492;142.801000;63.428679;0;184
4;B-11704-x40-08.tif;898;125.649220;189.152561;30.913870;37.515595;1.014246;1.213552;0.824027;0.812387;23.000000;0.566550;106.983000;57.369710;0;255
5;B-11704-x40-08.tif;1855;195.348248;340.302965;45.694459;52.050511;1.015410;1.139099;0.877887;0.871774;40.000000;0.478868;153.850000;79.025337;0;241
6;B-11704-x40-08.tif;1812;208.302980;281.535320;43.299988;53.611160;1.050942;1.238133;0.807667;0.802709;65.000000;0.589638;154.694000;70.312914;0;198
7;B-11704-x40-08.tif;915;231.358470;115.740984;32.090489;36.574858;0.979925;1.139741;0.877392;0.870895;20.000000;0.479774;106.148000;60.502732;0;255
8;B-11704-x40-08.tif;1745;242.881948;306.661891;44.266708;50.535021;1.043878;1.141603;0.875961;0.870003;53.000000;0.482382;151.296000;80.139828;14;198
9;B-11704-x40-08.tif;1228;266.324104;743.743485;28.678210;55.281998;1.181358;1.927666;0.518762;0.511612;58.000000;0.854919;135.019000;62.312704;0;241
10;B-11704-x40-08.tif;898;292.349666;164.701559;24.772573;47.493444;1.196125;1.917179;0.521600;0.506896;34.000000;0.853190;116.180000;55.236080;0;255
11;B-11704-x40-08.tif;1201;320.664446;309.972523;24.701115;63.913244;1.448796;2.587464;0.386479;0.374344;58.000000;0.922298;147.870000;68.097419;0;184
12;B-11704-x40-08.tif;817;390.096695;458.894737;29.638608;35.257340;0.977628;1.189575;0.840637;0.836822;19.000000;0.541600;100.185000;51.559364;0;255
13;B-11704-x40-08.tif;1036;557.889961;572.850386;32.368651;51.960401;1.857626;1.605269;0.622948;0.488568;288.000000;0.782263;155.512000;77.965251;0;255
14;B-11704-x40-08.tif;1968;576.181402;241.787602;34.663808;73.625241;1.275327;2.123980;0.470814;0.462255;120.000000;0.882232;177.594000;61.500508;0;213
15;B-11704-x40-08.tif;1004;576.815737;334.462151;31.587976;41.083307;1.056640;1.300600;0.768876;0.757379;38.000000;0.639398;115.461000;57.456175;0;241
16;B-11704-x40-08.tif;889;611.140607;370.555681;25.311407;45.667750;1.156164;1.804236;0.554251;0.542741;31.000000;0.832349;113.649000;48.735658;0;227
17;B-11704-x40-08.tif;843;615.202847;332.259786;29.901727;36.174960;1.001079;1.209795;0.826586;0.820203;18.000000;0.562810;102.980000;51.648873;0;255
18;B-11704-x40-08.tif;830;615.472289;263.071084;23.351906;46.391517;1.202739;1.986627;0.503366;0.491033;33.000000;0.864073;112.003000;53.069880;0;227
19;B-11704-x40-08.tif;2421;658.275919;514.491532;52.451041;70.083949;1.712926;1.336178;0.748403;0.627578;464.000000;0.663244;228.282000;42.746799;0;255
20;B-11704-x40-08.tif;1289;662.206362;439.999224;37.468092;45.413181;1.192334;1.212049;0.825049;0.795791;97.000000;0.565061;138.973000;57.515128;0;184
21;B-11704-x40-08.tif;956;674.834728;569.151674;25.944720;47.850674;1.240834;1.844332;0.542202;0.531608;75.000000;0.840248;122.093000;47.063808;0;255
22;B-11704-x40-08.tif;792;676.175505;353.239899;25.112612;42.491635;1.242817;1.692044;0.591001;0.558507;56.000000;0.806671;111.217000;61.210859;0;198
23;B-11704-x40-08.tif;880;677.884091;237.889773;29.828991;37.761422;0.993033;1.265930;0.789933;0.785771;21.000000;0.613193;104.792000;60.839773;0;227
24;B-11704-x40-08.tif;1058;679.396030;472.842155;32.883589;41.346169;1.043481;1.257350;0.795324;0.787998;36.000000;0.606185;117.785000;46.472590;0;213
25;B-11704-x40-08.tif;836;702.100478;499.901914;27.843823;38.818076;1.069859;1.394136;0.717290;0.706396;40.000000;0.696775;106.016000;31.947368;0;170
26;B-11704-x40-08.tif;1121;704.066905;637.634255;33.270749;44.989075;1.247129;1.352211;0.739530;0.705183;97.000000;0.673124;132.545000;48.541481;0;255
27;B-11704-x40-08.tif;1036;706.277027;586.372587;25.576295;54.323830;1.366712;2.123991;0.470812;0.446981;95.000000;0.882234;133.390000;52.873552;0;227
28;B-11704-x40-08.tif;1192;729.769295;288.838087;31.576998;48.790130;1.210483;1.545116;0.647201;0.637562;83.000000;0.762320;134.655000;72.168624;0;241
29;B-11704-x40-08.tif;1007;731.368421;498.502483;34.892599;37.351419;1.007651;1.070468;0.934171;0.919021;27.000000;0.356827;112.921000;52.151936;0;255
30;B-11704-x40-08.tif;941;740.643996;463.687566;29.064791;41.345725;1.014701;1.422536;0.702970;0.700872;24.000000;0.711220;109.539000;47.981934;0;255
31;B-11704-x40-08.tif;1016;743.091535;352.592520;32.705018;40.943665;1.166926;1.251908;0.798781;0.771668;60.000000;0.601622;122.060000;66.149606;0;227
