No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11069-x40-07.tif;1102;509.872958;435.161525;35.337696;40.394656;1.105500;1.143104;0.874811;0.859892;74.000000;0.484464;123.730000;157.920145;73;203
2;F-11069-x40-07.tif;2606;547.579048;382.762471;50.935037;76.009459;2.053467;1.492282;0.670114;0.574314;719.000000;0.742258;259.320000;157.772832;58;224
3;F-11069-x40-07.tif;1612;565.640819;455.106079;33.990660;67.206990;1.810426;1.977219;0.505761;0.454408;326.000000;0.862674;191.504000;155.265509;23;221
4;F-11069-x40-07.tif;874;589.558352;358.683066;32.700893;39.644009;2.172761;1.212322;0.824863;0.708054;213.000000;0.565332;154.478000;139.739130;32;233
5;F-11069-x40-07.tif;821;595.615104;396.543240;28.674645;37.724296;1.092964;1.315598;0.760111;0.734532;48.000000;0.649794;106.189000;159.075518;62;218
6;F-11069-x40-07.tif;1067;619.669166;526.331771;34.904442;39.283152;1.017446;1.125449;0.888535;0.880363;38.000000;0.458810;116.800000;154.961575;77;216
7;F-11069-x40-07.tif;3085;641.752674;436.376985;56.616123;75.491592;1.656727;1.333394;0.749966;0.689236;482.000000;0.661476;253.430000;178.334198;65;242
8;F-11069-x40-07.tif;1181;636.037257;385.000000;32.659659;48.147226;1.210678;1.474211;0.678329;0.648661;72.000000;0.734758;134.043000;161.563929;55;239
9;F-11069-x40-07.tif;1148;656.003484;494.704704;36.845236;40.010881;0.995458;1.085917;0.920880;0.913053;31.000000;0.389845;119.836000;172.787456;67;238
10;F-11069-x40-07.tif;965;686.097409;509.249741;31.988495;38.891775;1.053370;1.215805;0.822500;0.812310;41.000000;0.568765;113.021000;170.708808;45;234
11;F-11069-x40-07.tif;3699;713.375777;447.847256;53.686301;90.069881;1.347774;1.677707;0.596052;0.580544;319.000000;0.802946;250.297000;178.601514;65;252
12;F-11069-x40-07.tif;1046;697.514340;395.036329;34.928926;45.341750;2.175227;1.298115;0.770348;0.647806;280.000000;0.637624;169.092000;148.618547;68;242
13;F-11069-x40-07.tif;1230;717.715447;366.878049;34.475782;46.429184;1.269078;1.346719;0.742546;0.726496;81.000000;0.669796;140.056000;165.356911;45;249
14;F-11069-x40-07.tif;1400;753.807143;314.824286;40.120554;45.147743;1.141724;1.125302;0.888650;0.874513;83.000000;0.458586;141.726000;164.300714;72;243
15;F-11069-x40-07.tif;2136;769.545880;362.048221;42.604184;67.823823;1.397521;1.591952;0.628160;0.591217;277.000000;0.778085;193.680000;176.891386;70;244
16;F-11069-x40-07.tif;1862;828.831364;337.093448;39.338863;64.380811;1.390830;1.636570;0.611034;0.571975;247.000000;0.791604;180.398000;170.646079;73;250
17;F-11069-x40-07.tif;1082;834.728281;490.663586;33.565355;41.354056;1.005180;1.232046;0.811658;0.805566;41.000000;0.584133;116.907000;166.639556;70;226
18;F-11069-x40-07.tif;887;847.187148;373.519729;33.129212;38.761675;1.291233;1.170015;0.854690;0.751673;84.000000;0.519139;119.969000;195.518602;91;250
19;F-11069-x40-07.tif;1144;874.546329;487.533217;33.637714;43.689464;1.024727;1.298824;0.769927;0.763102;29.000000;0.638132;121.373000;153.088287;60;222
20;F-11069-x40-07.tif;1479;881.656525;374.252197;42.451952;45.334489;1.070424;1.067901;0.936416;0.916264;59.000000;0.350891;141.048000;202.922921;74;252
21;F-11069-x40-07.tif;971;879.681771;320.668383;30.741586;42.865688;1.341122;1.394388;0.717161;0.672837;104.000000;0.696908;127.923000;148.136972;114;235
22;F-11069-x40-07.tif;982;902.903259;340.850305;31.136315;40.996000;1.179674;1.316662;0.759496;0.743941;75.000000;0.650511;120.654000;172.296334;90;250
23;F-11069-x40-07.tif;1132;906.275618;450.378975;33.044138;43.958880;1.034618;1.330308;0.751706;0.745870;43.000000;0.659499;121.316000;159.539753;75;231
24;F-11069-x40-07.tif;1001;914.376623;390.898102;34.030811;38.072661;1.054636;1.118770;0.893839;0.879261;48.000000;0.448389;115.179000;174.670330;71;244
25;F-11069-x40-07.tif;1034;920.346228;422.764990;31.998524;41.749438;1.041163;1.304730;0.766442;0.755317;42.000000;0.642313;116.312000;170.387814;77;236
26;F-11069-x40-07.tif;1134;946.345679;363.257496;35.898936;43.426975;1.480483;1.209701;0.826651;0.765604;156.000000;0.562716;145.249000;146.399471;62;231
