No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;2162;184.801110;123.359389;31.834105;92.282617;1.773241;2.898860;0.344963;0.323241;232.000000;0.938616;219.491000;103.562442;0;255
2;F-11240-x40-02.tif;668;204.275449;559.568862;26.380839;32.892722;1.152268;1.246841;0.802027;0.786117;36.000000;0.597288;98.349000;95.211078;0;207
3;F-11240-x40-02.tif;1113;223.563342;312.656783;34.470082;44.128856;1.305333;1.280207;0.781123;0.727713;113.000000;0.624377;135.118000;92.539982;0;239
4;F-11240-x40-02.tif;662;431.643505;505.596677;27.630633;30.646485;0.948531;1.109149;0.901592;0.897443;15.000000;0.432587;88.830000;43.616314;0;239
5;F-11240-x40-02.tif;1015;591.954680;176.652217;30.261110;51.812985;2.143830;1.712197;0.584045;0.481392;302.000000;0.811721;165.361000;128.104433;16;223
6;F-11240-x40-02.tif;1793;620.370329;137.224205;48.542978;68.274202;2.947352;1.406469;0.711000;0.489753;976.000000;0.703192;257.698000;96.561629;0;207
7;F-11240-x40-02.tif;719;664.904033;709.756606;27.286877;33.674326;0.977410;1.234085;0.810317;0.807312;18.000000;0.585992;93.974000;50.741307;0;239
8;F-11240-x40-02.tif;1232;707.561688;346.142857;33.903452;50.257817;1.546843;1.482381;0.674591;0.621031;183.000000;0.738192;154.751000;109.808442;0;223
9;F-11240-x40-02.tif;1124;726.524911;378.541815;29.604885;49.199154;1.296196;1.661859;0.601736;0.591236;96.000000;0.798695;135.308000;115.557829;0;239
10;F-11240-x40-02.tif;333;717.402402;584.177177;19.961868;21.962391;1.039257;1.100217;0.908911;0.879013;13.000000;0.416989;65.946000;115.645646;0;255
11;F-11240-x40-02.tif;1158;730.327288;557.048359;30.759525;53.955238;1.971937;1.754099;0.570093;0.506467;212.000000;0.821580;169.397000;101.535406;0;255
12;F-11240-x40-02.tif;1085;755.809217;288.316129;32.913465;43.193767;1.194495;1.312343;0.761996;0.740453;90.000000;0.647582;127.618000;82.106912;0;239
13;F-11240-x40-02.tif;5816;785.536451;324.503095;69.566820;114.438091;2.056010;1.645010;0.607899;0.565449;1142.000000;0.794014;387.641000;110.866575;0;255
14;F-11240-x40-02.tif;2165;828.607852;499.818938;49.917158;56.614425;1.472769;1.134168;0.881704;0.860030;201.000000;0.471803;200.171000;90.264665;0;255
15;F-11240-x40-02.tif;4010;845.865835;349.113965;59.920854;87.478980;1.414925;1.459909;0.684974;0.667186;440.000000;0.728567;267.020000;106.292519;0;255
16;F-11240-x40-02.tif;3839;853.438916;423.038031;66.891462;77.212578;1.732168;1.154296;0.866329;0.819883;538.000000;0.499475;289.074000;110.456108;0;255
17;F-11240-x40-02.tif;1130;863.738053;472.379646;35.727122;41.657220;1.173974;1.165983;0.857645;0.829102;76.000000;0.514242;129.114000;95.617699;0;255
18;F-11240-x40-02.tif;612;931.913399;53.818627;24.768992;31.792131;1.031183;1.283546;0.779092;0.770943;22.000000;0.626910;89.053000;70.346405;0;223
19;F-11240-x40-02.tif;457;990.614880;102.649891;23.504989;24.961085;1.004744;1.061948;0.941665;0.933898;21.000000;0.336551;75.961000;84.829322;0;255
20;F-11240-x40-02.tif;551;1028.346642;214.134301;21.367365;37.627558;1.555785;1.760983;0.567865;0.495507;84.000000;0.823122;103.790000;122.978221;16;191
21;F-11240-x40-02.tif;1111;1076.623762;101.761476;29.068214;75.357816;3.084936;2.592447;0.385736;0.249096;647.000000;0.922609;207.532000;93.057606;0;255
22;F-11240-x40-02.tif;1014;1191.729783;508.153846;35.229775;44.463739;2.370046;1.262107;0.792326;0.653034;316.000000;0.610098;173.781000;113.921105;0;255
23;F-11240-x40-02.tif;1324;1230.641239;496.351208;31.449484;55.356837;1.822382;1.760183;0.568123;0.550118;127.000000;0.822944;174.128000;112.893505;0;255
24;F-11240-x40-02.tif;1142;1244.019264;269.014886;29.092430;56.763748;1.724132;1.951152;0.512518;0.451268;254.000000;0.858677;157.298000;90.205779;0;223
25;F-11240-x40-02.tif;3214;1348.775669;669.663348;63.232863;67.083063;1.706679;1.060889;0.942605;0.909348;302.000000;0.333909;262.545000;97.808650;0;255
