No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;1058;486.295841;751.255198;35.582074;37.933387;0.952905;1.066081;0.938015;0.936165;19.000000;0.346596;112.557000;57.535917;0;232
2;F-11333-x40-04.tif;1115;507.354260;566.637668;28.675011;50.454940;1.116547;1.759544;0.568329;0.557670;32.000000;0.822801;125.078000;49.794619;0;232
3;F-11333-x40-04.tif;1246;620.968700;645.509631;38.519561;41.608630;1.025094;1.080195;0.925759;0.916350;49.000000;0.378114;126.691000;61.361156;0;224
4;F-11333-x40-04.tif;6496;670.325431;434.901632;92.843929;98.493690;1.374790;1.060852;0.942638;0.852588;707.000000;0.333816;335.001000;51.552648;0;193
5;F-11333-x40-04.tif;1160;640.184483;483.610345;34.897016;43.263923;1.049970;1.239760;0.806608;0.789071;35.000000;0.591087;123.715000;51.794828;0;178
6;F-11333-x40-04.tif;914;653.366521;645.481400;29.154262;41.341644;1.108568;1.418031;0.705203;0.680896;63.000000;0.709005;112.839000;40.029540;0;224
7;F-11333-x40-04.tif;1536;666.778646;519.677083;40.048365;49.037284;1.007753;1.224452;0.816692;0.813296;36.000000;0.577074;139.469000;66.854818;0;193
8;F-11333-x40-04.tif;1108;681.198556;636.038809;32.969668;45.748273;1.187659;1.387587;0.720676;0.674063;107.000000;0.693272;128.594000;55.645307;0;224
9;F-11333-x40-04.tif;1399;693.094353;607.772695;35.782962;50.785698;1.118547;1.419270;0.704587;0.690629;89.000000;0.709617;140.230000;61.415297;0;185
10;F-11333-x40-04.tif;1349;700.075612;550.977761;38.897714;44.836305;1.064368;1.152672;0.867549;0.854402;68.000000;0.497351;134.325000;54.917717;0;201
11;F-11333-x40-04.tif;1723;706.636680;490.080673;41.829555;53.066647;1.054329;1.268640;0.788246;0.779026;71.000000;0.615361;151.090000;78.135810;8;178
12;F-11333-x40-04.tif;1483;731.468645;449.208361;41.586465;45.480061;0.972365;1.093627;0.914389;0.912871;25.000000;0.404837;134.614000;55.908968;0;185
13;F-11333-x40-04.tif;1415;735.999293;625.093286;37.168115;48.770596;1.041503;1.312162;0.762101;0.757444;49.000000;0.647458;136.086000;81.407774;0;201
14;F-11333-x40-04.tif;1520;733.210526;573.603947;40.985132;49.600758;1.185743;1.210213;0.826301;0.786642;106.000000;0.563229;150.495000;64.390789;0;155
15;F-11333-x40-04.tif;1237;758.031528;551.426839;34.123511;47.881666;1.155059;1.403187;0.712663;0.686976;86.000000;0.701506;133.996000;56.153597;0;185
16;F-11333-x40-04.tif;1266;763.663507;487.627962;37.072932;43.719029;0.983121;1.179271;0.847982;0.843340;26.000000;0.530026;125.062000;58.552133;0;216
17;F-11333-x40-04.tif;2431;787.299465;527.105306;51.612882;65.197228;1.293179;1.263197;0.791642;0.728177;242.000000;0.610985;198.759000;37.736734;0;209
18;F-11333-x40-04.tif;1422;774.392405;435.833333;39.203266;46.334187;0.985742;1.181896;0.846098;0.843348;23.000000;0.533027;132.720000;64.336850;0;193
19;F-11333-x40-04.tif;1508;794.139257;611.042440;37.513829;52.168726;1.106084;1.390653;0.719087;0.705490;46.000000;0.694921;144.777000;55.365385;0;162
20;F-11333-x40-04.tif;1937;806.042850;574.002581;42.803025;60.614699;1.181560;1.416131;0.706149;0.671249;115.000000;0.708063;169.589000;51.315436;0;185
21;F-11333-x40-04.tif;1388;814.544669;435.355908;39.536148;44.843913;0.997221;1.134251;0.881639;0.878805;38.000000;0.471924;131.885000;62.206052;0;185
22;F-11333-x40-04.tif;1281;822.231850;500.434817;36.819310;44.596033;0.994113;1.211213;0.825619;0.820100;27.000000;0.564229;126.502000;54.491023;0;178
23;F-11333-x40-04.tif;1471;853.969409;476.411285;41.556716;45.205117;0.991413;1.087793;0.919292;0.916532;39.000000;0.393575;135.375000;63.101971;0;185
24;F-11333-x40-04.tif;2509;884.485851;423.730969;49.127254;66.913619;1.186812;1.362047;0.734189;0.713480;161.000000;0.678945;193.440000;55.720606;0;185
25;F-11333-x40-04.tif;1906;894.356768;328.269150;41.168727;59.294864;1.060067;1.440289;0.694305;0.690238;55.000000;0.719681;159.343000;72.632214;0;170
26;F-11333-x40-04.tif;1562;893.116517;379.216389;42.968373;47.826489;1.121581;1.113063;0.898422;0.869469;67.000000;0.439133;148.375000;54.850832;0;178
27;F-11333-x40-04.tif;2908;933.014787;294.781293;51.254435;75.053601;1.164014;1.464334;0.682904;0.657297;215.000000;0.730508;206.244000;46.462517;0;232
28;F-11333-x40-04.tif;1421;923.904293;458.927516;38.413846;48.713618;1.136453;1.268127;0.788565;0.762436;115.000000;0.614952;142.455000;64.171006;0;155
29;F-11333-x40-04.tif;2334;953.990574;357.527421;51.779281;57.580581;1.005312;1.112039;0.899249;0.896311;48.000000;0.437437;171.714000;43.716367;0;185
30;F-11333-x40-04.tif;1234;948.002431;403.393031;38.587098;41.907621;1.076115;1.086053;0.920766;0.894621;14.000000;0.390116;129.179000;51.209076;0;162
31;F-11333-x40-04.tif;791;976.922882;700.179520;25.525382;39.956961;1.046270;1.565382;0.638822;0.630815;19.000000;0.769355;101.980000;47.714286;0;247
32;F-11333-x40-04.tif;1537;984.363045;402.825634;42.169796;47.889454;1.070513;1.135634;0.880565;0.853305;33.000000;0.473925;143.793000;62.425504;0;170
33;F-11333-x40-04.tif;679;1018.029455;707.460972;25.376821;34.877362;1.019562;1.374379;0.727602;0.710710;10.000000;0.686000;93.271000;61.223859;0;224
