No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-11.tif;1605;76.489097;565.187539;27.603782;85.947060;2.121335;3.113597;0.321172;0.276645;452.000000;0.947021;206.846000;155.952025;61;198
2;M-11783-x40-11.tif;904;75.638274;709.487832;29.025691;39.981527;1.029291;1.377453;0.725978;0.720045;28.000000;0.687718;108.133000;159.805310;68;195
3;M-11783-x40-11.tif;536;102.690299;592.606343;18.419140;41.015648;1.536498;2.226795;0.449076;0.405673;67.000000;0.893494;101.731000;141.201493;71;172
4;M-11783-x40-11.tif;593;128.935919;714.539629;21.821702;36.905256;1.267198;1.691218;0.591290;0.554356;52.000000;0.806459;97.175000;154.059022;33;193
5;M-11783-x40-11.tif;1481;166.706280;734.979068;38.347263;50.209134;1.126653;1.309328;0.763751;0.747997;86.000000;0.645511;144.803000;163.674544;55;204
6;M-11783-x40-11.tif;985;213.600000;744.455838;35.985939;47.157790;3.013501;1.310450;0.763096;0.563949;498.000000;0.646285;193.134000;141.978680;86;206
7;M-11783-x40-11.tif;1774;212.634160;667.047914;27.759914;98.321813;2.694691;3.541863;0.282337;0.233649;589.000000;0.959315;245.096000;169.260992;54;217
8;M-11783-x40-11.tif;3408;256.196596;691.710387;56.513960;78.413558;1.111161;1.387508;0.720717;0.705712;154.000000;0.693230;218.144000;169.331279;71;221
9;M-11783-x40-11.tif;3047;269.222842;744.447325;56.841852;69.696816;1.238005;1.226153;0.815559;0.798650;216.000000;0.578674;217.722000;164.379718;76;203
10;M-11783-x40-11.tif;1109;334.065825;300.963931;38.873192;44.981067;2.182937;1.157123;0.864212;0.697882;302.000000;0.503127;174.418000;148.032462;76;180
11;M-11783-x40-11.tif;3479;408.276804;566.194309;57.893697;78.746254;1.240776;1.360187;0.735193;0.714340;206.000000;0.677858;232.905000;164.633228;75;205
12;M-11783-x40-11.tif;1490;437.477852;655.710738;35.258773;54.178348;1.064285;1.536592;0.650791;0.646316;41.000000;0.759257;141.165000;171.987248;62;206
13;M-11783-x40-11.tif;3748;498.094984;491.416489;58.100120;82.892270;1.256577;1.426714;0.700911;0.694515;181.000000;0.713249;243.276000;160.396478;43;204
14;M-11783-x40-11.tif;1790;493.049162;784.967598;44.818204;58.226299;2.002060;1.299166;0.769724;0.672241;471.000000;0.638376;212.212000;144.128492;101;170
15;M-11783-x40-11.tif;1371;603.592998;325.118891;36.065611;49.265219;1.045730;1.365989;0.732070;0.719228;47.000000;0.681229;134.225000;160.135667;38;203
16;M-11783-x40-11.tif;2062;636.047042;751.538312;44.742900;79.816094;2.147765;1.783883;0.560575;0.412114;673.000000;0.828104;235.908000;160.794374;73;206
17;M-11783-x40-11.tif;2155;642.738283;445.160557;36.206790;79.384822;1.319513;2.192540;0.456092;0.435394;184.000000;0.889933;189.032000;175.435731;22;232
18;M-11783-x40-11.tif;2365;730.345877;479.831290;48.600160;64.008214;1.219671;1.317037;0.759280;0.734970;169.000000;0.650764;190.389000;181.402537;46;232
