No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-09.tif;577;76.305026;235.788562;21.965908;36.132048;1.344787;1.644915;0.607934;0.562731;83.000000;0.793987;98.746000;139.625650;94;199
2;M-11811a-x40-09.tif;4188;109.775072;180.351958;60.439398;91.617103;1.404077;1.515851;0.659696;0.635278;473.000000;0.751533;271.834000;168.717526;36;218
3;M-11811a-x40-09.tif;2510;126.831076;431.329482;39.484800;84.260925;1.611736;2.134009;0.468602;0.450123;333.000000;0.883410;225.470000;150.487251;85;189
4;M-11811a-x40-09.tif;302;112.572848;778.910596;11.800994;44.589797;2.387573;3.778478;0.264657;0.193395;111.000000;0.964343;95.189000;126.096026;94;167
5;M-11811a-x40-09.tif;4860;180.880247;299.318519;66.807093;95.024086;1.264954;1.422365;0.703054;0.685297;254.000000;0.711136;277.946000;189.066461;63;238
6;M-11811a-x40-09.tif;5244;206.637300;231.867849;70.709216;97.901230;1.316664;1.384561;0.722251;0.696621;583.000000;0.691632;294.560000;193.529939;80;243
7;M-11811a-x40-09.tif;6428;261.504978;171.238021;72.168931;119.972135;1.454716;1.662379;0.601547;0.568624;933.000000;0.798837;342.793000;185.737088;75;240
8;M-11811a-x40-09.tif;5888;349.115829;423.733865;81.243063;96.511969;1.571902;1.187941;0.841793;0.804851;590.000000;0.539801;341.037000;169.588655;78;241
9;M-11811a-x40-09.tif;2553;392.798668;557.192714;44.088800;81.252786;1.514705;1.842935;0.542613;0.492362;222.000000;0.839983;220.442000;187.942812;55;252
10;M-11811a-x40-09.tif;3729;406.042639;336.604452;62.561717;79.792168;1.789118;1.275415;0.784058;0.745731;471.000000;0.620687;289.548000;194.816573;68;251
11;M-11811a-x40-09.tif;710;391.223944;625.147887;21.848525;47.366818;1.790741;2.167964;0.461262;0.402921;177.000000;0.887264;126.401000;137.756338;86;170
12;M-11811a-x40-09.tif;6306;428.510149;714.800349;80.454817;109.666487;1.937652;1.363082;0.733632;0.667600;993.000000;0.679547;391.850000;175.759277;38;253
13;M-11811a-x40-09.tif;2683;424.966828;384.306001;47.797575;74.242815;1.250826;1.553276;0.643801;0.619758;234.000000;0.765193;205.359000;201.655237;68;251
14;M-11811a-x40-09.tif;2229;431.553611;454.741140;50.671161;58.571349;1.403441;1.155911;0.865119;0.827275;231.000000;0.501567;198.270000;145.339614;87;217
15;M-11811a-x40-09.tif;4153;478.545630;550.801348;68.872641;94.560717;2.703783;1.372979;0.728343;0.591358;1328.000000;0.685213;375.640000;185.905370;39;253
16;M-11811a-x40-09.tif;4743;502.969429;180.943707;60.508750;105.008519;1.387481;1.735427;0.576227;0.547664;372.000000;0.817290;287.571000;184.736032;61;242
17;M-11811a-x40-09.tif;2720;491.708824;675.085294;49.803930;71.231833;1.291794;1.430245;0.699181;0.682544;208.000000;0.714945;210.129000;164.402206;47;243
18;M-11811a-x40-09.tif;3765;525.366534;280.488977;43.066277;115.433712;1.811580;2.680374;0.373082;0.359757;451.000000;0.927798;292.763000;155.628685;85;199
19;M-11811a-x40-09.tif;1508;529.281167;129.733422;33.168559;60.093253;1.403136;1.811754;0.551951;0.531692;140.000000;0.833876;163.063000;163.782493;96;226
20;M-11811a-x40-09.tif;6630;561.529864;491.206637;64.826018;136.971499;1.744227;2.112909;0.473281;0.449949;805.000000;0.880911;381.209000;181.616591;70;253
21;M-11811a-x40-09.tif;3637;553.257630;612.417652;59.635809;80.016424;1.288080;1.341751;0.745295;0.723261;302.000000;0.666735;242.632000;186.808633;47;250
22;M-11811a-x40-09.tif;352;538.051136;652.232955;17.469580;27.346719;1.226156;1.565391;0.638818;0.599297;47.000000;0.769358;73.646000;150.883523;90;209
23;M-11811a-x40-09.tif;6146;579.642694;690.160430;75.273285;106.943932;1.524465;1.420742;0.703857;0.684212;703.000000;0.710341;343.131000;188.170029;38;244
24;M-11811a-x40-09.tif;440;559.475000;547.111364;16.188112;52.301952;3.038140;3.230886;0.309513;0.204799;188.000000;0.950895;129.609000;138.647727;29;238
25;M-11811a-x40-09.tif;3877;602.643281;141.850658;54.848723;92.137626;1.413917;1.679850;0.595291;0.581476;301.000000;0.803510;262.461000;185.825638;75;243
26;M-11811a-x40-09.tif;3779;626.277057;572.831437;65.318964;96.202806;2.743910;1.472816;0.678971;0.519890;1465.000000;0.734165;360.976000;187.679016;41;252
27;M-11811a-x40-09.tif;5304;659.291855;303.690611;68.318080;101.194072;1.355838;1.481220;0.675119;0.659483;314.000000;0.737708;300.615000;177.894419;84;248
28;M-11811a-x40-09.tif;3789;676.997361;154.552125;70.601805;72.278962;1.482003;1.023755;0.976796;0.923445;505.000000;0.214172;265.639000;178.266561;52;251
29;M-11811a-x40-09.tif;3614;709.804649;640.898174;41.347199;125.088128;1.943445;3.025311;0.330545;0.294080;630.000000;0.943790;297.088000;178.807416;68;242
30;M-11811a-x40-09.tif;4685;729.630523;242.251654;70.458371;88.218946;1.198861;1.252072;0.798676;0.766471;332.000000;0.601761;265.671000;181.622412;33;249
31;M-11811a-x40-09.tif;4134;733.011611;580.316642;54.029745;97.939709;1.245561;1.812700;0.551663;0.548735;173.000000;0.834067;254.374000;184.205128;63;250
32;M-11811a-x40-09.tif;5362;746.335323;131.841291;79.714459;93.263018;1.391960;1.169964;0.854727;0.784907;581.000000;0.519077;306.254000;177.584297;81;247
33;M-11811a-x40-09.tif;5106;816.663337;616.102624;73.595025;89.155991;1.171544;1.211440;0.825464;0.817881;282.000000;0.564455;274.173000;175.846455;86;229
34;M-11811a-x40-09.tif;6528;848.722426;512.071998;82.181337;107.198119;1.416630;1.304410;0.766630;0.723296;570.000000;0.642089;340.897000;179.854320;55;251
35;M-11811a-x40-09.tif;4499;849.038231;216.920649;61.550040;95.825527;1.413677;1.556872;0.642314;0.623826;384.000000;0.766442;282.708000;182.953990;48;249
36;M-11811a-x40-09.tif;4173;850.735202;141.063024;71.043554;75.331172;1.076732;1.060352;0.943083;0.936287;128.000000;0.332557;237.620000;188.220225;71;243
37;M-11811a-x40-09.tif;4480;892.486830;427.469196;69.226578;86.223967;1.441116;1.245533;0.802869;0.767242;448.000000;0.596155;284.835000;181.570313;86;252
38;M-11811a-x40-09.tif;6958;931.944955;51.985197;71.113553;127.269260;1.689575;1.789663;0.558765;0.546950;841.000000;0.829326;384.358000;177.171888;61;237
39;M-11811a-x40-09.tif;693;894.347763;194.088023;26.323361;34.291089;1.141745;1.302687;0.767644;0.750379;49.000000;0.640876;99.714000;143.916306;83;210
40;M-11811a-x40-09.tif;4004;923.210789;149.988761;64.409254;80.115920;1.079392;1.243857;0.803951;0.794267;127.000000;0.594696;233.046000;193.801948;63;248
41;M-11811a-x40-09.tif;2191;930.584665;462.295299;43.853087;66.096624;1.141503;1.507229;0.663469;0.638549;116.000000;0.748203;177.282000;211.309448;61;255
42;M-11811a-x40-09.tif;4204;939.064938;237.164367;69.308197;77.861733;1.058258;1.123413;0.890145;0.882927;114.000000;0.455678;236.446000;184.396051;41;242
