No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-09.tif;412;36.259709;404.303398;14.416529;37.330936;1.476231;2.589454;0.386182;0.376417;53.000000;0.922423;87.424000;96.834951;15;175
2;M-11811a-x40-09.tif;4499;182.745499;306.832185;65.835809;93.118641;1.482389;1.414407;0.707010;0.660622;354.000000;0.707204;289.497000;52.326962;0;226
3;M-11811a-x40-09.tif;3591;193.957950;239.078530;67.985642;81.295887;2.206047;1.195780;0.836274;0.691812;752.000000;0.548312;315.515000;60.953216;0;175
4;M-11811a-x40-09.tif;375;188.274667;550.749333;20.098411;25.220655;1.151702;1.254858;0.796903;0.750635;24.000000;0.604108;73.670000;80.290667;22;124
5;M-11811a-x40-09.tif;5528;263.497648;358.403944;75.877329;97.792824;1.796016;1.288828;0.775899;0.735977;1052.000000;0.630857;353.219000;52.096237;0;168
6;M-11811a-x40-09.tif;5217;343.788192;423.493770;80.611698;86.556693;1.467336;1.073749;0.931317;0.886604;508.000000;0.364210;310.156000;48.273721;0;160
7;M-11811a-x40-09.tif;1777;330.160945;227.199775;40.889730;56.693118;1.114952;1.386488;0.721247;0.703942;41.000000;0.692678;157.789000;47.897017;0;153
8;M-11811a-x40-09.tif;926;337.004320;338.569114;31.014584;42.032010;1.752434;1.355234;0.737880;0.667361;189.000000;0.674932;142.801000;91.048596;51;124
9;M-11811a-x40-09.tif;1882;351.391605;262.340595;43.811477;57.698543;1.170278;1.316973;0.759317;0.719780;49.000000;0.650721;166.364000;70.831031;0;131
10;M-11811a-x40-09.tif;2558;391.211884;557.595778;45.788423;80.310767;1.670890;1.753954;0.570141;0.504967;314.000000;0.821547;231.755000;45.614152;0;211
11;M-11811a-x40-09.tif;4057;399.294060;339.326103;59.607667;91.271166;1.763407;1.531198;0.653083;0.620080;503.000000;0.757286;299.836000;48.718018;0;146
12;M-11811a-x40-09.tif;1292;382.817337;626.476780;30.215707;56.044727;1.623125;1.854821;0.539136;0.523725;150.000000;0.842219;162.335000;86.066563;29;131
