No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-09.tif;5952;104.268481;188.393649;68.235385;128.788195;2.000716;1.887411;0.529826;0.456900;1315.000000;0.848106;386.838000;59.254368;0;235
2;M-11811a-x40-09.tif;4253;132.215377;430.022807;60.874673;100.117854;1.802041;1.644655;0.608030;0.540235;771.000000;0.793914;310.338000;59.180578;0;216
3;M-11811a-x40-09.tif;1130;205.323009;234.850442;32.536492;45.745876;1.156599;1.405987;0.711244;0.687519;74.000000;0.702945;128.155000;166.064602;92;209
4;M-11811a-x40-09.tif;2006;248.042871;279.277667;40.482833;73.189844;1.829352;1.807923;0.553121;0.476803;570.000000;0.833101;214.743000;177.351446;46;242
5;M-11811a-x40-09.tif;3019;293.294137;278.412719;60.200679;65.928112;1.501264;1.095139;0.913126;0.884366;252.000000;0.407677;238.652000;191.869162;92;255
6;M-11811a-x40-09.tif;1427;300.166783;204.502453;38.945314;49.719590;1.581544;1.276651;0.783299;0.734986;236.000000;0.621645;168.406000;180.433076;85;255
7;M-11811a-x40-09.tif;3741;355.332264;575.822240;57.155860;101.628239;2.827948;1.778090;0.562401;0.461178;1158.000000;0.826864;364.615000;192.189522;72;255
8;M-11811a-x40-09.tif;965;490.759585;329.784456;27.858738;52.147759;1.621789;1.871864;0.534227;0.451821;196.000000;0.845341;140.238000;178.079793;85;229
9;M-11811a-x40-09.tif;3124;526.967990;561.254802;67.703689;74.245457;2.368129;1.096624;0.911890;0.721575;978.000000;0.410435;304.904000;180.094750;46;255
10;M-11811a-x40-09.tif;322;503.024845;517.378882;17.363448;24.285846;1.036833;1.398676;0.714962;0.695120;15.000000;0.699164;64.772000;175.810559;105;255
11;M-11811a-x40-09.tif;346;622.028902;735.745665;16.838673;29.396570;1.394687;1.745777;0.572811;0.509792;70.000000;0.819688;77.872000;117.653179;33;196
12;M-11811a-x40-09.tif;648;730.288580;456.930556;23.759735;36.695493;1.307773;1.544440;0.647484;0.612717;90.000000;0.762079;103.195000;172.353395;105;229
13;M-11811a-x40-09.tif;4602;1103.136897;470.850065;70.220950;86.109229;1.395651;1.226261;0.815487;0.790237;488.000000;0.578775;284.097000;206.574967;85;255
14;M-11811a-x40-09.tif;2919;1180.371360;478.490236;45.403766;86.004921;1.709612;1.894224;0.527921;0.502456;368.000000;0.849294;250.421000;195.240493;72;255
15;M-11811a-x40-09.tif;1107;1243.305330;614.259259;36.275828;40.512987;1.205150;1.116804;0.895412;0.858755;112.000000;0.445238;129.479000;82.310750;20;209
16;M-11811a-x40-09.tif;1857;1255.207324;652.194400;45.502478;55.521840;1.411898;1.220194;0.819542;0.766998;259.000000;0.573019;181.515000;62.127625;0;242
17;M-11811a-x40-09.tif;1191;1335.307305;338.147775;34.860447;44.914814;1.110019;1.288418;0.776146;0.751697;85.000000;0.630553;128.892000;53.584383;0;235
18;M-11811a-x40-09.tif;1135;1361.435242;302.444934;31.560856;49.437291;1.414402;1.566412;0.638402;0.591285;114.000000;0.769703;142.033000;61.062555;0;222
19;M-11811a-x40-09.tif;3845;1540.188817;652.475683;62.604704;82.312031;1.468413;1.314790;0.760578;0.722570;450.000000;0.649247;266.365000;63.488166;0;242
20;M-11811a-x40-09.tif;699;1535.394850;399.494993;24.225811;43.965522;2.041177;1.814821;0.551018;0.460429;189.000000;0.834493;133.901000;139.075823;118;163
