No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-01.tif;1152;77.006944;140.105035;35.938369;41.225575;1.032370;1.147119;0.871749;0.863036;39.000000;0.489952;122.250000;109.514757;67;194
2;M-11934b-x40-01.tif;1430;136.432168;258.949650;35.568361;52.494749;1.156062;1.475883;0.677560;0.660715;114.000000;0.735467;144.133000;91.426573;24;219
3;M-11934b-x40-01.tif;1054;149.828273;231.205882;30.242232;45.976171;1.155079;1.520264;0.657781;0.634870;89.000000;0.753210;123.689000;78.412713;6;170
4;M-11934b-x40-01.tif;1220;156.405738;379.230328;36.191554;44.864436;1.334452;1.239638;0.806687;0.771730;119.000000;0.590979;143.033000;101.966393;30;182
5;M-11934b-x40-01.tif;1738;175.737054;561.085155;36.736260;62.124321;1.389621;1.691090;0.591335;0.573372;203.000000;0.806426;174.212000;87.742808;12;206
6;M-11934b-x40-01.tif;1464;199.325820;460.163251;43.492239;45.116542;1.122876;1.037347;0.963998;0.915756;93.000000;0.265911;143.728000;82.504098;12;194
7;M-11934b-x40-01.tif;1832;215.183952;130.165939;33.875099;69.485734;1.251949;2.051233;0.487512;0.483108;82.000000;0.873117;169.770000;75.711790;0;200
8;M-11934b-x40-01.tif;2339;224.765712;269.537837;48.566789;62.863877;1.170390;1.294380;0.772571;0.753595;143.000000;0.634929;185.475000;75.825566;6;200
9;M-11934b-x40-01.tif;1497;236.334001;473.391450;42.465460;45.721988;1.140095;1.076687;0.928775;0.911762;112.000000;0.370643;146.449000;65.226453;0;231
10;M-11934b-x40-01.tif;1476;243.770325;564.432927;37.666028;50.551612;1.068315;1.342101;0.745100;0.735405;49.000000;0.666952;140.766000;78.021680;6;231
11;M-11934b-x40-01.tif;4332;285.557018;749.785088;47.721759;119.738819;1.636363;2.509103;0.398549;0.384706;424.000000;0.917147;298.462000;64.180286;0;237
