No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-05.tif;3634;73.807650;105.190699;54.300060;88.438787;1.187272;1.628705;0.613985;0.591575;177.000000;0.789318;232.848000;200.207210;30;240
2;M-11934b-x40-05.tif;2578;66.586889;181.899535;43.176679;78.705994;1.564605;1.822882;0.548582;0.529880;316.000000;0.836097;225.138000;160.587665;43;215
3;M-11934b-x40-05.tif;1218;77.006568;634.327586;36.135273;44.130634;1.190175;1.221262;0.818825;0.796301;111.000000;0.574043;134.969000;138.624795;65;165
4;M-11934b-x40-05.tif;1780;97.581461;259.238764;35.684799;74.090202;2.246116;2.076240;0.481640;0.412865;451.000000;0.876369;224.146000;134.115169;26;234
5;M-11934b-x40-05.tif;756;87.825397;539.043651;29.158167;35.257067;1.576740;1.209166;0.827016;0.774354;101.000000;0.562178;122.390000;133.619048;76;154
6;M-11934b-x40-05.tif;1611;119.805090;91.016139;41.498088;50.279202;1.145326;1.211603;0.825353;0.811389;91.000000;0.564617;152.271000;154.663563;61;201
7;M-11934b-x40-05.tif;406;200.918719;321.357143;18.903343;31.804692;1.595082;1.682490;0.594357;0.511039;89.000000;0.804201;90.211000;137.839901;80;222
8;M-11934b-x40-05.tif;902;256.176275;601.312639;27.020958;43.930996;1.192851;1.625812;0.615077;0.595079;58.000000;0.788467;116.279000;142.873614;60;165
9;M-11934b-x40-05.tif;1335;263.063670;355.178277;29.229934;62.111420;1.535054;2.124925;0.470605;0.440604;180.000000;0.882344;160.475000;151.710861;81;214
10;M-11934b-x40-05.tif;826;264.023002;636.363196;30.369461;37.956345;1.251605;1.249819;0.800116;0.729998;79.000000;0.599846;113.980000;143.059322;103;166
11;M-11934b-x40-05.tif;729;263.831276;564.620027;23.742267;39.411899;1.074765;1.659989;0.602414;0.597562;24.000000;0.798184;99.226000;139.908093;94;158
12;M-11934b-x40-05.tif;1419;285.791402;75.218464;37.125187;54.240440;1.616652;1.461015;0.684456;0.614110;255.000000;0.729054;169.787000;148.862579;44;196
13;M-11934b-x40-05.tif;5752;319.787900;227.098053;64.328315;125.352223;2.383516;1.948632;0.513180;0.466085;1310.000000;0.858281;415.072000;168.228268;69;233
