No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-06.tif;1310;149.688550;125.803053;36.664692;45.766606;1.026863;1.248247;0.801123;0.796313;46.000000;0.598499;130.016000;44.317557;0;224
2;M-11934b-x40-06.tif;2380;260.316807;389.767227;50.375292;61.781965;1.205347;1.226434;0.815372;0.793896;115.000000;0.578937;189.867000;48.239076;0;205
3;M-11934b-x40-06.tif;2749;326.082939;288.200800;53.103808;72.553897;1.562589;1.366265;0.731922;0.664911;442.000000;0.681388;232.335000;72.883958;0;174
4;M-11934b-x40-06.tif;4392;334.193761;89.391393;68.335216;83.279834;1.392984;1.218696;0.820549;0.806293;353.000000;0.571576;277.274000;54.807377;0;155
5;M-11934b-x40-06.tif;3915;376.532822;328.609451;62.992375;81.068705;1.116281;1.286961;0.777025;0.758465;196.000000;0.629470;234.346000;38.880971;0;199
6;M-11934b-x40-06.tif;6762;533.305827;346.908311;81.930109;108.062831;1.276791;1.318964;0.758171;0.737280;397.000000;0.652056;329.384000;43.933304;0;243
7;M-11934b-x40-06.tif;4911;607.641824;263.921808;79.008111;80.932161;1.316376;1.024353;0.976226;0.954636;241.000000;0.216753;285.023000;51.565873;0;236
8;M-11934b-x40-06.tif;5764;612.993754;344.417418;77.390295;97.454344;1.179578;1.259258;0.794118;0.772737;304.000000;0.607763;292.301000;41.507807;0;243
9;M-11934b-x40-06.tif;3714;615.693592;468.128433;63.555090;76.941628;1.173362;1.210629;0.826017;0.798784;255.000000;0.563645;234.014000;40.408454;0;243
10;M-11934b-x40-06.tif;5120;681.101758;443.742188;73.312820;90.392663;1.188094;1.232972;0.811048;0.797836;291.000000;0.584979;276.481000;43.463086;0;180
11;M-11934b-x40-06.tif;447;677.550336;366.317673;13.803417;45.670135;1.991512;3.308611;0.302242;0.272868;67.000000;0.953231;105.767000;102.693512;56;149
12;M-11934b-x40-06.tif;449;696.579065;505.552339;15.502489;53.285503;2.525846;3.437222;0.290933;0.201344;167.000000;0.956744;119.380000;90.982183;0;205
13;M-11934b-x40-06.tif;5290;734.790359;310.553686;67.138713;104.709142;1.292926;1.559594;0.641192;0.614323;447.000000;0.767380;293.170000;42.068242;0;187
14;M-11934b-x40-06.tif;6059;763.480277;369.947681;71.545016;115.155613;1.992271;1.609555;0.621290;0.581756;1138.000000;0.783581;389.475000;40.985806;0;149
15;M-11934b-x40-06.tif;4133;743.226470;490.396080;64.324554;85.902577;1.585582;1.335455;0.748808;0.713121;554.000000;0.662787;286.967000;50.548028;0;211
16;M-11934b-x40-06.tif;1852;784.969222;536.273218;34.361144;69.683828;1.202971;2.027983;0.493101;0.485609;52.000000;0.869972;167.322000;57.327754;0;230
17;M-11934b-x40-06.tif;3789;803.616785;291.777250;62.713376;79.806078;1.367127;1.272553;0.785822;0.757465;415.000000;0.618453;255.136000;51.437846;0;224
18;M-11934b-x40-06.tif;2584;831.940015;378.457430;47.419945;71.913283;1.281528;1.516520;0.659405;0.636186;233.000000;0.751788;203.993000;44.335139;0;211
19;M-11934b-x40-06.tif;5843;889.740715;333.081465;71.931945;105.361698;1.235020;1.464741;0.682714;0.670163;310.000000;0.730685;301.134000;42.678761;0;218
20;M-11934b-x40-06.tif;1296;975.631173;126.706019;31.014446;56.691403;1.557844;1.827903;0.547075;0.513429;192.000000;0.837084;159.283000;60.122685;0;224
21;M-11934b-x40-06.tif;1338;1099.598655;465.372197;38.573878;46.710866;1.252324;1.210946;0.825801;0.780783;115.000000;0.563962;145.108000;48.618834;0;243
