No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-04.tif;1528;203.947644;613.494110;36.127728;67.950291;2.179320;1.880835;0.531679;0.421358;475.000000;0.846946;204.563000;93.439136;0;181
2;M-11940-x40-04.tif;697;227.243902;168.967001;23.736541;37.864612;1.084919;1.595203;0.626879;0.618979;28.000000;0.779116;97.481000;51.853659;0;249
3;M-11940-x40-04.tif;6453;317.741671;763.561134;90.351024;96.861533;1.960981;1.072058;0.932785;0.875728;1196.000000;0.360432;398.770000;65.817914;0;204
4;M-11940-x40-04.tif;4996;324.117694;622.917534;71.800198;90.168367;1.489887;1.255823;0.796290;0.782392;506.000000;0.604915;305.839000;61.022418;0;176
5;M-11940-x40-04.tif;2355;382.965180;752.617410;49.702320;61.237382;1.123388;1.232083;0.811634;0.799591;106.000000;0.584167;182.333000;48.755414;0;198
6;M-11940-x40-04.tif;1978;421.274520;403.402932;38.229449;74.691555;2.037596;1.953770;0.511831;0.451433;379.000000;0.859086;225.049000;59.900910;0;187
7;M-11940-x40-04.tif;3772;446.256098;624.447243;66.037100;73.955303;1.200663;1.119905;0.892933;0.878098;225.000000;0.450190;238.562000;64.884411;0;147
8;M-11940-x40-04.tif;1664;917.557091;414.991587;41.097109;69.011890;2.390320;1.679240;0.595508;0.444852;575.000000;0.803350;223.568000;91.966947;0;170
9;M-11940-x40-04.tif;1833;937.202946;695.412984;38.404720;76.015077;2.408455;1.979316;0.505225;0.403899;583.000000;0.862988;235.535000;154.456083;0;232
10;M-11940-x40-04.tif;461;933.776573;653.772234;25.089819;33.743431;2.449887;1.344905;0.743547;0.515505;218.000000;0.668684;119.132000;131.982646;62;176
11;M-11940-x40-04.tif;3907;965.970822;455.864090;59.866521;86.625527;1.518068;1.446978;0.691096;0.662921;433.000000;0.722763;273.006000;64.682109;0;204
12;M-11940-x40-04.tif;867;957.068051;562.680507;31.469074;39.835872;1.455188;1.265874;0.789968;0.695634;147.000000;0.613148;125.914000;54.217993;0;198
13;M-11940-x40-04.tif;571;1030.740806;682.355517;21.174102;38.937701;1.849102;1.838930;0.543794;0.479519;119.000000;0.839219;115.187000;112.537653;62;170
14;M-11940-x40-04.tif;3596;1119.556730;583.871246;44.592919;115.199694;1.901230;2.583363;0.387092;0.345006;788.000000;0.922041;293.111000;86.378198;0;198
15;M-11940-x40-04.tif;1257;1097.631663;77.405728;26.022169;65.806271;1.436027;2.528854;0.395436;0.369582;88.000000;0.918494;150.610000;53.921241;0;187
16;M-11940-x40-04.tif;4075;1199.802945;565.036319;64.720564;95.620558;2.527834;1.477437;0.676848;0.567460;1613.000000;0.736123;359.785000;82.871656;0;193
17;M-11940-x40-04.tif;2577;1271.453240;554.540939;43.882122;90.730611;3.004045;2.067599;0.483653;0.398581;1081.000000;0.875260;311.900000;75.628250;0;198
18;M-11940-x40-04.tif;2917;1374.772712;230.570106;53.131907;71.379465;1.345272;1.343439;0.744358;0.728954;250.000000;0.667780;222.064000;61.407953;0;210
