No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-10.tif;783;104.521073;315.762452;26.277647;38.608664;1.058141;1.469259;0.680615;0.668809;30.000000;0.732641;102.037000;81.789272;9;199
2;M-11940-x40-10.tif;1000;132.809000;733.613000;23.823901;57.482209;1.466956;2.412796;0.414457;0.385339;70.000000;0.910069;135.773000;187.764000;82;238
3;M-11940-x40-10.tif;779;213.209243;625.074454;18.280460;58.758093;1.716711;3.214257;0.311114;0.287284;95.000000;0.950373;129.635000;113.924262;52;225
4;M-11940-x40-10.tif;1337;275.941660;604.933433;34.617751;61.434851;1.834655;1.774663;0.563487;0.451037;350.000000;0.826125;175.569000;109.642483;43;212
5;M-11940-x40-10.tif;2563;292.581350;431.821303;55.435316;62.051343;1.369177;1.119347;0.893378;0.847532;264.000000;0.449305;209.995000;72.145533;17;233
6;M-11940-x40-10.tif;2625;297.140571;380.339048;55.934250;62.956170;1.248128;1.125539;0.888463;0.843263;239.000000;0.458948;202.908000;58.711619;0;225
7;M-11940-x40-10.tif;1029;455.311953;232.247813;27.788545;48.793546;1.193438;1.755887;0.569513;0.550302;49.000000;0.821983;124.226000;93.323615;26;203
8;M-11940-x40-10.tif;534;494.983146;236.956929;25.086040;28.497799;1.120928;1.136002;0.880280;0.837199;27.000000;0.474455;86.729000;130.009363;82;220
9;M-11940-x40-10.tif;1016;621.858268;609.771654;30.154215;44.551462;1.157766;1.477454;0.676840;0.651748;65.000000;0.736130;121.580000;108.966535;43;199
10;M-11940-x40-10.tif;849;678.987044;300.134276;23.402599;47.051022;1.181898;2.010504;0.497388;0.488292;32.000000;0.867528;112.292000;89.288575;26;242
11;M-11940-x40-10.tif;1217;746.151191;688.117502;30.773022;50.741179;1.077809;1.648885;0.606470;0.601838;30.000000;0.795106;128.387000;106.835661;61;212
12;M-11940-x40-10.tif;1329;759.610986;547.970655;33.291223;54.307943;1.251923;1.631299;0.613008;0.573731;70.000000;0.790076;144.596000;101.225734;35;216
13;M-11940-x40-10.tif;1866;800.687567;148.250268;41.480960;61.306590;1.340031;1.477945;0.676615;0.632131;170.000000;0.736337;177.263000;183.500000;17;242
14;M-11940-x40-10.tif;1072;939.901119;626.095149;30.899233;45.206885;1.149240;1.463042;0.683507;0.667876;56.000000;0.729944;124.425000;87.933769;26;233
15;M-11940-x40-10.tif;876;954.667808;531.668950;26.524298;42.634178;1.057638;1.607363;0.622137;0.613619;29.000000;0.782908;107.901000;90.037671;26;216
16;M-11940-x40-10.tif;811;1078.832306;405.689273;30.315284;34.690646;1.051825;1.144329;0.873875;0.858037;43.000000;0.486151;103.535000;66.606658;0;216
17;M-11940-x40-10.tif;1245;1095.794378;434.563855;33.335593;47.905527;1.074433;1.437068;0.695861;0.690730;65.000000;0.718176;129.652000;72.159839;0;220
18;M-11940-x40-10.tif;1389;1136.779698;327.445644;34.473549;58.210713;1.908971;1.688562;0.592220;0.521923;199.000000;0.805776;182.539000;177.826494;39;255
19;M-11940-x40-10.tif;1470;1152.875510;448.157143;37.148548;51.205981;1.102400;1.378411;0.725473;0.713816;51.000000;0.688251;142.703000;78.247619;9;233
20;M-11940-x40-10.tif;2534;1222.140884;141.968824;42.225976;83.625267;1.553907;1.980422;0.504943;0.461362;332.000000;0.863153;222.444000;94.611287;13;212
21;M-11940-x40-10.tif;1169;1258.625321;763.729683;27.834572;59.849958;1.552073;2.150202;0.465073;0.415525;182.000000;0.885273;150.997000;179.554320;73;238
22;M-11940-x40-10.tif;896;1256.089286;671.315848;25.679540;47.680715;1.280160;1.856759;0.538573;0.501802;66.000000;0.842579;120.058000;85.255580;13;212
23;M-11940-x40-10.tif;1902;1290.740273;148.074658;32.005915;79.377763;1.506140;2.480097;0.403210;0.384346;150.000000;0.915107;189.733000;89.059411;9;216
24;M-11940-x40-10.tif;660;1276.919697;688.534848;24.084147;35.203319;1.029303;1.461680;0.684144;0.678089;20.000000;0.729347;92.395000;72.310606;9;216
25;M-11940-x40-10.tif;2903;1322.952807;479.764037;52.494331;72.701850;1.279723;1.384947;0.722049;0.699304;267.000000;0.691841;216.066000;38.856700;0;207
26;M-11940-x40-10.tif;3720;1345.956183;539.040054;57.805769;93.515028;1.630037;1.617746;0.618144;0.541614;648.000000;0.786065;276.042000;67.358602;0;225
27;M-11940-x40-10.tif;1855;1351.604852;340.286253;38.728561;63.816766;1.465914;1.647796;0.606871;0.579942;227.000000;0.794800;184.855000;88.908895;9;220
