No;Filename;NNhuman
1;B-11183a-x40-08.bmp;143
2;B-11333-x40-08.bmp;154
3;B-11704-x40-06.bmp;62
4;B-11704-x40-08.bmp;56
5;B-11865-x40-02.bmp;307
6;B-11865-x40-03.bmp;157
7;B-11930-x40-05.bmp;46
8;B-AA11746-x40-05AA.bmp;105
9;B-AA11746-x40-10AA.bmp;134
10;B-hosp1385-x40-09.bmp;177
11;F-10917-x40-02.bmp;61
12;F-10968-x40-03.bmp;43
13;F-11069-x40-07.bmp;41
14;F-11183a-x40-08.bmp;143
15;F-11240-x40-02.bmp;65
16;F-11333-x40-04.bmp;71
17;F-11333-x40-08.bmp;154
18;F-11879-x40-08.bmp;38
19;F-11904a-x40-06.bmp;31
20;M-11779-x40-07.bmp;45
21;M-11783-x40-01.bmp;49
22;M-11783-x40-05.bmp;51
23;M-11783-x40-06.bmp;49
24;M-11783-x40-11.bmp;32
25;M-11804-x40-10.bmp;32
26;M-11806-x40-01.bmp;48
27;M-11806-x40-02.bmp;36
28;M-11806-x40-11.bmp;37
29;M-11811a-x40-03.bmp;32
30;M-11811a-x40-09.bmp;53
31;M-11811a-x40-10.bmp;14
32;M-11820b-x40-05.bmp;26
33;M-11820b-x40-10.bmp;25
34;M-11822-x40-05.bmp;17
35;M-11822-x40-06.bmp;35
36;M-11822-x40-07.bmp;14
37;M-11822-x40-11.bmp;17
38;M-11830a-x40-02.bmp;19
39;M-11830a-x40-03.bmp;28
40;M-11830a-x40-04.bmp;18
41;M-11830a-x40-05.bmp;20
42;M-11830a-x40-06.bmp;26
43;M-11830a-x40-11.bmp;21
44;M-11897-x40-04.bmp;12
45;M-11897-x40-05.bmp;24
46;M-11897-x40-06.bmp;18
47;M-11901b-x40-02.bmp;18
48;M-11901b-x40-03.bmp;24
49;M-11901b-x40-05.bmp;38
50;M-11901b-x40-10.bmp;25
51;M-11934b-x40-01.bmp;15
52;M-11934b-x40-05.bmp;16
53;M-11934b-x40-06.bmp;12
54;M-11940-x40-03.bmp;11
55;M-11940-x40-04.bmp;14
56;M-11940-x40-07.bmp;23
57;M-11940-x40-08.bmp;21
58;M-11940-x40-09.bmp;26
59;M-11940-x40-10.bmp;21
60;M-11940-x40-11.bmp;32
