No;Filename;NNhuman;nnR;nnG;nnB;nnRB;nnRG;nnGB;nnRGB;nnRg;nnHSV;nnH;nnS;nnV;nnHS;nnHV;nnSV;nnLab;nnL;nna;nnb;nnLa;nnLb;nnab;nnLneg;nnaneg;nnbneg;nnXYZ;nnX;nnY;nnZ;nnXneg;nnYneg;nnZneg;YCbCr-Y;YCbCr-Cb;YCbCr-Cr;nnYCbCr-Yneg;YCbCr-Cbneg;YCbCr-Crnrg
1;B-11183a-x40-08.tif;143;1;50;25;0;1;1;78;71;59;2;9;12;4;27;10;0;50;34;50;0;29;62;50;33;56;1;6;1;0;6;1;0;69;0;1;62;38;0
2;B-11333-x40-08.tif;154;17;98;97;0;17;2;85;104;16;4;31;41;20;25;9;0;62;37;84;2;59;91;57;42;81;15;47;15;1;35;13;0;113;0;3;113;105;2
3;B-11704-x40-06.tif;62;1;31;3;0;1;1;40;53;8;1;13;35;1;23;14;0;33;2;31;0;15;0;32;5;26;3;4;2;1;4;2;1;54;0;2;52;34;0
4;B-11704-x40-08.tif;56;2;50;30;0;2;2;51;52;16;4;29;29;5;17;2;0;44;14;45;0;28;0;45;19;46;4;8;4;1;6;2;0;51;0;10;51;51;12
5;B-11865-x40-02.tif;307;226;271;203;0;226;120;277;180;138;0;206;212;172;213;75;0;51;22;48;2;80;41;68;31;54;246;267;270;2;234;244;0;298;0;2;295;268;4
6;B-11865-x40-03.tif;157;119;101;137;1;119;63;94;143;22;0;73;91;42;83;29;0;99;10;96;5;114;76;102;33;94;133;145;145;3;125;126;1;143;0;0;143;145;1
7;B-11930-x40-05.tif;46;35;5;5;1;35;25;1;27;1;0;9;5;0;6;0;0;29;0;15;11;35;7;29;0;11;29;33;23;14;33;23;13;35;0;1;35;7;0
8;B-AA11746-x40-05AA.tif;105;2;3;88;0;2;0;6;78;10;0;23;40;3;38;3;0;67;3;59;0;56;4;65;4;57;3;6;8;0;2;2;0;94;0;0;86;95;2
9;B-AA11746-x40-10AA.tif;134;14;66;35;0;14;2;86;101;6;5;15;25;4;32;0;0;95;3;96;0;67;43;92;20;66;13;17;17;0;12;12;0;108;0;4;90;112;2
10;B-hosp1385-x40-09.tif;177;140;53;35;7;140;126;54;132;20;0;61;67;39;63;19;0;21;4;25;18;37;40;22;9;17;121;121;113;25;121;113;13;136;0;5;135;122;1
11;F-10917-x40-02.tif;61;0;6;3;0;0;0;12;9;6;1;1;1;0;2;2;0;16;3;10;0;2;1;11;6;7;0;0;0;0;0;0;0;4;0;1;2;5;0
12;F-10968-x40-03.tif;43;0;15;9;0;0;0;27;13;11;0;2;7;5;13;2;0;24;5;24;0;5;0;23;5;20;0;0;0;0;0;0;0;29;0;1;26;30;3
13;F-11069-x40-07.tif;41;5;7;3;0;5;5;5;25;1;0;1;3;1;4;0;0;19;2;5;0;25;0;19;2;3;5;6;5;0;6;5;0;17;0;0;17;14;1
14;F-11183a-x40-08.tif;143;1;50;25;0;1;1;78;71;59;2;9;12;4;27;10;0;50;34;50;0;29;62;50;33;56;1;6;1;0;6;1;0;69;0;1;62;38;0
15;F-11240-x40-02.tif;65;4;38;42;0;4;2;47;45;23;4;6;8;6;5;3;0;37;26;39;0;10;38;39;28;40;4;5;4;0;4;4;0;46;0;0;44;32;2
16;F-11333-x40-04.tif;71;15;24;14;3;15;8;19;29;2;8;3;6;3;11;1;0;19;4;24;7;27;29;17;6;19;14;16;18;3;13;18;3;33;0;2;26;25;2
17;F-11333-x40-08.tif;154;17;98;97;0;17;2;85;104;16;4;31;41;20;25;9;0;62;37;84;2;59;91;57;42;81;15;47;15;1;35;13;0;113;0;3;113;105;2
18;F-11879-x40-08.tif;38;26;6;8;0;26;22;5;26;2;4;2;11;2;4;1;0;17;1;17;0;26;15;17;1;18;25;29;24;0;29;24;0;6;0;0;6;11;0
19;F-11904a-x40-06.tif;31;29;8;8;0;29;21;7;21;1;2;9;10;1;9;2;0;13;2;12;7;18;17;14;3;11;19;23;22;3;22;21;2;16;0;1;16;8;0
20;M-11779-x40-07.tif;45;22;18;17;2;22;12;17;21;3;2;12;15;5;8;4;0;11;0;11;10;19;25;11;2;12;26;25;24;6;25;24;6;18;0;0;18;21;0
21;M-11783-x40-01.tif;49;16;14;9;0;16;6;12;25;5;0;11;12;6;11;0;0;8;2;6;3;24;21;9;4;6;20;28;21;0;25;18;0;29;0;0;29;20;2
22;M-11783-x40-05.tif;51;25;23;19;1;25;10;16;32;7;0;16;19;6;13;5;0;19;5;19;5;31;24;19;9;17;26;33;26;2;28;22;2;31;0;0;31;25;0
23;M-11783-x40-06.tif;49;26;20;15;5;26;17;17;26;2;0;14;23;7;12;2;0;14;5;13;10;29;22;17;6;10;27;32;29;4;31;24;4;24;0;0;24;22;0
24;M-11783-x40-11.tif;32;12;23;23;0;12;4;22;27;4;1;12;17;4;13;5;0;14;5;12;3;24;18;11;9;13;17;24;19;1;22;15;0;16;0;0;16;22;0
25;M-11804-x40-10.tif;32;17;23;23;0;17;9;22;24;2;0;8;10;0;7;2;0;12;1;11;0;21;13;12;3;11;19;20;21;1;20;21;1;26;0;2;26;27;2
26;M-11806-x40-01.tif;48;22;6;21;1;22;12;2;27;2;0;15;16;1;17;0;0;9;2;6;4;14;9;9;2;5;25;27;30;3;26;29;3;24;0;0;23;6;0
27;M-11806-x40-02.tif;36;22;12;23;1;22;17;10;25;1;1;12;13;1;10;3;0;13;3;15;4;19;5;13;3;16;24;27;23;4;26;23;3;16;0;0;16;12;0
28;M-11806-x40-11.tif;37;12;2;2;1;12;7;2;16;1;0;6;5;0;5;3;0;4;0;8;1;8;3;4;0;6;15;14;15;3;14;15;3;10;0;2;10;4;2
29;M-11811a-x40-03.tif;32;13;1;1;3;13;14;1;11;0;3;1;1;0;1;0;0;1;0;3;5;5;3;1;1;3;11;17;11;5;17;11;5;10;0;0;10;1;1
30;M-11811a-x40-09.tif;53;37;1;3;4;37;30;1;38;0;5;4;14;0;6;2;0;3;0;1;9;9;0;2;0;1;34;37;24;11;37;24;10;15;0;0;15;11;0
31;M-11811a-x40-10.tif;14;10;1;0;0;10;10;0;12;0;0;2;6;0;1;0;0;1;0;1;0;9;0;3;0;0;11;11;11;0;11;11;0;6;0;0;6;3;0
32;M-11820b-x40-05.tif;26;18;5;10;1;18;15;5;19;1;9;4;9;2;4;0;0;6;0;8;6;14;9;6;0;8;20;21;20;4;20;20;4;14;0;0;14;17;0
