No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;1075;73.181395;249.157209;31.123270;44.112587;1.000593;1.417351;0.705542;0.703386;22.000000;0.708668;116.262000;110.104186;43;218
2;B-11865-x40-03.tif;1657;176.603500;382.665057;37.044612;57.197357;1.041079;1.544013;0.647663;0.644883;38.000000;0.761927;147.234000;130.617984;98;194
3;B-11865-x40-03.tif;2773;179.813199;334.751533;54.739807;66.656271;1.216863;1.217693;0.821225;0.794654;207.000000;0.570604;205.921000;126.153264;84;199
4;B-11865-x40-03.tif;1841;181.125475;239.007061;42.216279;55.681857;1.017646;1.318966;0.758169;0.756026;40.000000;0.652058;153.437000;133.878870;99;196
5;B-11865-x40-03.tif;1756;180.017654;434.378702;39.633037;56.752465;1.038450;1.431948;0.698349;0.694169;45.000000;0.715757;151.377000;125.890091;84;198
6;B-11865-x40-03.tif;1596;221.721178;309.178571;36.883997;55.736060;1.057695;1.511118;0.661762;0.654140;42.000000;0.749714;145.647000;129.395363;95;189
7;B-11865-x40-03.tif;1851;229.525122;272.489465;42.003727;56.425462;1.021881;1.343344;0.744411;0.740229;48.000000;0.667722;154.173000;134.091842;100;204
8;B-11865-x40-03.tif;6236;250.923188;402.341725;68.517071;121.924174;1.321499;1.779471;0.561965;0.534117;432.000000;0.827161;321.804000;133.303079;89;200
9;B-11865-x40-03.tif;1756;239.920843;351.592825;40.685946;55.593734;1.052229;1.366411;0.731844;0.723407;78.000000;0.681472;152.378000;134.724943;100;189
10;B-11865-x40-03.tif;3144;250.736959;200.277990;52.933752;81.870655;1.285308;1.546663;0.646553;0.597222;271.000000;0.762869;225.346000;133.459924;79;214
11;B-11865-x40-03.tif;1682;254.629013;475.004162;38.719751;55.996976;1.065170;1.446212;0.691461;0.682978;65.000000;0.722413;150.047000;122.917955;87;205
12;B-11865-x40-03.tif;1906;278.919203;255.657922;39.606859;61.478149;1.048853;1.552210;0.644243;0.642083;44.000000;0.764821;158.498000;137.304827;111;199
13;B-11865-x40-03.tif;2257;283.752326;437.234825;43.942202;71.305779;1.320960;1.622717;0.616250;0.565187;252.000000;0.787550;193.560000;119.419140;82;186
14;B-11865-x40-03.tif;1926;281.198858;307.317238;44.635497;55.099764;1.001150;1.234438;0.810085;0.807731;42.000000;0.586312;155.662000;134.553479;99;205
15;B-11865-x40-03.tif;1713;307.546994;342.779335;31.573745;70.488102;1.306126;2.232491;0.447930;0.438971;70.000000;0.894069;167.678000;135.865149;90;205
16;B-11865-x40-03.tif;5253;325.549210;451.072720;54.931980;127.972321;1.424242;2.329651;0.429249;0.408400;644.000000;0.903186;306.620000;127.860461;75;202
17;B-11865-x40-03.tif;1973;338.133300;229.686265;41.795367;60.196185;1.017793;1.440260;0.694319;0.693265;39.000000;0.719667;158.854000;138.209326;110;199
