No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;1086;485.935543;750.908840;35.783463;38.733447;0.962762;1.082440;0.923839;0.921653;21.000000;0.382782;114.625000;131.691529;45;220
2;F-11333-x40-04.tif;1157;507.010372;566.461538;29.550776;50.772082;1.095303;1.718130;0.582028;0.571470;39.000000;0.813169;126.194000;108.720830;21;223
3;F-11333-x40-04.tif;652;587.559816;472.223926;24.454088;34.532475;1.049954;1.412135;0.708148;0.696149;28.000000;0.706064;92.750000;111.865031;11;216
4;F-11333-x40-04.tif;1139;622.177349;645.634767;35.089114;42.212183;1.087104;1.202999;0.831256;0.813876;60.000000;0.555890;124.739000;135.821773;93;212
5;F-11333-x40-04.tif;1133;639.023831;484.639011;36.061076;40.697863;1.047863;1.128581;0.886068;0.870957;34.000000;0.463555;122.144000;137.602824;87;209
6;F-11333-x40-04.tif;2582;649.246321;424.649109;47.610895;69.964663;1.107201;1.469510;0.680499;0.671597;115.000000;0.732749;189.538000;138.019752;87;206
7;F-11333-x40-04.tif;945;653.652910;645.112169;29.882743;41.437091;1.097338;1.386656;0.721159;0.700751;66.000000;0.692769;114.154000;122.708995;91;219
8;F-11333-x40-04.tif;1411;666.178597;519.623671;37.845769;47.736600;1.029406;1.261346;0.792804;0.788377;37.000000;0.609477;135.102000;153.340184;102;204
9;F-11333-x40-04.tif;1996;679.170842;461.086172;39.843722;65.463062;1.307488;1.642996;0.608644;0.593032;128.000000;0.793443;181.094000;122.922846;82;202
10;F-11333-x40-04.tif;1060;681.862264;635.996226;32.726692;43.881897;1.171704;1.340860;0.745790;0.700882;97.000000;0.666181;124.930000;137.981132;88;210
11;F-11333-x40-04.tif;1267;692.636148;607.923441;33.776531;48.468983;1.095341;1.434990;0.696869;0.686687;74.000000;0.717198;132.059000;142.999211;106;193
12;F-11333-x40-04.tif;1283;700.208106;550.779423;37.221944;44.502091;1.068453;1.195587;0.836409;0.824852;62.000000;0.548106;131.249000;142.923617;106;199
13;F-11333-x40-04.tif;1070;700.546729;417.645794;37.032096;37.799960;1.048348;1.020735;0.979686;0.953479;21.000000;0.200537;118.727000;140.718692;105;205
14;F-11333-x40-04.tif;1189;703.935240;490.186712;34.963849;45.938910;1.617755;1.313897;0.761094;0.717349;160.000000;0.648641;155.472000;157.756939;127;192
15;F-11333-x40-04.tif;1381;731.246923;448.740043;39.991597;44.032067;0.967637;1.101033;0.908238;0.906913;22.000000;0.418454;129.586000;146.763215;111;206
16;F-11333-x40-04.tif;1421;735.042224;624.610134;37.713819;48.146321;1.009566;1.276623;0.783317;0.780509;39.000000;0.621623;134.267000;140.513723;82;202
17;F-11333-x40-04.tif;1135;732.223789;572.073128;32.911521;45.815490;1.222896;1.392081;0.718349;0.688464;98.000000;0.695683;132.068000;150.703084;93;191
18;F-11333-x40-04.tif;1274;756.416797;552.098116;36.238490;45.828286;1.093303;1.264630;0.790745;0.772347;72.000000;0.612146;132.300000;145.430926;106;205
19;F-11333-x40-04.tif;1201;763.086595;487.822648;36.941974;41.551891;0.978234;1.124788;0.889056;0.885669;26.000000;0.457798;121.506000;145.619484;102;205
20;F-11333-x40-04.tif;1324;766.506042;391.616314;37.161719;45.695631;1.052778;1.229643;0.813244;0.807326;54.000000;0.581922;132.348000;144.274169;98;207
21;F-11333-x40-04.tif;1731;771.845176;324.228769;43.734769;50.660975;1.041415;1.158368;0.863283;0.858737;62.000000;0.504720;150.510000;131.766031;94;195
22;F-11333-x40-04.tif;2402;787.003747;526.393006;52.033009;64.096034;1.303779;1.231834;0.811798;0.744425;251.000000;0.583939;198.378000;126.325978;67;207
23;F-11333-x40-04.tif;3368;801.577197;589.877969;50.146113;87.662653;1.224442;1.748145;0.572035;0.558024;208.000000;0.820229;227.646000;138.358373;95;214
