No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1617;419.685838;329.798392;38.505230;54.571006;1.090204;1.417236;0.705599;0.691347;69.000000;0.708612;148.838000;120.230674;9;226
2;F-11904a-x40-06.tif;1667;525.557289;288.950210;36.611294;58.599731;1.061060;1.600592;0.624769;0.618094;31.000000;0.780810;149.088000;122.458908;9;223
3;F-11904a-x40-06.tif;3898;541.417650;375.140841;61.038843;83.981672;1.476763;1.375873;0.726811;0.703692;301.000000;0.686837;268.956000;115.040021;11;190
4;F-11904a-x40-06.tif;1591;538.043997;421.371464;39.447664;55.011391;1.241891;1.394541;0.717082;0.669384;111.000000;0.696989;157.573000;125.758642;71;198
5;F-11904a-x40-06.tif;2356;578.157470;439.191426;51.576599;58.979291;1.114797;1.143528;0.874487;0.862355;122.000000;0.485050;181.673000;129.819610;95;207
6;F-11904a-x40-06.tif;1776;584.770270;344.890766;39.496453;58.849513;1.115212;1.489995;0.671143;0.652931;32.000000;0.741328;157.763000;124.418356;67;208
7;F-11904a-x40-06.tif;2228;612.105925;400.213645;43.755300;65.325967;1.093283;1.492984;0.669800;0.664743;82.000000;0.742542;174.956000;129.557899;81;191
8;F-11904a-x40-06.tif;1292;618.366873;461.347523;40.105424;41.353039;0.988862;1.031108;0.969830;0.961962;32.000000;0.243782;126.708000;116.359907;57;238
9;F-11904a-x40-06.tif;2186;627.896615;349.451510;44.172107;63.615326;1.061518;1.440170;0.694363;0.687760;72.000000;0.719625;170.763000;131.351327;84;225
10;F-11904a-x40-06.tif;1702;663.779083;319.923619;45.177418;48.784173;1.071765;1.079835;0.926067;0.910567;99.000000;0.377359;151.403000;116.297297;74;196
11;F-11904a-x40-06.tif;2067;688.632801;417.157716;43.797730;60.487848;1.058350;1.381073;0.724075;0.719307;46.000000;0.689721;165.802000;129.774069;93;197
12;F-11904a-x40-06.tif;1816;693.946035;497.430066;37.343701;64.825543;1.280882;1.735916;0.576065;0.550217;165.000000;0.817404;170.969000;110.915749;55;195
13;F-11904a-x40-06.tif;1684;696.921021;462.531473;40.939224;54.128850;1.200914;1.322176;0.756329;0.731804;107.000000;0.654191;159.416000;123.429335;59;221
14;F-11904a-x40-06.tif;1718;745.119907;489.523865;37.664358;60.825793;1.287331;1.614943;0.619217;0.591232;135.000000;0.785220;166.710000;123.695576;39;223
15;F-11904a-x40-06.tif;1459;766.647019;746.468129;36.417182;51.610581;1.074308;1.417204;0.705615;0.697410;40.000000;0.708596;140.345000;118.341330;11;230
16;F-11904a-x40-06.tif;2358;790.198897;474.782867;51.084604;59.107087;1.070349;1.157043;0.864272;0.859359;79.000000;0.503025;178.090000;130.238338;90;218
17;F-11904a-x40-06.tif;1180;798.931356;432.613559;32.100891;47.444659;1.104292;1.477986;0.676597;0.667448;37.000000;0.736354;127.964000;117.393220;27;217
18;F-11904a-x40-06.tif;1710;804.076608;260.883041;41.761776;52.222974;0.982700;1.250497;0.799682;0.798331;24.000000;0.600424;145.316000;118.489474;11;213
19;F-11904a-x40-06.tif;1199;820.130942;626.221852;36.278647;42.526546;1.000782;1.172220;0.853082;0.844129;37.000000;0.521776;122.796000;116.686405;52;234
20;F-11904a-x40-06.tif;2159;856.893006;296.386290;43.351192;64.282402;1.120126;1.482829;0.674387;0.665240;72.000000;0.738378;174.327000;129.474294;79;207
21;F-11904a-x40-06.tif;1568;846.765306;465.324617;37.561936;53.262023;1.015602;1.417979;0.705229;0.703754;30.000000;0.708979;141.462000;125.894770;73;230
22;F-11904a-x40-06.tif;1550;898.382581;383.016129;41.171129;48.167229;0.984368;1.169927;0.854754;0.850626;25.000000;0.519033;138.468000;120.454194;60;231
23;F-11904a-x40-06.tif;2059;899.505100;334.019427;47.819610;55.078199;0.979855;1.151791;0.868213;0.864186;27.000000;0.496192;159.226000;110.447305;54;221
24;F-11904a-x40-06.tif;1301;1054.834743;654.416603;33.615494;51.728762;1.219881;1.538837;0.649841;0.619046;91.000000;0.760070;141.222000;135.029208;31;224
25;F-11904a-x40-06.tif;692;1087.138728;642.304913;30.578685;30.740950;1.166258;1.005306;0.994722;0.932356;60.000000;0.102611;100.706000;153.732659;123;211
26;F-11904a-x40-06.tif;775;1140.793548;607.047742;29.804630;33.572205;0.989004;1.126409;0.887777;0.875492;10.000000;0.460274;98.142000;102.332903;4;239
27;F-11904a-x40-06.tif;2022;1180.301682;452.685955;46.198263;56.126956;1.035776;1.214915;0.823103;0.817237;55.000000;0.567892;162.229000;137.425816;76;212
28;F-11904a-x40-06.tif;1658;1182.881182;600.453559;35.270183;62.180315;1.212915;1.762971;0.567224;0.545995;102.000000;0.823563;158.969000;101.987334;14;231
29;F-11904a-x40-06.tif;950;1181.128421;373.638947;27.172356;44.962688;1.070609;1.654722;0.604331;0.598314;26.000000;0.796733;113.053000;103.795789;10;223
30;F-11904a-x40-06.tif;1088;1248.420956;688.212316;28.549453;48.667183;1.060511;1.704663;0.586626;0.584880;24.000000;0.809858;120.414000;107.509191;13;223
31;F-11904a-x40-06.tif;1359;1395.846210;569.702723;35.674215;48.612910;0.992855;1.362690;0.733842;0.732194;19.000000;0.679320;130.214000;117.320088;40;228
32;F-11904a-x40-06.tif;2284;1416.190018;619.790718;44.393078;69.293167;1.443508;1.560900;0.640656;0.605655;176.000000;0.767828;203.546000;127.255254;42;233
33;F-11904a-x40-06.tif;1005;1467.615920;484.696517;27.781686;46.681665;1.125327;1.680304;0.595131;0.587197;29.000000;0.803629;119.214000;131.308458;75;232
34;F-11904a-x40-06.tif;690;1471.369565;448.414493;25.614340;34.939333;1.072599;1.364054;0.733109;0.719664;23.000000;0.680111;96.438000;137.410145;92;218
35;F-11904a-x40-06.tif;763;1513.959371;667.076016;26.755934;36.566669;1.001695;1.366675;0.731703;0.726547;18.000000;0.681624;98.002000;144.837484;72;213
36;F-11904a-x40-06.tif;1230;1544.315447;745.301626;36.904614;43.266879;1.048897;1.172398;0.852953;0.836573;54.000000;0.521988;127.328000;124.896748;46;217
