No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-09.tif;826;92.738499;202.865617;26.067479;42.957354;1.475297;1.647929;0.606822;0.569922;125.000000;0.794838;123.747000;168.791768;141;199
2;M-11811a-x40-09.tif;2479;116.540944;168.937475;52.931573;60.965776;1.247438;1.151785;0.868218;0.849209;204.000000;0.496183;197.130000;162.065752;127;226
3;M-11811a-x40-09.tif;4445;182.019798;306.607199;63.316627;93.357448;1.331515;1.474454;0.678217;0.649358;373.000000;0.734861;272.718000;132.084139;83;215
4;M-11811a-x40-09.tif;6223;207.950988;226.209867;74.428860;113.288966;1.969885;1.522111;0.656982;0.617355;1127.000000;0.753906;392.487000;134.608710;60;212
5;M-11811a-x40-09.tif;5351;273.508503;167.143525;59.429326;121.563595;1.853618;2.045515;0.488874;0.461039;1022.000000;0.872354;353.047000;131.642684;63;214
6;M-11811a-x40-09.tif;5092;267.846819;357.622152;72.755741;91.684049;1.351708;1.260162;0.793549;0.771278;374.000000;0.608507;294.097000;137.690495;71;210
7;M-11811a-x40-09.tif;3361;341.373698;236.575722;60.489780;73.092190;1.270709;1.208339;0.827582;0.801008;258.000000;0.561345;231.666000;131.237727;66;205
8;M-11811a-x40-09.tif;4397;350.437116;421.816238;62.459378;90.512098;1.102933;1.449135;0.690067;0.683366;124.000000;0.723746;246.864000;138.649761;88;205
9;M-11811a-x40-09.tif;2590;390.210039;556.135907;44.261765;78.113259;1.354606;1.764802;0.566636;0.540456;182.000000;0.823968;209.972000;125.418919;70;217
10;M-11811a-x40-09.tif;786;388.812977;624.440204;21.369436;52.199876;1.807201;2.442735;0.409377;0.367277;161.000000;0.912365;133.604000;175.143766;154;196
11;M-11811a-x40-09.tif;3776;418.938559;273.012712;44.306330;109.302148;1.395226;2.466965;0.405356;0.402425;147.000000;0.914159;257.302000;134.689883;85;209
12;M-11811a-x40-09.tif;1851;396.497569;228.069152;44.977101;54.475630;1.238149;1.211186;0.825637;0.794167;143.000000;0.564202;169.705000;169.690438;131;201
13;M-11811a-x40-09.tif;3270;407.494801;339.891131;53.630663;78.589724;1.104249;1.465388;0.682413;0.674103;152.000000;0.730967;213.016000;125.431804;86;205
14;M-11811a-x40-09.tif;4507;438.830264;704.548258;57.262467;102.579918;1.354622;1.791399;0.558223;0.545347;361.000000;0.829691;276.986000;140.024185;86;209
15;M-11811a-x40-09.tif;1058;417.499055;747.167297;30.251177;45.923418;1.128050;1.518070;0.658731;0.638745;67.000000;0.752379;122.465000;122.717391;73;215
16;M-11811a-x40-09.tif;2916;428.285665;383.830933;49.330181;76.772458;1.303181;1.556298;0.642550;0.629922;224.000000;0.766243;218.525000;126.692387;80;210
17;M-11811a-x40-09.tif;682;441.563050;462.482405;22.521750;40.518371;1.364314;1.799077;0.555840;0.528921;84.000000;0.831289;108.132000;171.686217;139;202
18;M-11811a-x40-09.tif;3600;491.493611;185.615556;58.864549;80.198777;1.193713;1.362429;0.733983;0.712651;202.000000;0.679168;232.384000;130.776667;65;222
19;M-11811a-x40-09.tif;3510;494.838746;542.369516;58.531807;110.185066;2.689021;1.882482;0.531214;0.368105;1787.000000;0.847238;344.394000;129.908262;72;222
20;M-11811a-x40-09.tif;2916;491.795267;674.781893;52.032063;72.059347;1.171065;1.384903;0.722072;0.715018;150.000000;0.691818;207.152000;156.927984;115;205
