No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-06.tif;908;21.656388;349.640969;31.754105;38.126324;1.148024;1.200674;0.832866;0.795328;52.000000;0.553475;114.452000;125.577093;43;222
2;M-11934b-x40-06.tif;964;67.898340;338.374481;25.626051;69.131263;2.505067;2.697695;0.370687;0.256826;424.000000;0.928758;174.202000;155.440871;106;206
3;M-11934b-x40-06.tif;1272;150.252358;126.380503;35.995802;45.130956;0.991862;1.253784;0.797586;0.795148;27.000000;0.603206;125.914000;123.739780;23;221
4;M-11934b-x40-06.tif;2500;259.488400;390.204400;50.668928;63.738514;1.053536;1.257941;0.794950;0.783513;71.000000;0.606675;181.928000;105.857200;2;215
5;M-11934b-x40-06.tif;5058;306.757809;287.847173;66.875453;102.265768;2.064095;1.529197;0.653938;0.615784;825.000000;0.756548;362.209000;142.415382;93;206
6;M-11934b-x40-06.tif;3156;331.017744;90.274715;53.619343;78.485777;1.494003;1.463759;0.683173;0.652327;372.000000;0.730257;243.416000;136.926806;71;195
7;M-11934b-x40-06.tif;3752;373.500533;329.364339;61.378491;81.010672;1.166009;1.319854;0.757659;0.727928;201.000000;0.652650;234.470000;126.011727;77;213
8;M-11934b-x40-06.tif;5776;530.483380;353.083276;80.725634;91.872477;1.047680;1.138083;0.878670;0.871297;180.000000;0.477429;275.761000;124.712950;72;218
9;M-11934b-x40-06.tif;5929;610.210828;342.903188;77.079149;103.068062;1.266939;1.337172;0.747847;0.710630;278.000000;0.663871;307.237000;126.154158;60;231
10;M-11934b-x40-06.tif;4229;611.423504;266.917711;68.212935;82.037830;1.251376;1.202673;0.831481;0.800054;337.000000;0.555552;257.880000;133.887680;40;228
11;M-11934b-x40-06.tif;3583;615.912085;468.030980;63.422108;74.089263;1.236553;1.168193;0.856023;0.831087;236.000000;0.516938;235.958000;128.281608;80;217
12;M-11934b-x40-06.tif;4205;680.659929;449.220927;65.093634;85.584181;1.155088;1.314786;0.760580;0.730952;214.000000;0.649244;247.056000;129.899881;87;211
13;M-11934b-x40-06.tif;4133;729.426083;308.800145;57.398429;93.351840;1.280214;1.626383;0.614861;0.603851;240.000000;0.788635;257.857000;130.134769;66;205
14;M-11934b-x40-06.tif;3071;742.762944;489.781179;54.478650;72.870973;1.232802;1.337606;0.747604;0.736344;201.000000;0.664144;218.118000;118.832302;55;212
15;M-11934b-x40-06.tif;5390;767.316141;366.409647;72.819012;96.620150;1.206101;1.326853;0.753663;0.735129;338.000000;0.657261;285.819000;123.218182;69;199
16;M-11934b-x40-06.tif;2167;780.958929;535.273189;34.988444;79.700843;1.322095;2.277919;0.438997;0.434353;79.000000;0.898488;189.743000;104.353484;0;227
17;M-11934b-x40-06.tif;3158;804.534516;286.039582;55.281524;76.784091;1.227179;1.388965;0.719961;0.681993;339.000000;0.694015;220.681000;119.173528;33;217
18;M-11934b-x40-06.tif;2196;831.262295;383.864754;46.527599;61.618756;1.117930;1.324349;0.755088;0.736405;138.000000;0.655623;175.642000;116.415301;70;223
19;M-11934b-x40-06.tif;6670;905.785007;465.364168;68.985006;125.974666;1.359629;1.826117;0.547610;0.535143;536.000000;0.836734;337.581000;125.367616;63;224
20;M-11934b-x40-06.tif;5431;890.730621;330.936844;66.715061;105.421796;1.253318;1.580180;0.632839;0.622199;223.000000;0.774283;292.466000;119.728779;42;224
21;M-11934b-x40-06.tif;919;903.425462;28.348205;32.127843;36.503908;0.952089;1.136208;0.880121;0.878106;11.000000;0.474750;104.858000;116.991295;33;223
22;M-11934b-x40-06.tif;3391;973.755529;360.365084;55.826984;83.007180;1.389176;1.486865;0.672556;0.626623;505.000000;0.740046;243.303000;125.009142;76;200
23;M-11934b-x40-06.tif;1321;976.026495;127.027252;31.032325;57.426109;1.436165;1.850525;0.540387;0.510028;134.000000;0.841417;154.404000;115.457229;22;225
24;M-11934b-x40-06.tif;2933;1002.900784;401.118309;58.373522;64.742093;1.043145;1.109100;0.901632;0.890941;80.000000;0.432505;196.080000;119.543812;58;204
25;M-11934b-x40-06.tif;1271;1098.984264;466.338316;36.326648;45.475206;1.072550;1.251842;0.798823;0.782540;57.000000;0.601566;130.884000;121.601101;2;212
26;M-11934b-x40-06.tif;1080;1367.993519;449.309259;28.540998;67.362693;2.264978;2.360208;0.423691;0.303037;465.000000;0.905807;175.327000;161.079630;139;203
