No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-03.tif;3083;697.911774;437.789491;55.921042;70.940231;1.033986;1.268579;0.788284;0.780007;60.000000;0.615312;200.147000;134.465456;79;235
2;M-11940-x40-03.tif;4131;724.261438;521.287582;59.053240;90.153812;1.216686;1.526653;0.655028;0.647138;205.000000;0.755605;251.317000;139.406923;96;230
3;M-11940-x40-03.tif;4521;768.357443;424.650077;73.219742;78.747726;1.008494;1.075499;0.929801;0.928258;83.000000;0.368062;239.364000;145.256359;107;237
4;M-11940-x40-03.tif;3353;779.160453;505.064718;61.373802;71.847845;1.107666;1.170660;0.854219;0.827020;231.000000;0.519913;216.036000;138.881599;111;213
5;M-11940-x40-03.tif;3404;778.010870;591.987368;61.537526;70.703313;1.053620;1.148946;0.870363;0.867002;94.000000;0.492411;212.296000;135.560223;95;243
6;M-11940-x40-03.tif;2579;822.972858;531.844513;56.097047;63.323738;1.254985;1.128825;0.885877;0.818895;215.000000;0.463920;201.674000;135.791780;104;212
7;M-11940-x40-03.tif;4640;865.681681;568.010776;58.049403;102.443509;1.179505;1.764764;0.566648;0.562936;198.000000;0.823960;262.249000;147.298707;103;245
8;M-11940-x40-03.tif;4287;871.069979;500.831584;60.206796;91.113168;1.103698;1.513337;0.660791;0.657508;84.000000;0.750570;243.841000;149.003032;105;220
9;M-11940-x40-03.tif;1710;944.621053;443.745029;41.562056;53.319991;1.048189;1.282901;0.779484;0.765819;72.000000;0.626423;150.080000;123.949708;31;219
10;M-11940-x40-03.tif;3647;955.514670;493.868933;59.580766;80.051099;1.543639;1.343573;0.744284;0.724622;425.000000;0.667863;265.978000;144.609542;88;227
11;M-11940-x40-03.tif;2979;999.063444;553.880161;56.706438;67.505277;1.038751;1.190434;0.840030;0.832348;87.000000;0.542540;197.195000;133.207452;69;245
12;M-11940-x40-03.tif;947;1391.464625;300.575502;32.650419;37.584945;1.013599;1.151132;0.868710;0.853556;26.000000;0.495321;109.828000;121.272439;19;241
13;M-11940-x40-03.tif;2212;1470.501356;310.874774;45.714620;67.290172;1.865536;1.471962;0.679365;0.622002;355.000000;0.733800;227.719000;156.368445;82;219
14;M-11940-x40-03.tif;1761;1473.616695;562.848949;42.687700;61.120138;1.411212;1.431797;0.698423;0.600207;307.000000;0.715685;176.718000;139.369676;58;238
15;M-11940-x40-03.tif;1184;1510.137669;338.494932;37.013484;43.724569;1.382342;1.181315;0.846515;0.788516;123.000000;0.532366;143.413000;182.117399;145;212
