No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-05AA.tif;1082;415.196858;187.187616;33.662972;41.353792;1.005473;1.228465;0.814024;0.805576;33.000000;0.580831;116.924000;142.634011;91;215
2;B-AA11746-x40-05AA.tif;1306;450.841501;177.744257;35.021528;48.825315;1.111905;1.394151;0.717282;0.697530;99.000000;0.696783;135.086000;157.176110;118;223
3;B-AA11746-x40-05AA.tif;1857;472.034464;148.007539;37.856752;63.737217;1.213192;1.683642;0.593950;0.582017;122.000000;0.804502;168.258000;144.037695;100;226
4;B-AA11746-x40-05AA.tif;1248;457.987179;229.340545;36.793694;43.417995;0.974609;1.180039;0.847430;0.842918;16.000000;0.530908;123.631000;154.474359;105;223
5;B-AA11746-x40-05AA.tif;1365;505.857875;234.603663;39.727484;43.914815;1.001209;1.105401;0.904649;0.901199;34.000000;0.426158;131.049000;165.543590;120;223
6;B-AA11746-x40-05AA.tif;1472;526.473505;182.302989;41.499600;45.699303;1.059940;1.101199;0.908101;0.897426;44.000000;0.418750;140.023000;170.914402;115;228
7;B-AA11746-x40-05AA.tif;1057;541.440870;251.628193;33.412288;41.049004;1.039897;1.228560;0.813961;0.798693;29.000000;0.580920;117.527000;151.360454;100;233
8;B-AA11746-x40-05AA.tif;1539;579.307342;185.306693;39.532445;50.522023;1.176995;1.277989;0.782479;0.767692;92.000000;0.622676;150.873000;170.790123;113;229
9;B-AA11746-x40-05AA.tif;1271;580.024390;262.452400;35.291658;46.030053;1.010714;1.304276;0.766709;0.763788;32.000000;0.641995;127.055000;162.490165;120;217
10;B-AA11746-x40-05AA.tif;928;583.387931;439.866379;28.697124;41.610675;1.025818;1.449995;0.689658;0.682415;25.000000;0.724135;109.374000;141.843750;53;233
11;B-AA11746-x40-05AA.tif;1386;607.708514;230.478355;40.394990;44.177302;1.063154;1.093633;0.914383;0.904222;60.000000;0.404849;136.077000;174.770563;136;233
12;B-AA11746-x40-05AA.tif;1228;611.424267;296.510586;35.201015;45.029369;1.060994;1.279207;0.781735;0.771111;45.000000;0.623611;127.956000;158.574919;115;219
13;B-AA11746-x40-05AA.tif;1188;644.595118;261.250842;36.026414;43.059780;1.225316;1.195228;0.836660;0.815799;103.000000;0.547722;135.250000;177.199495;133;210
14;B-AA11746-x40-05AA.tif;1334;647.020990;162.740630;37.889446;44.996486;1.003895;1.187573;0.842053;0.838897;34.000000;0.539394;129.726000;161.452024;120;223
15;B-AA11746-x40-05AA.tif;1448;676.402624;308.269337;38.854088;48.233105;1.129919;1.241391;0.805548;0.792480;72.000000;0.592530;143.388000;170.848757;125;216
16;B-AA11746-x40-05AA.tif;1432;706.831704;371.807263;36.694942;50.164699;1.036412;1.367074;0.731489;0.724531;38.000000;0.681853;136.566000;164.823324;103;227
17;B-AA11746-x40-05AA.tif;1319;717.042456;218.812737;38.097020;44.981381;1.359038;1.180706;0.846951;0.830022;82.000000;0.531671;150.087000;171.494314;115;230
18;B-AA11746-x40-05AA.tif;1514;718.318362;177.478203;42.716498;45.746819;1.045916;1.070940;0.933759;0.921116;52.000000;0.357903;141.064000;172.142008;138;221
19;B-AA11746-x40-05AA.tif;1222;721.211129;338.627660;32.512247;48.219747;1.033396;1.483126;0.674252;0.669162;31.000000;0.738502;125.972000;166.099018;124;234
20;B-AA11746-x40-05AA.tif;983;720.334690;448.612411;34.129106;37.396863;1.077812;1.095747;0.912620;0.894939;43.000000;0.408810;115.386000;147.730417;75;232
21;B-AA11746-x40-05AA.tif;1209;744.939620;418.153846;37.689978;41.556537;1.044376;1.102589;0.906957;0.891369;54.000000;0.421224;125.964000;152.526055;96;214
22;B-AA11746-x40-05AA.tif;1361;752.639971;379.943424;39.964034;43.837614;1.078216;1.096927;0.911638;0.901726;72.000000;0.410994;135.796000;171.617928;131;227
23;B-AA11746-x40-05AA.tif;1490;768.702685;204.389262;38.097666;50.595512;1.163890;1.328048;0.752985;0.741092;75.000000;0.658038;147.623000;176.757047;126;217
24;B-AA11746-x40-05AA.tif;1110;772.891892;144.300000;32.191548;44.218313;1.021151;1.373600;0.728014;0.722818;26.000000;0.685562;119.347000;152.876577;101;229
25;B-AA11746-x40-05AA.tif;1368;784.911550;330.270468;39.382593;44.453629;1.013704;1.128763;0.885925;0.881418;49.000000;0.463828;132.009000;175.043860;141;219
26;B-AA11746-x40-05AA.tif;1427;815.140855;167.838122;39.430863;46.218036;1.000490;1.172128;0.853149;0.850572;31.000000;0.521668;133.944000;165.578837;113;223
27;B-AA11746-x40-05AA.tif;1396;820.035817;429.234241;37.162923;49.244353;1.439503;1.325094;0.754664;0.732964;113.000000;0.656112;158.911000;178.224212;140;216
28;B-AA11746-x40-05AA.tif;1267;829.722968;318.887924;37.835380;47.391678;1.791795;1.252576;0.798355;0.718261;187.000000;0.602187;168.903000;173.652723;143;218
29;B-AA11746-x40-05AA.tif;1280;855.278906;341.985156;31.777518;52.562894;1.270423;1.654091;0.604562;0.589877;92.000000;0.796558;142.950000;149.295312;28;222
30;B-AA11746-x40-05AA.tif;1716;858.746503;472.547203;43.864569;50.793070;1.142122;1.157952;0.863594;0.846873;96.000000;0.504189;156.935000;178.292541;142;212
31;B-AA11746-x40-05AA.tif;1307;861.617445;377.336649;36.436567;46.189019;1.099242;1.267656;0.788858;0.780024;62.000000;0.614576;134.366000;172.618975;132;224
32;B-AA11746-x40-05AA.tif;1312;868.455030;164.539634;38.689385;43.594967;1.058029;1.126794;0.887474;0.878964;54.000000;0.460858;132.075000;162.869665;108;224
33;B-AA11746-x40-05AA.tif;1389;878.448524;426.912167;41.473045;43.935903;1.357818;1.059385;0.943944;0.916164;130.000000;0.330105;153.949000;177.038157;126;230
34;B-AA11746-x40-05AA.tif;1490;887.738926;511.540268;40.226488;47.937291;1.038374;1.191685;0.839148;0.825561;59.000000;0.543903;139.436000;165.983893;120;210
35;B-AA11746-x40-05AA.tif;1464;905.570355;190.614071;40.374022;46.217242;0.966197;1.144727;0.873571;0.872656;23.000000;0.486698;133.324000;165.379098;101;238
36;B-AA11746-x40-05AA.tif;867;908.117647;458.476355;30.474728;36.396976;0.966348;1.194333;0.837287;0.833295;17.000000;0.546763;102.608000;152.672434;61;224
37;B-AA11746-x40-05AA.tif;1518;922.593544;377.248353;38.650888;51.275963;1.107360;1.326644;0.753782;0.735113;61.000000;0.657125;145.340000;151.005270;68;225
38;B-AA11746-x40-05AA.tif;1864;930.376609;500.256974;39.515495;63.056378;1.449586;1.595738;0.626669;0.596895;195.000000;0.779285;184.268000;174.642704;117;227
39;B-AA11746-x40-05AA.tif;1427;925.737211;418.311142;41.501104;44.402289;1.296507;1.069906;0.934661;0.921559;91.000000;0.355539;152.477000;175.251577;143;228
40;B-AA11746-x40-05AA.tif;1461;931.161533;258.234086;41.922653;45.050954;1.098011;1.074621;0.930561;0.916542;77.000000;0.366137;141.982000;178.380561;133;225
41;B-AA11746-x40-05AA.tif;1191;931.455080;541.678421;36.136892;42.154188;1.001409;1.166514;0.857255;0.853376;34.000000;0.514892;122.424000;156.583543;110;233
42;B-AA11746-x40-05AA.tif;1278;937.675274;330.010955;35.288283;46.685672;1.135829;1.322979;0.755870;0.746576;60.000000;0.654722;135.060000;172.514867;143;223
43;B-AA11746-x40-05AA.tif;1282;943.714509;209.023401;37.472004;43.732682;1.025793;1.167076;0.856842;0.853465;37.000000;0.515579;128.552000;164.543682;119;229
44;B-AA11746-x40-05AA.tif;1579;969.131096;464.255225;36.437999;58.840219;1.967266;1.614804;0.619270;0.580689;280.000000;0.785178;197.573000;175.277391;130;211
45;B-AA11746-x40-05AA.tif;1351;969.296077;530.128053;38.956626;44.424925;1.026335;1.140369;0.876909;0.871590;56.000000;0.480656;132.001000;171.960030;129;224
46;B-AA11746-x40-05AA.tif;1360;981.190441;569.262500;36.897840;47.150613;1.025035;1.277869;0.782553;0.778887;26.000000;0.622584;132.356000;160.779412;126;222
47;B-AA11746-x40-05AA.tif;1975;991.231899;263.457722;36.273322;73.838239;1.366750;2.035607;0.491254;0.461227;155.000000;0.871016;184.176000;159.704304;100;230
48;B-AA11746-x40-05AA.tif;1182;987.474619;217.122673;33.276128;45.881789;1.081724;1.378820;0.725258;0.714903;52.000000;0.688477;126.757000;158.833333;115;217
49;B-AA11746-x40-05AA.tif;1195;1005.056904;495.997490;38.342279;39.752528;0.954711;1.036781;0.964524;0.962828;22.000000;0.263994;119.736000;167.766527;121;231
50;B-AA11746-x40-05AA.tif;1271;1018.877262;544.434304;40.753264;41.604164;1.414726;1.020879;0.979548;0.934936;166.000000;0.201212;150.319000;174.509835;132;216
51;B-AA11746-x40-05AA.tif;1306;1023.924196;415.900459;40.033840;41.778407;1.018112;1.043577;0.958242;0.952685;35.000000;0.285957;129.263000;173.464778;129;230
52;B-AA11746-x40-05AA.tif;1589;1029.797986;600.130271;40.309222;50.368336;0.999363;1.249549;0.800289;0.797478;34.000000;0.599615;141.263000;164.555695;126;219
53;B-AA11746-x40-05AA.tif;1284;1038.559969;364.080997;37.742745;43.899438;1.190131;1.163123;0.859755;0.848315;61.000000;0.510707;138.575000;175.378505;129;229
54;B-AA11746-x40-05AA.tif;1276;1049.833072;267.255486;38.608588;42.631855;1.116665;1.104207;0.905628;0.893907;65.000000;0.424074;133.811000;171.012539;134;228
55;B-AA11746-x40-05AA.tif;1553;1056.866066;564.261429;43.659928;45.894286;1.169463;1.051176;0.951315;0.938781;92.000000;0.308220;151.072000;175.171925;128;223
56;B-AA11746-x40-05AA.tif;1202;1073.594842;322.975042;34.069834;47.774242;1.638402;1.402245;0.713142;0.670544;173.000000;0.701019;157.314000;177.386855;128;224
57;B-AA11746-x40-05AA.tif;1233;1071.950527;421.224655;38.755935;40.719983;1.024844;1.050677;0.951767;0.946799;31.000000;0.306822;126.013000;169.597729;131;233
58;B-AA11746-x40-05AA.tif;1560;1078.592308;605.000000;42.135411;48.757685;1.362293;1.157166;0.864180;0.835504;102.000000;0.503183;163.419000;175.206410;139;215
59;B-AA11746-x40-05AA.tif;1339;1080.429425;652.601942;35.602021;48.048251;1.013591;1.349593;0.740964;0.738475;30.000000;0.671545;130.595000;157.233757;102;226
60;B-AA11746-x40-05AA.tif;1283;1097.293843;380.911925;38.484718;42.540305;0.977416;1.105382;0.904665;0.902684;26.000000;0.426124;125.533000;164.711613;113;223
61;B-AA11746-x40-05AA.tif;1451;1109.704342;277.820124;36.137075;52.142868;1.134750;1.442919;0.693040;0.679497;82.000000;0.720899;143.843000;172.644383;121;228
62;B-AA11746-x40-05AA.tif;2652;1117.037707;558.963801;53.484070;75.667339;1.872172;1.414764;0.706832;0.589748;478.000000;0.707382;249.784000;170.041855;113;230
63;B-AA11746-x40-05AA.tif;1603;1121.336868;644.791641;43.311790;49.761083;1.668108;1.148904;0.870395;0.824260;182.000000;0.492354;183.309000;175.588272;124;216
64;B-AA11746-x40-05AA.tif;1201;1118.108243;236.726894;34.939046;43.902390;0.989181;1.256542;0.795835;0.793372;27.000000;0.605514;122.184000;153.422148;86;233
65;B-AA11746-x40-05AA.tif;1602;1122.948190;489.727216;43.312483;47.344028;1.056600;1.093080;0.914846;0.910002;37.000000;0.403803;145.845000;178.214107;119;227
66;B-AA11746-x40-05AA.tif;1480;1125.511486;443.880405;40.167154;47.404046;1.146288;1.180169;0.847336;0.838573;80.000000;0.531057;146.010000;180.164189;136;225
67;B-AA11746-x40-05AA.tif;1593;1129.794099;312.477715;44.320000;46.629584;1.336082;1.052112;0.950470;0.932831;113.000000;0.310818;163.542000;176.471438;130;215
68;B-AA11746-x40-05AA.tif;1352;1144.653846;410.594675;37.654598;46.022288;1.065282;1.222222;0.818182;0.812738;50.000000;0.574960;134.532000;170.571006;119;230
69;B-AA11746-x40-05AA.tif;1370;1152.327007;349.629197;36.422117;48.061986;1.022140;1.319582;0.757815;0.755140;37.000000;0.652469;132.654000;169.500000;127;224
70;B-AA11746-x40-05AA.tif;1236;1169.839806;506.494337;36.913978;44.794123;1.537238;1.213473;0.824081;0.784308;138.000000;0.566472;154.520000;179.985437;144;216
