No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;1034;246.460348;486.123791;26.541238;51.655322;1.426462;1.946229;0.513814;0.493402;117.000000;0.857901;136.143000;207.500967;150;255
2;B-AA11746-x40-10AA.tif;719;250.282337;573.389430;28.411096;32.777536;1.034852;1.153688;0.866786;0.852092;25.000000;0.498681;96.696000;211.030598;173;255
3;B-AA11746-x40-10AA.tif;628;255.648089;459.017516;26.613734;30.230657;0.960435;1.135904;0.880356;0.874933;15.000000;0.474314;87.060000;200.878981;135;255
4;B-AA11746-x40-10AA.tif;787;269.768742;551.114358;29.328143;34.762187;0.996561;1.185284;0.843679;0.829222;16.000000;0.536847;99.276000;203.350699;163;255
5;B-AA11746-x40-10AA.tif;641;282.137285;576.722309;24.714660;34.464595;1.118271;1.394500;0.717103;0.687103;52.000000;0.696967;94.909000;206.366615;158;255
6;B-AA11746-x40-10AA.tif;793;315.817150;559.208071;23.270832;45.567109;1.269286;1.958121;0.510694;0.486273;55.000000;0.859763;112.466000;197.430013;143;255
7;B-AA11746-x40-10AA.tif;801;319.817728;531.102372;25.280037;42.795344;1.285782;1.692851;0.590719;0.556865;79.000000;0.806877;113.764000;205.254682;168;255
8;B-AA11746-x40-10AA.tif;816;352.470588;520.811275;26.853041;40.064373;1.468931;1.491986;0.670247;0.647267;74.000000;0.742138;122.730000;209.747549;154;255
9;B-AA11746-x40-10AA.tif;1268;360.865142;568.429022;36.870859;46.255996;1.297635;1.254541;0.797104;0.754559;131.000000;0.603842;143.794000;197.205836;107;255
10;B-AA11746-x40-10AA.tif;1045;402.985646;593.062201;26.000605;57.617196;1.937657;2.215994;0.451265;0.400795;252.000000;0.892390;159.515000;215.367464;163;255
11;B-AA11746-x40-10AA.tif;562;435.741993;578.124555;21.601916;33.621595;1.074459;1.556417;0.642501;0.633009;21.000000;0.766285;87.110000;205.272242;157;255
12;B-AA11746-x40-10AA.tif;390;443.258974;560.617949;16.755285;30.284051;1.169184;1.807433;0.553271;0.541436;26.000000;0.833001;75.697000;213.223077;163;255
13;B-AA11746-x40-10AA.tif;1265;472.409486;617.815020;30.932282;60.072784;1.935214;1.942074;0.514913;0.446319;273.000000;0.857242;175.394000;212.114625;157;255
14;B-AA11746-x40-10AA.tif;1185;497.877637;572.197468;34.945532;48.830529;2.164417;1.397333;0.715649;0.632770;263.000000;0.698460;179.529000;204.162025;132;255
15;B-AA11746-x40-10AA.tif;955;541.141361;605.404188;32.754982;38.427960;1.165426;1.173194;0.852374;0.823415;73.000000;0.522933;118.263000;208.261780;160;255
16;B-AA11746-x40-10AA.tif;1230;984.421951;259.707317;33.874615;47.763426;1.401847;1.410006;0.709217;0.686474;139.000000;0.704991;147.200000;213.487805;116;255
17;B-AA11746-x40-10AA.tif;724;986.951657;459.040055;28.430765;33.086479;1.050490;1.163756;0.859287;0.842069;38.000000;0.511495;97.762000;209.607735;74;255
18;B-AA11746-x40-10AA.tif;702;1143.844729;234.645299;25.444539;35.808927;1.111989;1.407333;0.710564;0.697051;19.000000;0.703632;99.043000;203.532764;44;255
19;B-AA11746-x40-10AA.tif;566;1182.340989;315.100707;22.448799;32.423697;0.988932;1.444340;0.692358;0.685491;9.000000;0.721554;83.868000;169.533569;37;255
20;B-AA11746-x40-10AA.tif;689;1247.094340;271.624093;28.175038;32.123462;1.159618;1.140139;0.877086;0.850129;34.000000;0.480333;100.201000;203.907112;76;255
21;B-AA11746-x40-10AA.tif;810;1314.580247;210.038272;27.968446;37.092211;0.982006;1.326216;0.754025;0.749600;15.000000;0.656846;99.978000;213.383951;107;255
22;B-AA11746-x40-10AA.tif;819;1331.915751;294.664225;27.682110;38.638466;1.078471;1.395792;0.716439;0.698480;43.000000;0.697650;105.354000;210.275946;76;255
