No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1418;98.064175;548.001410;36.218836;51.139551;1.383008;1.411960;0.708235;0.690355;116.000000;0.705976;156.984000;195.244711;125;255
2;B-hosp1385-x40-09.tif;2376;128.053451;592.851010;52.304198;58.365140;1.069757;1.115879;0.896155;0.888075;69.000000;0.443742;178.719000;178.422138;102;255
3;B-hosp1385-x40-09.tif;2455;136.371894;492.793075;47.489819;67.875844;1.241285;1.429271;0.699657;0.678471;173.000000;0.714479;195.689000;185.601222;71;255
4;B-hosp1385-x40-09.tif;1398;127.214592;648.220315;38.332145;46.692985;1.013436;1.218116;0.820940;0.816421;43.000000;0.571014;133.431000;178.577253;75;255
5;B-hosp1385-x40-09.tif;2282;175.620070;635.984224;52.055181;55.995144;0.998238;1.075688;0.929637;0.926670;48.000000;0.368476;169.192000;168.921998;86;255
6;B-hosp1385-x40-09.tif;1396;166.742837;692.090974;40.510788;44.016502;0.961026;1.086538;0.920355;0.917412;20.000000;0.391085;129.842000;171.568768;93;255
7;B-hosp1385-x40-09.tif;1015;187.333005;581.452217;32.542245;41.236432;1.111045;1.267166;0.789162;0.760001;35.000000;0.614184;119.043000;169.384236;113;255
8;B-hosp1385-x40-09.tif;2619;203.522719;537.008400;55.687627;60.064798;1.014741;1.078602;0.927126;0.924284;56.000000;0.374750;182.747000;178.613975;105;255
9;B-hosp1385-x40-09.tif;1414;203.060113;426.338755;40.271761;45.104865;1.119233;1.120012;0.892847;0.884938;65.000000;0.450359;141.023000;188.707214;141;255
10;B-hosp1385-x40-09.tif;1758;219.465870;608.831627;44.469500;51.665221;1.111102;1.161812;0.860724;0.838557;98.000000;0.509072;156.672000;160.451650;88;255
11;B-hosp1385-x40-09.tif;1552;214.503866;728.831830;44.153958;45.217831;1.061272;1.024095;0.976472;0.966457;49.000000;0.215643;143.868000;175.887887;35;255
12;B-hosp1385-x40-09.tif;2549;229.794429;326.836014;49.844043;69.739954;1.265013;1.399163;0.714713;0.667293;221.000000;0.699418;201.297000;180.881522;94;255
13;B-hosp1385-x40-09.tif;2255;231.060310;664.925055;50.917711;56.484036;0.976022;1.109320;0.901453;0.899923;34.000000;0.432877;166.306000;162.887805;44;255
14;B-hosp1385-x40-09.tif;2709;242.053894;491.943152;52.510047;66.162554;1.091772;1.259998;0.793652;0.787943;72.000000;0.608372;192.786000;181.007752;112;255
15;B-hosp1385-x40-09.tif;1585;257.121136;440.773502;43.794659;46.422389;1.031189;1.060001;0.943395;0.936450;51.000000;0.331671;143.314000;186.024606;121;255
16;B-hosp1385-x40-09.tif;2703;262.646319;561.413245;54.292649;63.579646;1.034485;1.171054;0.853931;0.851373;79.000000;0.520386;187.452000;175.853126;83;255
17;B-hosp1385-x40-09.tif;1519;261.637920;395.122449;36.599241;54.097471;1.480643;1.478104;0.676543;0.660867;127.000000;0.736404;168.116000;193.648453;152;255
18;B-hosp1385-x40-09.tif;963;266.771547;283.623053;29.363456;42.768568;1.104147;1.456524;0.686566;0.670327;58.000000;0.727067;115.593000;174.845275;122;255
19;B-hosp1385-x40-09.tif;1523;272.958634;713.613920;36.318852;53.619146;1.051487;1.476345;0.677349;0.674482;45.000000;0.735662;141.859000;176.214051;82;255
20;B-hosp1385-x40-09.tif;1389;272.429806;772.335493;37.068460;47.883835;0.983294;1.291768;0.774133;0.771320;22.000000;0.633023;131.008000;169.699064;68;255
21;B-hosp1385-x40-09.tif;1219;281.853979;312.331419;36.291861;43.299637;1.034986;1.193095;0.838156;0.827838;59.000000;0.545430;125.914000;176.410172;114;255
22;B-hosp1385-x40-09.tif;1516;286.009235;653.755937;39.574899;48.915562;0.981481;1.236025;0.809045;0.806706;16.000000;0.587746;136.740000;176.589050;111;255
23;B-hosp1385-x40-09.tif;2532;307.667457;526.098736;48.892421;67.472989;1.390114;1.380030;0.724622;0.708132;217.000000;0.689146;210.311000;181.547393;102;255
24;B-hosp1385-x40-09.tif;2337;308.434745;366.250321;52.583530;56.740958;1.019458;1.079063;0.926730;0.924220;59.000000;0.375729;173.029000;170.356868;57;255
25;B-hosp1385-x40-09.tif;849;303.679623;473.308598;31.734537;34.876940;1.053637;1.099022;0.909900;0.888671;35.000000;0.414827;106.024000;159.666667;42;255
26;B-hosp1385-x40-09.tif;1355;314.715867;704.869373;35.206234;49.268713;1.021508;1.399432;0.714576;0.710734;28.000000;0.699558;131.885000;167.448708;100;255
27;B-hosp1385-x40-09.tif;1411;315.223955;180.230333;38.529328;50.373110;1.497462;1.307397;0.764879;0.708010;184.000000;0.644174;162.947000;191.810773;136;255
28;B-hosp1385-x40-09.tif;1545;318.434951;760.007120;41.028266;47.993385;0.964101;1.169764;0.854873;0.854035;23.000000;0.518837;136.814000;169.848544;71;255
29;B-hosp1385-x40-09.tif;2815;343.247957;459.414920;59.172066;61.715977;1.164378;1.042992;0.958780;0.941008;173.000000;0.284148;202.951000;172.046892;84;255
30;B-hosp1385-x40-09.tif;1574;336.569886;664.430114;41.040530;48.923401;0.995703;1.192075;0.838873;0.837301;32.000000;0.544327;140.337000;179.308132;88;255
31;B-hosp1385-x40-09.tif;2783;351.337765;275.459935;55.789904;63.916530;1.115542;1.145665;0.872856;0.867355;132.000000;0.487979;197.517000;183.929213;125;255
32;B-hosp1385-x40-09.tif;1574;345.024778;408.055909;41.713801;48.422211;1.098689;1.160820;0.861460;0.854723;66.000000;0.507825;147.416000;182.938374;93;255
33;B-hosp1385-x40-09.tif;1876;357.414179;146.383262;37.550875;68.417930;1.411879;1.822006;0.548846;0.510274;241.000000;0.835924;182.440000;177.507996;113;255
34;B-hosp1385-x40-09.tif;2785;380.939318;347.100180;55.528341;63.983401;0.994835;1.152266;0.867855;0.866165;55.000000;0.496817;186.592000;175.543268;97;255
35;B-hosp1385-x40-09.tif;3216;390.271144;217.191231;61.537726;66.950702;1.165106;1.087962;0.919150;0.913515;146.000000;0.393908;216.993000;187.073694;55;255
36;B-hosp1385-x40-09.tif;1580;383.145570;497.017722;41.534501;49.385107;1.380540;1.189014;0.841033;0.824850;99.000000;0.540984;165.561000;188.813291;127;255
37;B-hosp1385-x40-09.tif;2602;399.960031;411.322444;50.607483;66.027189;1.052568;1.304692;0.766464;0.759927;55.000000;0.642287;185.517000;176.735588;81;255
38;B-hosp1385-x40-09.tif;2721;410.973539;458.993752;47.401521;73.407147;1.099215;1.548624;0.645734;0.642927;92.000000;0.763562;193.870000;157.509739;82;255
39;B-hosp1385-x40-09.tif;1785;418.039776;151.323810;46.272152;49.457308;1.026281;1.068835;0.935598;0.929153;38.000000;0.353067;151.725000;184.763025;105;255
40;B-hosp1385-x40-09.tif;1885;423.046684;306.202653;41.896928;58.273382;1.119110;1.390875;0.718972;0.706775;134.000000;0.695039;162.816000;167.937931;79;255
41;B-hosp1385-x40-09.tif;3331;437.641549;518.558991;58.906722;75.952024;1.305962;1.289361;0.775578;0.735201;304.000000;0.631252;233.807000;169.583308;25;255
42;B-hosp1385-x40-09.tif;3202;438.087445;588.088695;58.135302;71.762704;1.124980;1.234408;0.810105;0.791651;165.000000;0.586285;212.759000;158.536852;61;255
43;B-hosp1385-x40-09.tif;2653;443.531474;345.378440;51.253801;66.876884;1.120098;1.304818;0.766390;0.755258;158.000000;0.642375;193.242000;171.377686;96;255
44;B-hosp1385-x40-09.tif;2984;454.913539;265.198056;52.397111;73.256141;1.147031;1.398095;0.715259;0.707980;154.000000;0.698860;207.392000;169.057306;28;255
45;B-hosp1385-x40-09.tif;1679;468.461584;382.849911;39.164763;55.831952;1.202376;1.425566;0.701476;0.685796;118.000000;0.712693;159.276000;183.833830;92;255
46;B-hosp1385-x40-09.tif;3068;472.082138;150.625489;58.514945;67.292956;1.123472;1.150013;0.869555;0.862633;121.000000;0.493836;208.120000;178.076923;102;255
47;B-hosp1385-x40-09.tif;1719;469.187318;216.406632;43.163573;50.868047;1.047403;1.178495;0.848540;0.845855;47.000000;0.529131;150.418000;182.410122;72;255
48;B-hosp1385-x40-09.tif;3591;484.110833;439.217210;55.687967;85.311262;1.242882;1.531951;0.652762;0.628221;287.000000;0.757563;236.825000;165.277917;79;255
