No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10917-x40-02.tif;915;104.048087;589.713661;32.149780;36.351625;0.978393;1.130696;0.884411;0.881624;23.000000;0.466709;106.065000;175.656831;119;226
2;F-10917-x40-02.tif;676;384.868343;555.896450;22.822136;38.374299;1.173747;1.681451;0.594725;0.584488;39.000000;0.803930;99.854000;166.757396;111;212
3;F-10917-x40-02.tif;1407;493.734897;450.329069;38.438210;56.485655;2.103312;1.469518;0.680495;0.561472;369.000000;0.732753;192.843000;173.304904;141;199
4;F-10917-x40-02.tif;1610;515.257143;535.174534;38.644384;56.363295;1.911189;1.458512;0.685630;0.645273;228.000000;0.727950;196.639000;173.149068;138;231
5;F-10917-x40-02.tif;429;536.776224;497.370629;15.328545;41.579135;2.455479;2.712530;0.368660;0.315949;137.000000;0.929564;115.054000;175.310023;138;215
6;F-10917-x40-02.tif;385;544.158442;479.103896;16.632230;33.798124;2.015433;2.032086;0.492105;0.429127;89.000000;0.870536;98.746000;178.901299;159;204
7;F-10917-x40-02.tif;978;564.303681;279.746421;33.534255;37.970396;1.128971;1.132287;0.883168;0.863692;62.000000;0.469056;117.792000;170.434560;122;221
8;F-10917-x40-02.tif;5708;631.002278;306.031710;90.665411;92.594909;2.980449;1.021282;0.979162;0.847656;1910.000000;0.203081;462.368000;175.208655;130;225
9;F-10917-x40-02.tif;584;619.000000;571.287671;22.127060;36.260230;1.375357;1.638728;0.610229;0.565538;96.000000;0.792225;100.466000;169.395548;141;205
10;F-10917-x40-02.tif;910;630.602198;548.835165;26.672431;45.023267;1.267952;1.688008;0.592414;0.571581;69.000000;0.805633;120.414000;162.778022;126;211
11;F-10917-x40-02.tif;564;664.700355;392.904255;25.527892;54.068438;3.122489;2.118014;0.472140;0.245641;385.000000;0.881523;148.763000;176.744681;153;214
12;F-10917-x40-02.tif;1606;674.666874;562.484433;37.733386;61.804237;2.432313;1.637919;0.610531;0.535327;449.000000;0.791993;221.558000;170.824408;117;208
13;F-10917-x40-02.tif;613;681.176183;176.530179;25.749133;30.950134;1.072200;1.201987;0.831955;0.814790;30.000000;0.554842;90.881000;161.450245;110;230
14;F-10917-x40-02.tif;414;680.173913;289.584541;19.925508;29.677803;1.336330;1.489438;0.671394;0.598476;59.000000;0.741100;83.380000;172.608696;142;197
15;F-10917-x40-02.tif;922;690.942516;412.057484;29.920916;40.366681;1.147129;1.349112;0.741228;0.720435;48.000000;0.671253;115.286000;177.690889;131;221
16;F-10917-x40-02.tif;1780;714.079213;300.775843;40.252416;59.348407;1.602676;1.474406;0.678239;0.643446;227.000000;0.734841;189.338000;165.605618;124;214
17;F-10917-x40-02.tif;1935;747.365375;328.365891;49.261802;63.676577;2.823544;1.292616;0.773625;0.607619;623.000000;0.633644;262.025000;177.673902;142;215
18;F-10917-x40-02.tif;814;788.954545;316.285012;27.006425;38.915352;1.061189;1.440966;0.693979;0.684373;21.000000;0.719996;104.187000;178.792383;149;205
19;F-10917-x40-02.tif;1310;791.207634;554.738168;39.268005;43.326101;1.277787;1.103344;0.906336;0.888551;86.000000;0.422558;145.034000;161.070229;120;216
20;F-10917-x40-02.tif;2580;817.994574;336.740698;46.209612;76.296597;1.618676;1.651098;0.605658;0.564312;355.000000;0.795725;229.084000;159.244961;110;206
21;F-10917-x40-02.tif;1124;799.116548;513.935053;36.002597;40.526462;1.174507;1.125654;0.888373;0.871363;95.000000;0.459123;128.800000;171.186833;142;212
22;F-10917-x40-02.tif;2360;858.994915;379.766525;50.465467;61.484022;1.398972;1.218338;0.820790;0.794873;234.000000;0.571230;203.688000;171.747458;130;216
23;F-10917-x40-02.tif;2383;893.529585;337.389005;48.815606;79.186829;2.714107;1.622162;0.616461;0.483870;845.000000;0.787385;285.089000;169.131767;121;217
24;F-10917-x40-02.tif;516;959.864341;525.354651;21.054330;31.877025;1.170889;1.514037;0.660486;0.646553;35.000000;0.750838;87.134000;175.893411;156;209
25;F-10917-x40-02.tif;4869;1007.668515;550.045389;63.239036;108.110747;2.768161;1.709557;0.584947;0.530411;922.000000;0.811072;411.548000;172.406449;116;214
26;F-10917-x40-02.tif;615;1018.269919;418.076423;32.208984;40.471794;2.813149;1.256537;0.795838;0.478058;307.000000;0.605510;147.448000;175.110569;138;212
27;F-10917-x40-02.tif;360;1013.319444;497.222222;19.606198;25.199134;1.299760;1.285264;0.778050;0.721841;41.000000;0.628202;76.681000;177.952778;160;206
