No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1642;419.960414;329.666261;39.148965;54.881813;1.186926;1.401871;0.713332;0.694107;98.000000;0.700826;156.496000;121.120585;9;226
2;F-11904a-x40-06.tif;1668;525.570144;288.961631;36.600336;58.649440;1.060424;1.602429;0.624053;0.617417;31.000000;0.781382;149.088000;122.516787;9;223
3;F-11904a-x40-06.tif;3914;541.528615;375.135156;61.064539;84.264042;1.470726;1.379918;0.724681;0.701853;289.000000;0.689085;268.956000;115.280531;11;190
4;F-11904a-x40-06.tif;1594;538.025721;421.412171;39.500049;55.049609;1.239554;1.393659;0.717535;0.669715;109.000000;0.696522;157.573000;125.858846;71;198
5;F-11904a-x40-06.tif;2366;578.029163;439.326289;51.778378;59.138731;1.116865;1.142151;0.875541;0.861352;125.000000;0.483144;182.227000;130.073542;95;207
6;F-11904a-x40-06.tif;1744;584.380734;344.714450;39.460098;58.059272;1.115522;1.471341;0.679652;0.658739;29.000000;0.733535;156.357000;124.361239;67;208
7;F-11904a-x40-06.tif;2241;612.184739;400.237840;43.864760;65.551616;1.093013;1.494403;0.669164;0.664026;81.000000;0.743115;175.444000;129.816154;81;208
8;F-11904a-x40-06.tif;1294;618.353941;461.335394;40.095673;41.473368;0.995986;1.034360;0.966781;0.957868;37.000000;0.255605;127.262000;116.550232;57;238
9;F-11904a-x40-06.tif;2228;627.612657;349.550718;45.144704;63.421853;1.062188;1.404857;0.711816;0.705257;65.000000;0.702366;172.450000;131.596499;84;225
10;F-11904a-x40-06.tif;1721;663.729808;319.955840;45.276041;49.329480;1.081109;1.089527;0.917829;0.900488;111.000000;0.396975;152.908000;116.863451;74;196
11;F-11904a-x40-06.tif;2076;688.630539;417.184971;43.950743;60.560942;1.049875;1.377928;0.725728;0.720696;44.000000;0.687982;165.496000;130.000482;93;197
12;F-11904a-x40-06.tif;1835;693.699728;497.454496;37.474372;65.164167;1.262227;1.738899;0.575076;0.550210;149.000000;0.818100;170.605000;111.552044;55;195
13;F-11904a-x40-06.tif;1718;696.772992;462.508149;40.820697;55.345845;1.175804;1.355828;0.737557;0.714107;111.000000;0.675285;159.325000;124.328871;59;221
14;F-11904a-x40-06.tif;1726;745.066628;489.568946;37.832966;60.674098;1.287089;1.603736;0.623544;0.596959;137.000000;0.781788;167.082000;124.007532;39;224
15;F-11904a-x40-06.tif;1462;766.647743;746.441860;36.480809;51.605093;1.083378;1.414582;0.706923;0.698992;43.000000;0.707291;141.081000;118.482216;11;230
16;F-11904a-x40-06.tif;2374;790.224937;474.738837;51.364778;59.212802;1.059783;1.152790;0.867461;0.862104;85.000000;0.497506;177.809000;130.570767;90;218
17;F-11904a-x40-06.tif;1187;798.971356;432.644482;32.140445;47.586046;1.083210;1.480566;0.675417;0.667424;34.000000;0.737436;127.112000;117.824768;27;217
18;F-11904a-x40-06.tif;1713;804.100409;260.894337;41.799675;52.263746;0.983438;1.250339;0.799783;0.798484;24.000000;0.600289;145.498000;118.636894;11;213
