No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;2433;169.299630;305.307028;49.281832;63.286388;1.052543;1.284173;0.778711;0.773449;64.000000;0.627382;179.389000;147.486231;35;255
2;M-11820b-x40-10.tif;2014;225.044687;37.256703;45.939226;59.878046;2.267581;1.303419;0.767213;0.715211;269.000000;0.641392;239.561000;185.184211;80;255
3;M-11820b-x40-10.tif;1127;296.311446;717.196983;33.260382;43.776328;1.120649;1.316170;0.759780;0.748782;70.000000;0.650180;125.980000;143.461402;56;255
4;M-11820b-x40-10.tif;2316;321.058290;504.223661;50.922870;58.578584;1.047262;1.150339;0.869309;0.859352;69.000000;0.494270;174.583000;138.468048;12;255
5;M-11820b-x40-10.tif;2014;331.264151;381.857001;44.748421;57.818205;1.150165;1.292073;0.773950;0.767079;112.000000;0.633246;170.614000;177.343098;128;255
6;M-11820b-x40-10.tif;2406;404.500831;312.537406;41.266196;79.028230;1.478508;1.915084;0.522170;0.490503;268.000000;0.852841;211.429000;172.201164;83;255
7;M-11820b-x40-10.tif;2099;418.787518;470.456884;47.949099;64.426203;2.412004;1.343637;0.744248;0.643869;625.000000;0.667903;252.232000;175.143878;90;255
8;M-11820b-x40-10.tif;1441;480.197779;411.587092;34.279207;65.701270;2.199441;1.916651;0.521743;0.425037;407.000000;0.853102;199.569000;187.728661;106;255
9;M-11820b-x40-10.tif;4104;494.985867;510.276559;53.615671;104.496399;1.993758;1.948990;0.513086;0.478536;571.000000;0.858337;320.660000;174.518031;46;255
10;M-11820b-x40-10.tif;3092;494.576649;357.450517;61.772060;65.340453;1.257899;1.057767;0.945388;0.922116;228.000000;0.325948;221.079000;181.340233;88;255
11;M-11820b-x40-10.tif;499;507.787575;407.831663;20.861208;38.586662;1.898779;1.849685;0.540633;0.426713;137.000000;0.841259;109.117000;191.078156;104;255
12;M-11820b-x40-10.tif;606;514.556106;281.676568;23.417451;33.831818;1.101237;1.444727;0.692172;0.674112;33.000000;0.721732;91.576000;169.958746;61;255
13;M-11820b-x40-10.tif;1891;591.864093;499.198308;35.808076;69.218235;1.358605;1.933034;0.517321;0.502528;155.000000;0.855791;179.679000;166.967213;45;255
14;M-11820b-x40-10.tif;1501;635.394404;410.035976;37.096788;56.184775;1.791585;1.514546;0.660264;0.605415;283.000000;0.751034;183.829000;181.369087;91;255
15;M-11820b-x40-10.tif;1330;655.866165;696.229323;36.346834;50.751833;1.879712;1.396321;0.716168;0.657443;244.000000;0.697928;177.246000;190.557143;114;255
16;M-11820b-x40-10.tif;1876;670.639126;449.994136;39.909143;63.736234;2.079747;1.597033;0.626161;0.587990;267.000000;0.779694;221.425000;176.705757;99;255
17;M-11820b-x40-10.tif;5352;778.854447;501.594731;66.522023;107.473458;1.910302;1.615607;0.618962;0.589962;523.000000;0.785421;358.438000;167.621263;74;255
18;M-11820b-x40-10.tif;3550;792.015775;445.841408;52.895686;89.035357;1.748878;1.683225;0.594098;0.570182;589.000000;0.804393;279.318000;176.117183;83;255
19;M-11820b-x40-10.tif;1182;804.906091;320.862098;35.892526;42.435323;1.024090;1.182289;0.845817;0.835743;39.000000;0.533473;123.334000;174.170897;57;255
20;M-11820b-x40-10.tif;2538;843.524823;620.300630;52.766165;65.076691;2.432599;1.233303;0.810830;0.763046;410.000000;0.585281;278.539000;181.746257;74;255
21;M-11820b-x40-10.tif;1009;843.696729;413.591675;32.083462;43.872027;1.541547;1.367434;0.731297;0.667461;215.000000;0.682060;139.807000;182.735382;79;255
22;M-11820b-x40-10.tif;3984;878.223645;536.179719;52.594607;110.696283;2.384485;2.104708;0.475125;0.413965;1013.000000;0.879918;345.511000;168.783886;80;255
23;M-11820b-x40-10.tif;1935;886.671318;653.185013;44.685342;61.142248;2.174318;1.368284;0.730842;0.659035;431.000000;0.682546;229.936000;186.243411;67;255
24;M-11820b-x40-10.tif;2715;904.755064;439.076980;54.290148;71.006909;2.307770;1.307915;0.764576;0.685613;430.000000;0.644534;280.599000;190.060405;68;255
25;M-11820b-x40-10.tif;2480;946.642742;639.520565;48.396169;70.700661;1.708009;1.460873;0.684522;0.631706;250.000000;0.728992;230.715000;180.585887;89;255
26;M-11820b-x40-10.tif;2382;967.688497;417.226700;49.942031;61.412452;1.088798;1.229675;0.813223;0.804154;77.000000;0.581952;180.530000;172.503359;34;255
