No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-04.tif;4080;49.736765;214.833088;54.200588;97.351479;1.279931;1.796133;0.556752;0.548132;254.000000;0.830679;256.170000;129.692402;92;188
2;M-11830a-x40-04.tif;1284;35.228972;540.776480;36.785934;44.647855;0.982717;1.213721;0.823913;0.820113;23.000000;0.566717;125.922000;127.207165;91;189
3;M-11830a-x40-04.tif;1051;44.725024;350.375833;35.589696;37.702167;0.955318;1.059356;0.943970;0.941413;15.000000;0.330033;112.326000;123.812559;79;207
4;M-11830a-x40-04.tif;1875;83.244800;648.254400;42.108968;56.999386;1.032852;1.353616;0.738762;0.734803;41.000000;0.673967;156.000000;128.715733;97;206
5;M-11830a-x40-04.tif;1272;177.043239;48.766509;33.783730;48.548194;1.048158;1.437029;0.695880;0.687149;27.000000;0.718158;129.438000;130.786950;86;204
6;M-11830a-x40-04.tif;997;209.759278;552.721163;33.770478;37.890385;1.002314;1.121997;0.891268;0.884193;27.000000;0.453477;112.061000;122.764293;64;202
7;M-11830a-x40-04.tif;1340;242.424627;354.414925;36.311386;58.262427;1.761030;1.604522;0.623238;0.502618;346.000000;0.782032;172.203000;125.340299;71;201
8;M-11830a-x40-04.tif;1440;277.880556;193.503472;33.714390;70.928762;2.383143;2.103813;0.475327;0.364442;614.000000;0.879809;207.664000;139.187500;88;196
9;M-11830a-x40-04.tif;1031;288.753637;59.472357;27.380330;48.371109;1.115465;1.766637;0.566047;0.561044;35.000000;0.824373;120.216000;131.107662;93;194
10;M-11830a-x40-04.tif;763;306.785059;244.684142;23.095003;47.157587;1.591334;2.041896;0.489741;0.436849;148.000000;0.871868;123.523000;137.646134;91;192
11;M-11830a-x40-04.tif;851;308.227967;677.413631;31.859582;34.477791;0.983097;1.082180;0.924061;0.911509;20.000000;0.382245;102.534000;120.081081;71;207
12;M-11830a-x40-04.tif;3298;332.557611;636.933899;59.468388;71.833173;1.246062;1.207922;0.827868;0.813787;249.000000;0.560923;227.248000;129.517586;89;208
13;M-11830a-x40-04.tif;726;330.304408;214.863636;27.264236;34.036195;0.989571;1.248383;0.801037;0.797930;18.000000;0.598615;95.016000;112.297521;54;209
14;M-11830a-x40-04.tif;949;337.285564;712.329821;34.394590;38.555931;1.220696;1.120988;0.892070;0.812819;73.000000;0.451897;120.654000;132.200211;93;194
15;M-11830a-x40-04.tif;1385;360.894585;786.532852;28.995365;69.491181;1.993717;2.396631;0.417252;0.365175;337.000000;0.908791;186.278000;132.430325;90;199
16;M-11830a-x40-04.tif;741;380.616734;707.349528;16.455937;61.695661;1.934351;3.749143;0.266728;0.247867;84.000000;0.963772;134.209000;136.012146;95;203
17;M-11830a-x40-04.tif;842;462.285036;468.618765;27.137790;39.856836;1.030652;1.468684;0.680882;0.674864;22.000000;0.732393;104.428000;125.009501;64;213
18;M-11830a-x40-04.tif;3190;498.377429;348.631034;45.508482;90.554321;1.205868;1.989834;0.502555;0.495316;166.000000;0.864546;219.862000;112.649216;82;185
19;M-11830a-x40-04.tif;4501;495.503222;402.383915;70.490981;83.671583;1.159307;1.186983;0.842472;0.818584;236.000000;0.538740;256.070000;134.382582;95;183
20;M-11830a-x40-04.tif;4455;496.081930;514.899439;68.532694;83.804331;1.122309;1.222837;0.817770;0.807653;167.000000;0.575545;250.660000;133.462626;96;197
21;M-11830a-x40-04.tif;4424;585.854430;521.049729;65.561044;87.779363;1.285851;1.338895;0.746884;0.731039;251.000000;0.664954;267.367000;136.321655;99;200
22;M-11830a-x40-04.tif;4866;615.176942;339.780518;72.159568;104.111663;1.606025;1.442798;0.693098;0.571588;890.000000;0.720844;313.377000;127.897452;76;193
23;M-11830a-x40-04.tif;3942;665.518519;540.782090;53.850475;95.141532;1.204174;1.766772;0.566004;0.554481;191.000000;0.824403;244.235000;127.948503;99;199
24;M-11830a-x40-04.tif;4238;697.000000;273.320906;68.773792;78.887331;1.079121;1.147055;0.871798;0.867075;151.000000;0.489866;239.729000;130.722039;87;181
25;M-11830a-x40-04.tif;2898;705.614907;177.361284;39.201840;95.011181;1.344730;2.423641;0.412602;0.408751;130.000000;0.910911;221.295000;114.790200;45;221
26;M-11830a-x40-04.tif;5884;714.259347;369.903977;59.002008;130.398300;1.331022;2.210065;0.452475;0.440594;378.000000;0.891777;313.714000;127.147349;94;185
27;M-11830a-x40-04.tif;5101;793.106058;714.110959;47.796155;139.338506;1.648052;2.915266;0.343022;0.334521;474.000000;0.939327;325.026000;136.453441;103;190
28;M-11830a-x40-04.tif;3903;806.084807;198.026902;49.325999;104.964964;1.399024;2.127985;0.469928;0.451045;347.000000;0.882705;261.949000;115.635409;67;198
29;M-11830a-x40-04.tif;3966;825.649521;261.772063;66.145472;78.251988;1.184696;1.183029;0.845288;0.824655;305.000000;0.534311;242.988000;113.202471;57;196
30;M-11830a-x40-04.tif;2287;824.411456;625.908177;50.373475;58.580179;1.049515;1.162917;0.859906;0.848545;54.000000;0.510452;173.673000;113.818102;59;200
31;M-11830a-x40-04.tif;6135;844.243358;409.967563;80.948818;98.585736;1.203407;1.217877;0.821101;0.803705;305.000000;0.570783;304.592000;123.046781;86;180
32;M-11830a-x40-04.tif;3952;875.171812;605.756832;69.735898;75.276487;1.214017;1.079451;0.926397;0.887991;300.000000;0.376549;245.542000;125.095395;73;181
33;M-11830a-x40-04.tif;933;929.212219;245.041801;24.113461;53.400470;1.453569;2.214550;0.451559;0.416583;83.000000;0.892241;130.546000;123.137192;80;199
34;M-11830a-x40-04.tif;5236;961.561688;377.477273;74.407299;89.948972;1.036749;1.208873;0.827217;0.823981;113.000000;0.561883;261.181000;114.480901;88;207
35;M-11830a-x40-04.tif;654;973.544343;565.859327;24.612210;34.034627;0.994593;1.382835;0.723152;0.718863;17.000000;0.690689;90.410000;112.512232;54;209
36;M-11830a-x40-04.tif;423;1008.300236;351.591017;18.758146;33.168446;1.473420;1.768216;0.565542;0.489554;68.000000;0.824720;88.499000;139.172577;76;187
37;M-11830a-x40-04.tif;6400;1055.373437;584.789219;72.301382;118.982214;1.366439;1.645642;0.607665;0.575607;384.000000;0.794193;331.505000;126.209844;84;188
38;M-11830a-x40-04.tif;3451;1178.856274;561.768763;60.435664;74.306884;1.120801;1.229520;0.813325;0.795787;131.000000;0.581809;220.466000;122.828456;81;191
39;M-11830a-x40-04.tif;3126;1203.930902;683.900192;43.090715;94.655945;1.379123;2.196667;0.455235;0.444225;128.000000;0.890371;232.756000;130.023353;102;201
40;M-11830a-x40-04.tif;3279;1231.954864;578.142726;52.257936;86.960925;2.034988;1.664071;0.600936;0.552082;649.000000;0.799297;289.572000;133.358036;99;187
41;M-11830a-x40-04.tif;1216;1372.048520;251.328947;33.579287;46.785066;1.060690;1.393272;0.717735;0.707342;45.000000;0.696316;127.311000;133.444079;86;199
42;M-11830a-x40-04.tif;1056;1380.660985;69.441288;29.060480;46.647816;1.095045;1.605198;0.622976;0.617890;35.000000;0.782241;120.546000;132.488636;95;194
43;M-11830a-x40-04.tif;1785;1463.544538;242.425770;33.303081;68.839516;1.184086;2.067061;0.483779;0.479593;59.000000;0.875190;162.973000;125.497479;84;200
