No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-05.tif;901;22.879023;82.481687;28.061810;42.970871;1.394920;1.531294;0.653043;0.621279;85.000000;0.757321;125.673000;193.026637;135;255
2;M-11830a-x40-05.tif;565;20.107965;395.077876;25.190048;29.266435;1.061845;1.161825;0.860715;0.839883;33.000000;0.509088;86.828000;168.631858;88;255
3;M-11830a-x40-05.tif;1569;52.650096;256.658381;36.977947;56.903368;1.435165;1.538846;0.649838;0.616960;219.000000;0.760073;168.216000;196.464627;157;255
4;M-11830a-x40-05.tif;1076;62.645911;157.794610;28.522190;51.220368;1.772275;1.795808;0.556853;0.522200;148.000000;0.830611;154.802000;189.776952;94;255
5;M-11830a-x40-05.tif;1817;88.335718;215.999450;42.337095;55.768233;1.244045;1.317243;0.759161;0.743860;106.000000;0.650902;168.539000;197.398459;140;255
6;M-11830a-x40-05.tif;802;90.158354;284.658354;28.851790;36.127677;1.088739;1.252181;0.798606;0.782356;39.000000;0.601854;104.750000;194.384040;117;255
7;M-11830a-x40-05.tif;909;207.760176;282.550055;31.805782;36.475342;0.965908;1.146815;0.871980;0.869912;21.000000;0.489541;105.040000;170.314631;63;255
8;M-11830a-x40-05.tif;919;250.080522;165.485310;25.393164;47.878396;1.540133;1.885484;0.530368;0.510442;92.000000;0.847768;133.365000;195.872688;143;255
9;M-11830a-x40-05.tif;821;287.345920;134.992692;27.169307;39.575122;1.213753;1.456611;0.686525;0.667435;59.000000;0.727106;111.903000;195.421437;128;255
10;M-11830a-x40-05.tif;2681;591.441253;693.051100;45.337237;76.911240;1.179907;1.696425;0.589475;0.577068;150.000000;0.807787;199.378000;176.704588;124;255
11;M-11830a-x40-05.tif;794;654.241814;546.915617;28.380695;37.788250;1.113822;1.331477;0.751046;0.707974;52.000000;0.660250;105.420000;173.732997;34;255
12;M-11830a-x40-05.tif;4910;693.645825;341.230346;67.785235;114.888856;1.871407;1.694895;0.590007;0.473626;1232.000000;0.807398;339.805000;188.841548;114;255
13;M-11830a-x40-05.tif;2972;688.086474;481.093876;61.273236;64.038572;1.627402;1.045131;0.956818;0.922732;265.000000;0.290689;246.534000;184.484859;67;255
14;M-11830a-x40-05.tif;3185;761.271900;466.427002;57.148400;72.250968;1.185605;1.264269;0.790971;0.776841;170.000000;0.611854;217.836000;188.067504;133;255
15;M-11830a-x40-05.tif;1295;761.307336;317.216216;23.724386;78.860736;2.261204;3.324037;0.300839;0.265130;270.000000;0.953675;191.827000;201.767568;115;255
16;M-11830a-x40-05.tif;3335;782.482459;229.234483;61.566161;70.184039;1.313169;1.139978;0.877210;0.862044;227.000000;0.480106;234.592000;192.578711;77;255
17;M-11830a-x40-05.tif;558;784.137993;114.351254;23.211102;30.687903;0.965295;1.322122;0.756360;0.754414;9.000000;0.654156;82.272000;154.512545;36;255
18;M-11830a-x40-05.tif;5545;910.198197;249.485663;55.805507;129.740317;1.481197;2.324866;0.430132;0.419432;293.000000;0.902766;321.264000;165.853201;52;255
19;M-11830a-x40-05.tif;6092;931.872620;432.872292;73.464063;113.924574;2.005718;1.550752;0.644848;0.597634;882.000000;0.764311;391.850000;193.886408;129;255
20;M-11830a-x40-05.tif;3320;939.333133;309.584337;51.425753;85.994035;1.971108;1.672198;0.598015;0.571625;440.000000;0.801485;286.767000;202.615964;116;255
21;M-11830a-x40-05.tif;2309;993.243828;78.199654;40.514235;73.826715;1.325700;1.822241;0.548775;0.539395;162.000000;0.835970;196.128000;174.855782;59;255
22;M-11830a-x40-05.tif;878;1484.880410;793.526196;32.314406;34.718800;0.957480;1.074406;0.930747;0.927417;16.000000;0.365665;102.782000;169.248292;74;255
