No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-02.tif;1107;33.555556;567.357724;31.781388;44.903893;1.029469;1.412899;0.707765;0.699020;35.000000;0.706448;119.670000;107.860885;30;228
2;M-11901b-x40-02.tif;4156;122.594081;352.268768;58.809473;92.980262;1.198220;1.581042;0.632494;0.612074;183.000000;0.774565;250.156000;130.033927;78;222
3;M-11901b-x40-02.tif;4517;197.500996;326.479743;67.218250;85.705611;1.071337;1.275035;0.784292;0.782964;123.000000;0.620391;246.600000;130.197033;83;189
4;M-11901b-x40-02.tif;4381;290.664688;327.230769;65.688724;86.135315;1.138418;1.311265;0.762622;0.751832;152.000000;0.646844;250.347000;128.736133;73;201
5;M-11901b-x40-02.tif;1890;360.938624;333.976720;34.618045;73.976446;1.348196;2.136933;0.467960;0.439729;227.000000;0.883749;178.942000;107.517460;11;226
6;M-11901b-x40-02.tif;2859;408.351871;387.935992;57.340714;63.735414;1.001490;1.111521;0.899668;0.896113;56.000000;0.436575;189.686000;118.432319;75;187
7;M-11901b-x40-02.tif;4605;442.221281;442.823018;60.391707;99.576275;1.291877;1.648840;0.606487;0.591327;216.000000;0.795093;273.420000;107.551140;12;209
8;M-11901b-x40-02.tif;3664;488.131550;390.784662;56.100413;83.595790;1.100968;1.490110;0.671091;0.667570;86.000000;0.741375;225.149000;126.707424;83;184
9;M-11901b-x40-02.tif;3404;544.363984;421.227086;49.367725;93.013435;1.737860;1.884094;0.530759;0.500966;304.000000;0.847523;272.651000;120.272033;60;213
10;M-11901b-x40-02.tif;4885;669.762129;252.159263;71.115701;90.661877;1.284083;1.274850;0.784406;0.756703;323.000000;0.620248;280.759000;129.224360;89;193
11;M-11901b-x40-02.tif;3124;821.011204;463.857875;52.672453;75.799623;1.083248;1.439075;0.694891;0.692288;86.000000;0.719115;206.217000;116.232394;60;197
12;M-11901b-x40-02.tif;3861;888.827506;220.365967;62.045483;86.047318;1.835884;1.386843;0.721062;0.663950;684.000000;0.692870;298.454000;122.073815;42;204
13;M-11901b-x40-02.tif;1864;914.525751;164.162554;39.989446;61.878569;1.284645;1.547372;0.646257;0.619834;169.000000;0.763120;173.468000;108.809013;0;202
14;M-11901b-x40-02.tif;4043;1042.844917;360.213455;61.793786;87.262219;1.428791;1.412152;0.708139;0.676023;523.000000;0.706073;269.427000;124.281474;73;202
15;M-11901b-x40-02.tif;3002;1237.272152;777.454364;59.405282;65.650963;1.085755;1.105137;0.904865;0.886826;70.000000;0.425698;202.384000;92.859094;14;237
16;M-11901b-x40-02.tif;2750;1275.015273;742.500364;53.283465;70.203616;1.325050;1.317550;0.758985;0.710434;289.000000;0.651109;213.987000;135.548727;47;239
17;M-11901b-x40-02.tif;5252;1336.776466;719.058264;70.234331;98.576021;1.255760;1.403530;0.712489;0.688165;516.000000;0.701683;287.886000;104.134044;25;228
18;M-11901b-x40-02.tif;3661;1369.512428;583.923518;58.225817;84.462245;1.237429;1.450598;0.689371;0.653408;187.000000;0.724409;238.597000;113.122098;62;210
19;M-11901b-x40-02.tif;2475;1420.874343;630.610101;41.460646;79.522520;1.337429;1.918024;0.521370;0.498316;211.000000;0.853331;203.952000;126.426667;65;204
20;M-11901b-x40-02.tif;569;1418.771529;495.518453;17.530928;42.675921;1.343249;2.434322;0.410792;0.397792;30.000000;0.911729;98.003000;95.905097;10;224
21;M-11901b-x40-02.tif;4544;1439.395467;736.280590;69.678482;83.703390;1.069987;1.201280;0.832445;0.825776;134.000000;0.554107;247.180000;123.702245;17;205
22;M-11901b-x40-02.tif;2222;1449.626463;366.689469;43.838800;64.714756;1.035033;1.476198;0.677416;0.675535;41.000000;0.735600;170.002000;115.517102;40;221
23;M-11901b-x40-02.tif;577;1447.455806;466.247834;18.335329;41.499520;1.401953;2.263364;0.441820;0.426579;56.000000;0.897104;100.823000;106.535529;1;213
24;M-11901b-x40-02.tif;1331;1465.089406;430.367393;38.843847;51.383216;1.716501;1.322815;0.755964;0.641868;273.000000;0.654614;169.440000;92.241923;10;230
25;M-11901b-x40-02.tif;2459;1480.538430;682.848719;43.124699;73.333720;1.172529;1.700504;0.588061;0.582185;86.000000;0.808817;190.347000;109.681985;31;212
26;M-11901b-x40-02.tif;1954;1497.823439;367.007165;38.744814;67.354296;1.435574;1.738408;0.575239;0.548408;211.000000;0.817985;187.750000;97.021494;5;232
