No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-07.tif;894;36.895973;275.770694;28.856329;41.646620;1.287988;1.443240;0.692885;0.656278;112.000000;0.721048;120.290000;167.242729;50;255
2;M-11940-x40-07.tif;1235;598.153036;433.465587;37.938873;45.490222;1.801469;1.199040;0.834001;0.759873;221.000000;0.551764;167.206000;201.766802;150;255
3;M-11940-x40-07.tif;1951;652.972834;435.606868;44.354155;56.455760;1.033135;1.272840;0.785644;0.779383;57.000000;0.618678;159.152000;188.158893;113;255
4;M-11940-x40-07.tif;1663;688.398677;457.805773;42.697745;51.184777;1.149891;1.198770;0.834188;0.808204;92.000000;0.551480;155.017000;191.114251;104;255
5;M-11940-x40-07.tif;1454;704.299862;494.451857;40.261010;50.498695;1.677506;1.254283;0.797268;0.725963;241.000000;0.603625;175.073000;198.973177;118;255
6;M-11940-x40-07.tif;969;709.309598;533.534572;35.447412;56.717471;3.175259;1.600045;0.624982;0.383531;511.000000;0.780639;196.633000;194.905057;103;255
7;M-11940-x40-07.tif;317;700.731861;555.801262;14.749700;29.037332;1.561941;1.968673;0.507956;0.478692;49.000000;0.861383;78.880000;200.015773;125;255
8;M-11940-x40-07.tif;1332;747.498498;428.099099;40.793098;45.317899;1.832323;1.110921;0.900154;0.825800;222.000000;0.435571;175.129000;193.427928;104;255
9;M-11940-x40-07.tif;1806;751.555925;476.046512;46.127641;51.882149;1.616660;1.124752;0.889085;0.854264;159.000000;0.457742;191.546000;196.665559;92;255
10;M-11940-x40-07.tif;2405;773.286071;528.260291;39.726035;91.562958;3.005112;2.304860;0.433866;0.365246;783.000000;0.900978;301.365000;197.860707;122;255
11;M-11940-x40-07.tif;2227;763.120341;307.686574;51.624493;57.530386;1.711758;1.114401;0.897343;0.856714;234.000000;0.441334;218.870000;199.674899;130;255
12;M-11940-x40-07.tif;1505;775.742193;574.851827;41.280807;48.775614;1.702311;1.181557;0.846341;0.805455;252.000000;0.532641;179.429000;196.205316;135;255
13;M-11940-x40-07.tif;2076;812.805395;607.344894;40.240872;69.424979;1.803541;1.725235;0.579631;0.548411;330.000000;0.814879;216.911000;182.458574;98;255
14;M-11940-x40-07.tif;2456;832.293567;433.066368;41.505746;79.865941;1.957591;1.924214;0.519693;0.490247;340.000000;0.854353;245.799000;190.459691;134;255
15;M-11940-x40-07.tif;594;805.939394;390.074074;26.146075;29.725691;1.097432;1.136908;0.879578;0.855919;35.000000;0.475754;90.508000;205.291246;82;255
16;M-11940-x40-07.tif;1681;824.609756;480.004759;41.883528;51.774861;1.106705;1.236163;0.808955;0.798436;86.000000;0.587871;152.899000;185.888757;124;255
17;M-11940-x40-07.tif;785;833.299363;386.750318;30.644071;33.306439;1.096910;1.086880;0.920064;0.900997;30.000000;0.391767;104.022000;208.419108;157;255
18;M-11940-x40-07.tif;1563;840.855406;564.103007;36.427851;59.176007;2.209092;1.624472;0.615585;0.568300;278.000000;0.788071;208.301000;201.323097;141;255
19;M-11940-x40-07.tif;2547;852.848057;211.925795;44.426996;76.302873;1.828662;1.717489;0.582245;0.557003;324.000000;0.813013;241.928000;179.429132;83;255
20;M-11940-x40-07.tif;2119;864.851345;31.983011;46.744850;61.143921;1.413290;1.308035;0.764505;0.721663;207.000000;0.644617;193.993000;189.350637;71;255
21;M-11940-x40-07.tif;2890;865.842215;504.617301;48.953836;77.391616;1.411022;1.580910;0.632547;0.614356;256.000000;0.774522;226.371000;178.258478;120;255
22;M-11940-x40-07.tif;3124;891.230794;245.265365;55.440741;72.351932;1.088824;1.305032;0.766265;0.759838;125.000000;0.642525;206.747000;190.785531;83;255
23;M-11940-x40-07.tif;687;877.695779;386.008734;26.793756;32.915154;0.974731;1.228464;0.814025;0.807375;16.000000;0.580830;91.733000;166.032023;22;255
24;M-11940-x40-07.tif;2431;898.703414;328.998355;50.797132;63.541582;1.560886;1.250889;0.799431;0.766618;313.000000;0.600757;218.365000;196.764295;94;255
25;M-11940-x40-07.tif;2565;926.433918;101.583236;49.580296;70.746459;1.738066;1.426907;0.700817;0.652511;361.000000;0.713341;236.691000;193.686160;111;255
26;M-11940-x40-07.tif;2407;940.088492;191.500623;47.545089;67.778557;1.848933;1.425564;0.701477;0.667116;277.000000;0.712692;236.485000;189.720814;103;255
27;M-11940-x40-07.tif;942;1215.331210;324.038217;28.654148;43.133795;1.272948;1.505325;0.664309;0.644653;72.000000;0.747458;122.754000;170.050955;71;255
28;M-11940-x40-07.tif;1338;1310.802691;298.019432;29.375182;59.956564;1.413514;2.041062;0.489941;0.473907;146.000000;0.871756;154.164000;189.634529;48;255
29;M-11940-x40-07.tif;1274;1375.953689;448.858713;31.877004;53.574842;1.505783;1.680674;0.594999;0.565142;159.000000;0.803726;155.264000;186.736264;90;255
30;M-11940-x40-07.tif;1592;1536.436558;514.946608;43.905992;46.697319;1.087239;1.063575;0.940225;0.929543;48.000000;0.340554;147.482000;198.136307;91;255
