No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-08.tif;3205;48.176911;355.999688;62.582364;69.187844;1.346377;1.105549;0.904528;0.852469;279.000000;0.426414;232.864000;148.358502;116;200
2;M-11940-x40-08.tif;1687;112.793124;395.586841;36.513225;63.592663;1.284853;1.741634;0.574174;0.531143;178.000000;0.818734;165.040000;140.253112;85;238
3;M-11940-x40-08.tif;1973;166.547897;221.932083;41.067183;64.280446;1.250172;1.565251;0.638875;0.607966;109.000000;0.769310;176.057000;136.860112;76;240
4;M-11940-x40-08.tif;1916;184.879958;171.343946;40.910210;63.422568;1.317015;1.550287;0.645042;0.606482;158.000000;0.764147;178.073000;136.250522;77;231
5;M-11940-x40-08.tif;1643;206.141814;58.439440;35.272615;69.125067;1.846608;1.959738;0.510272;0.437801;337.000000;0.860013;195.259000;142.645770;50;237
6;M-11940-x40-08.tif;1939;213.899948;247.217638;40.143769;61.977558;1.087262;1.543890;0.647715;0.642716;32.000000;0.761883;162.765000;142.111398;102;216
7;M-11940-x40-08.tif;5240;272.164885;238.788740;71.769393;94.323401;1.149660;1.314257;0.760886;0.749899;221.000000;0.648885;275.141000;149.075573;110;215
8;M-11940-x40-08.tif;4553;336.308368;183.433121;72.170241;81.819708;1.197492;1.133704;0.882064;0.865948;191.000000;0.471129;261.752000;147.101252;101;225
9;M-11940-x40-08.tif;3070;339.222801;258.311401;52.112885;75.320899;1.053705;1.445341;0.691878;0.688997;74.000000;0.722014;201.620000;144.857003;104;231
10;M-11940-x40-08.tif;3303;337.205571;361.572510;52.029605;82.083128;1.192482;1.577624;0.633865;0.624182;195.000000;0.773444;222.477000;139.882228;96;231
11;M-11940-x40-08.tif;2132;335.727486;58.187617;48.212978;56.525841;1.061057;1.172420;0.852937;0.849578;49.000000;0.522014;168.604000;141.396811;110;220
12;M-11940-x40-08.tif;2539;378.853879;101.434029;53.109203;62.006146;1.226030;1.167522;0.856515;0.840821;127.000000;0.516122;197.782000;139.688066;83;227
13;M-11940-x40-08.tif;4419;402.100928;362.970129;55.733599;103.539505;1.296886;1.857757;0.538283;0.524834;400.000000;0.842764;268.360000;144.330391;111;212
14;M-11940-x40-08.tif;1644;398.394769;215.143552;42.754941;49.466591;1.076236;1.156980;0.864320;0.855437;54.000000;0.502943;149.111000;141.293187;45;231
15;M-11940-x40-08.tif;1657;413.671696;64.741098;37.353667;56.950051;1.116677;1.524617;0.655902;0.650496;71.000000;0.754846;152.486000;151.939650;109;215
16;M-11940-x40-08.tif;3937;445.257811;273.543307;65.150071;78.018547;1.108537;1.197521;0.835059;0.823531;133.000000;0.550161;234.187000;142.755906;98;237
17;M-11940-x40-08.tif;1093;463.194876;705.577310;27.016739;56.924636;1.404468;2.107014;0.474605;0.429467;164.000000;0.880199;138.890000;137.905764;72;221
18;M-11940-x40-08.tif;784;547.028061;690.511480;28.080920;37.660021;1.261308;1.341125;0.745643;0.703826;89.000000;0.666346;111.474000;129.584184;44;233
19;M-11940-x40-08.tif;4332;603.521237;94.106648;69.377361;84.271402;1.523052;1.214682;0.823261;0.776673;483.000000;0.567663;287.943000;143.091644;102;242
20;M-11940-x40-08.tif;2700;698.013333;415.086296;50.347086;71.071295;1.237256;1.411627;0.708403;0.680590;237.000000;0.705809;204.888000;138.342222;87;222
21;M-11940-x40-08.tif;2911;718.935074;134.251460;55.595943;66.957499;0.998486;1.204359;0.830317;0.826711;50.000000;0.557292;191.116000;132.163174;80;238
22;M-11940-x40-08.tif;3740;737.515775;498.049733;61.637202;78.296190;1.265349;1.270275;0.787231;0.776784;264.000000;0.616658;243.863000;142.009626;80;215
23;M-11940-x40-08.tif;3968;747.442288;430.779738;63.950757;80.597220;1.201324;1.260301;0.793461;0.777753;299.000000;0.608621;244.749000;143.391129;90;220
24;M-11940-x40-08.tif;3331;757.135095;73.786851;56.039107;75.925887;1.021407;1.354873;0.738076;0.735707;57.000000;0.674717;206.772000;136.335935;80;219
25;M-11940-x40-08.tif;1827;754.600438;719.022441;39.331264;61.434537;1.240747;1.561977;0.640214;0.616344;158.000000;0.768196;168.778000;146.127531;98;212
26;M-11940-x40-08.tif;3058;786.981687;376.177240;51.870203;75.376026;1.081391;1.453166;0.688153;0.685301;82.000000;0.725566;203.852000;135.448332;68;215
27;M-11940-x40-08.tif;3575;804.871049;486.590210;59.475755;77.766240;1.172073;1.307528;0.764802;0.752669;199.000000;0.644266;229.467000;140.695105;94;211
28;M-11940-x40-08.tif;3065;826.530506;115.488744;58.681224;66.976046;1.068541;1.141354;0.876152;0.869965;116.000000;0.482034;202.869000;133.867863;71;215
