No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-03.tif;1459;32.019877;217.985607;41.453665;50.034681;1.685824;1.207003;0.828499;0.742033;360.000000;0.559991;175.808000;144.614119;75;182
2;M-11811a-x40-03.tif;580;21.367241;689.196552;25.458871;29.238355;0.967156;1.148454;0.870735;0.863838;17.000000;0.491752;83.959000;152.539655;99;214
3;M-11811a-x40-03.tif;628;26.528662;486.815287;27.152066;29.888652;0.993008;1.100787;0.908441;0.895070;20.000000;0.418014;88.524000;135.979299;107;203
4;M-11811a-x40-03.tif;595;28.499160;407.257143;26.023894;29.386830;1.003320;1.129225;0.885563;0.877246;20.000000;0.464519;86.613000;142.984874;124;195
5;M-11811a-x40-03.tif;695;33.974101;123.279137;28.914916;30.667330;0.938488;1.060606;0.942857;0.940899;12.000000;0.333197;90.534000;129.673381;91;190
6;M-11811a-x40-03.tif;786;50.596692;159.024173;31.127022;32.456006;1.003324;1.042695;0.959053;0.950041;24.000000;0.283227;99.549000;135.338422;104;198
7;M-11811a-x40-03.tif;615;52.912195;24.858537;27.155374;29.119138;0.977382;1.072316;0.932561;0.923481;15.000000;0.361012;86.911000;149.373984;122;210
8;M-11811a-x40-03.tif;723;53.665284;486.183956;25.062430;38.163256;1.097819;1.522728;0.656716;0.632059;20.000000;0.754138;99.871000;146.843707;115;205
9;M-11811a-x40-03.tif;3481;73.120655;430.496122;50.422256;99.389690;1.720438;1.971147;0.507319;0.448675;651.000000;0.861758;274.332000;133.420282;73;216
10;M-11811a-x40-03.tif;435;51.843678;406.708046;23.442866;24.619150;1.060177;1.050177;0.952221;0.913804;22.000000;0.305410;76.127000;133.880460;108;204
11;M-11811a-x40-03.tif;672;64.711310;676.897321;25.364211;34.313504;1.017081;1.352832;0.739190;0.726690;19.000000;0.673497;92.676000;150.308036;122;208
12;M-11811a-x40-03.tif;1426;70.378682;103.504208;39.790104;49.733347;1.473302;1.249892;0.800069;0.734065;195.000000;0.599908;162.484000;142.726508;109;190
13;M-11811a-x40-03.tif;1320;67.145455;186.171970;29.814842;58.429936;1.425122;1.959760;0.510267;0.492281;134.000000;0.860016;153.751000;142.177273;110;199
14;M-11811a-x40-03.tif;1178;67.061121;242.420204;29.975086;53.725131;1.638937;1.792326;0.557934;0.519637;208.000000;0.829885;155.761000;142.077250;90;182
15;M-11811a-x40-03.tif;567;85.920635;659.895944;26.080553;27.923994;0.948265;1.070683;0.933984;0.925845;10.000000;0.357316;82.198000;139.089947;99;220
16;M-11811a-x40-03.tif;642;137.109034;362.809969;24.685593;33.565622;1.007633;1.359725;0.735443;0.725531;17.000000;0.677587;90.162000;148.925234;121;208
17;M-11811a-x40-03.tif;1063;150.755409;800.307620;29.851913;46.183093;1.194825;1.547073;0.646382;0.634567;80.000000;0.763014;126.335000;140.655691;114;203
18;M-11811a-x40-03.tif;659;153.207891;77.710167;27.011082;31.124462;0.941001;1.152285;0.867841;0.866147;10.000000;0.496842;88.276000;141.787557;105;220
19;M-11811a-x40-03.tif;1420;158.592254;517.644366;34.854231;56.123801;1.442412;1.610244;0.621024;0.573990;226.000000;0.783791;160.433000;140.794366;94;216
20;M-11811a-x40-03.tif;609;178.528736;144.185550;26.561398;29.399189;0.960706;1.106839;0.903474;0.897133;16.000000;0.428643;85.745000;142.678161;112;207
21;M-11811a-x40-03.tif;538;199.118959;382.674721;23.955749;28.988132;0.976172;1.210070;0.826399;0.815177;13.000000;0.563086;81.238000;151.068773;90;215
22;M-11811a-x40-03.tif;557;223.254937;206.402154;25.544186;27.851983;0.934258;1.090345;0.917141;0.914225;7.000000;0.398564;80.866000;144.570916;102;212
23;M-11811a-x40-03.tif;1155;258.167965;139.034632;31.008241;48.334112;1.077741;1.558751;0.641539;0.629484;50.000000;0.767090;125.070000;139.758442;110;212
24;M-11811a-x40-03.tif;505;275.093069;187.667327;24.916768;25.916529;0.962476;1.040124;0.961424;0.957300;14.000000;0.275071;78.153000;150.035644;123;208
25;M-11811a-x40-03.tif;459;286.106754;35.749455;21.690102;27.781984;1.063654;1.280860;0.780725;0.757175;32.000000;0.624874;78.327000;147.137255;127;188
26;M-11811a-x40-03.tif;654;302.278287;194.128440;27.387683;30.535218;0.958168;1.114925;0.896921;0.893071;14.000000;0.442190;88.739000;138.359327;100;210
27;M-11811a-x40-03.tif;668;311.929641;43.808383;28.865354;29.523172;0.938615;1.022789;0.977719;0.975799;15.000000;0.209920;88.764000;138.455090;106;210
28;M-11811a-x40-03.tif;596;326.882550;291.194631;23.619551;32.655775;1.044173;1.382574;0.723289;0.711601;26.000000;0.690546;88.433000;152.342282;136;200
29;M-11811a-x40-03.tif;669;327.901345;202.144993;25.409135;33.920954;1.020540;1.334991;0.749069;0.740287;28.000000;0.662492;92.626000;137.076233;116;213
30;M-11811a-x40-03.tif;709;354.033850;200.616361;30.056233;30.383020;0.959183;1.010873;0.989244;0.977900;11.000000;0.146272;92.444000;128.234133;84;215
31;M-11811a-x40-03.tif;5471;412.907330;134.922135;67.522341;104.146214;1.112272;1.542396;0.648342;0.642229;165.000000;0.761349;276.531000;100.401206;55;203
32;M-11811a-x40-03.tif;658;449.644377;185.215805;25.424656;33.208219;1.037063;1.306142;0.765613;0.759705;28.000000;0.643301;92.602000;143.721884;125;214
33;M-11811a-x40-03.tif;740;479.647297;122.136486;26.229181;36.835026;1.051205;1.404353;0.712072;0.694416;30.000000;0.702107;98.870000;142.774324;123;191
34;M-11811a-x40-03.tif;967;533.584281;640.947260;20.691512;62.252078;1.772519;3.008580;0.332383;0.317709;100.000000;0.943145;146.762000;176.879007;97;218
35;M-11811a-x40-03.tif;1324;594.376888;634.906344;38.039912;52.255918;1.593100;1.373713;0.727954;0.617344;314.000000;0.685626;162.806000;174.058912;142;214
