No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-06.tif;537;34.804469;678.080074;23.124722;29.735462;0.970828;1.285873;0.777682;0.773277;10.000000;0.628658;80.940000;142.428305;99;218
2;M-11822-x40-06.tif;1123;59.318789;247.340160;31.922139;46.243680;1.356380;1.448640;0.690303;0.668629;97.000000;0.723521;138.352000;151.588602;110;224
3;M-11822-x40-06.tif;644;55.149068;763.652174;27.449758;30.208867;1.026166;1.100515;0.908666;0.898519;26.000000;0.417525;91.129000;140.503106;80;219
4;M-11822-x40-06.tif;1227;75.541972;695.722086;33.098472;51.631885;1.246785;1.559948;0.641047;0.586028;43.000000;0.767502;138.651000;144.816626;116;214
5;M-11822-x40-06.tif;543;96.112339;263.209945;23.560441;29.537976;0.984980;1.253711;0.797632;0.792407;14.000000;0.603144;81.982000;142.795580;99;201
6;M-11822-x40-06.tif;867;112.085352;230.613610;25.799325;44.885144;1.433840;1.739780;0.574785;0.547929;107.000000;0.818304;124.987000;147.853518;119;219
7;M-11822-x40-06.tif;5843;136.085915;374.469279;86.978342;104.972869;1.952769;1.206885;0.828579;0.675137;1562.000000;0.559872;378.659000;129.802841;79;220
8;M-11822-x40-06.tif;2860;135.737063;87.151748;58.622215;79.972696;3.348866;1.364205;0.733028;0.569368;965.000000;0.680199;346.926000;146.975524;97;205
9;M-11822-x40-06.tif;366;112.833333;195.986339;18.133951;26.873959;1.112401;1.481969;0.674778;0.645250;18.000000;0.738021;71.528000;153.680328;135;199
10;M-11822-x40-06.tif;2578;123.339022;293.198991;44.326474;77.589360;1.321330;1.750407;0.571296;0.545241;173.000000;0.820744;206.896000;128.819240;75;217
11;M-11822-x40-06.tif;3068;135.473924;465.857562;54.064259;81.877336;1.995207;1.514445;0.660308;0.582691;519.000000;0.750995;277.349000;139.936767;94;221
12;M-11822-x40-06.tif;1048;194.383588;409.991412;26.245795;54.001449;1.386314;2.057528;0.486020;0.457573;130.000000;0.873948;135.119000;151.669847;103;218
13;M-11822-x40-06.tif;1110;213.556757;59.564865;21.656686;67.183658;1.632775;3.102213;0.322351;0.313116;99.000000;0.946620;150.914000;149.254054;109;224
14;M-11822-x40-06.tif;623;201.211878;725.428571;26.208073;31.334864;1.074090;1.195619;0.836387;0.807872;28.000000;0.548139;91.700000;131.096308;93;195
15;M-11822-x40-06.tif;1141;224.605609;752.326906;28.289694;53.671103;1.404350;1.897196;0.527094;0.504330;113.000000;0.849807;141.901000;128.468887;57;214
16;M-11822-x40-06.tif;765;218.554248;263.402614;24.786669;39.985226;1.072894;1.613175;0.619896;0.609218;32.000000;0.784684;101.558000;134.411765;78;225
17;M-11822-x40-06.tif;693;232.391053;500.460317;24.052960;37.282730;1.090442;1.550027;0.645150;0.634787;33.000000;0.764056;97.448000;148.193362;98;221
18;M-11822-x40-06.tif;786;256.137405;515.400763;28.340762;36.550437;1.145744;1.289677;0.775388;0.749113;51.000000;0.631485;106.380000;133.533079;66;220
19;M-11822-x40-06.tif;986;264.403651;475.918864;27.691806;47.434963;1.267639;1.712960;0.583785;0.557943;104.000000;0.811908;125.326000;140.831643;107;226
20;M-11822-x40-06.tif;981;288.576962;595.901121;25.229545;51.127329;1.326247;2.026486;0.493465;0.477829;66.000000;0.869766;127.865000;126.418960;50;220
21;M-11822-x40-06.tif;451;283.687361;784.006652;21.735364;27.269245;1.073832;1.254603;0.797065;0.772219;24.000000;0.603893;78.012000;153.709534;133;193
22;M-11822-x40-06.tif;1198;295.868948;107.886477;34.263736;44.815502;1.012446;1.307957;0.764551;0.759470;31.000000;0.644563;123.458000;141.202838;61;220
23;M-11822-x40-06.tif;551;289.005445;242.776770;21.781828;32.875304;1.060397;1.509300;0.662559;0.649116;14.000000;0.749010;85.687000;154.010889;129;213
24;M-11822-x40-06.tif;886;308.273138;778.639955;28.056559;41.337928;1.129880;1.473378;0.678712;0.660156;40.000000;0.734404;112.160000;132.886005;46;208
25;M-11822-x40-06.tif;977;351.245650;718.732856;27.846948;46.092797;1.270715;1.655219;0.604150;0.585516;61.000000;0.796871;124.904000;127.711361;83;199
26;M-11822-x40-06.tif;2559;405.005862;93.514263;45.745832;72.726673;1.220116;1.589799;0.629010;0.616017;127.000000;0.777397;198.080000;115.449004;36;205
27;M-11822-x40-06.tif;2820;429.957801;396.001418;54.883301;66.781227;1.152952;1.216786;0.821837;0.805101;187.000000;0.569722;202.132000;112.883333;63;213
28;M-11822-x40-06.tif;726;441.351240;703.816804;24.739237;37.572692;1.056831;1.518749;0.658437;0.654790;17.000000;0.752636;98.192000;157.493113;140;210
29;M-11822-x40-06.tif;2509;452.802312;346.336788;52.831589;63.821349;1.167711;1.208015;0.827804;0.784294;125.000000;0.561017;191.877000;105.445994;44;198
30;M-11822-x40-06.tif;600;446.335000;87.458333;21.768297;35.705059;1.103207;1.640232;0.609670;0.599241;17.000000;0.792655;91.203000;150.266667;90;203
31;M-11822-x40-06.tif;3087;484.789764;251.502430;56.758117;70.731208;1.527911;1.246187;0.802448;0.785642;204.000000;0.596722;243.457000;105.038225;16;206
32;M-11822-x40-06.tif;572;581.456294;16.767483;24.746522;29.756288;0.987258;1.202443;0.831640;0.822524;15.000000;0.555315;84.240000;149.124126;121;206
33;M-11822-x40-06.tif;592;587.511824;63.956081;23.718634;31.991646;0.998625;1.348798;0.741401;0.736476;14.000000;0.671062;86.192000;153.133446;135;215
34;M-11822-x40-06.tif;564;589.574468;100.617021;26.812559;27.161432;0.973338;1.013012;0.987156;0.973383;11.000000;0.159762;83.057000;140.338652;81;210
35;M-11822-x40-06.tif;1055;604.095735;124.452133;25.720462;56.021669;1.377585;2.178097;0.459116;0.428007;104.000000;0.888376;135.142000;144.879621;96;229
36;M-11822-x40-06.tif;5576;621.793580;298.872131;66.812680;109.803601;1.369061;1.643455;0.608474;0.588843;357.000000;0.793574;309.726000;104.005201;15;220
