No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-02.tif;1155;33.517749;567.447619;32.893437;45.259910;1.028156;1.375956;0.726768;0.717901;30.000000;0.686883;122.159000;88.866667;23;224
2;M-11901b-x40-02.tif;4591;77.615770;184.318014;60.980305;99.196054;1.459164;1.626690;0.614745;0.594058;489.000000;0.788726;290.142000;147.401002;61;226
3;M-11901b-x40-02.tif;1228;62.191368;312.329805;33.733758;55.241631;1.707886;1.637577;0.610658;0.512360;222.000000;0.791894;162.343000;147.955212;80;234
4;M-11901b-x40-02.tif;1452;120.688017;264.993113;33.316711;58.598584;1.316547;1.758835;0.568558;0.538397;113.000000;0.822643;154.991000;144.099174;77;227
5;M-11901b-x40-02.tif;902;137.003326;186.779379;32.029615;37.719355;1.185047;1.177640;0.849156;0.807213;92.000000;0.528142;115.898000;133.348115;77;221
6;M-11901b-x40-02.tif;1086;209.934622;250.603131;34.825395;45.850901;1.334679;1.316594;0.759536;0.657725;169.000000;0.650466;134.961000;129.838858;53;201
7;M-11901b-x40-02.tif;5723;293.426874;328.029006;68.061784;111.163840;1.290735;1.633278;0.612265;0.589667;485.000000;0.790652;304.674000;100.407828;42;190
8;M-11901b-x40-02.tif;5411;359.498429;351.493439;78.749703;90.327448;1.267888;1.147020;0.871825;0.844400;596.000000;0.489818;293.619000;114.117723;15;230
9;M-11901b-x40-02.tif;444;625.689189;415.954955;20.652819;28.412503;1.182606;1.375720;0.726892;0.700284;40.000000;0.686752;81.230000;116.376126;24;201
10;M-11901b-x40-02.tif;6449;818.235540;453.388587;76.020133;124.405866;1.754611;1.636486;0.611066;0.530543;1078.000000;0.791580;377.087000;105.142813;31;210
11;M-11901b-x40-02.tif;1219;847.431501;55.358491;34.235759;58.771916;1.956324;1.716682;0.582519;0.449339;361.000000;0.812817;173.112000;126.841674;36;213
12;M-11901b-x40-02.tif;5733;883.047793;224.236874;70.917171;110.110717;1.439563;1.552667;0.644053;0.602050;718.000000;0.764981;322.041000;101.978196;24;203
13;M-11901b-x40-02.tif;1947;913.108885;164.994350;43.949393;57.833153;1.091741;1.315903;0.759934;0.741178;100.000000;0.650000;163.436000;85.194658;2;205
14;M-11901b-x40-02.tif;1791;923.902289;581.677275;24.864343;96.020290;1.900294;3.861767;0.258949;0.247332;243.000000;0.965891;206.806000;112.461195;48;221
15;M-11901b-x40-02.tif;752;909.715426;477.747340;26.851559;38.539048;1.437513;1.435263;0.696736;0.644653;118.000000;0.717327;116.552000;134.918883;63;211
16;M-11901b-x40-02.tif;1008;950.967262;803.597222;27.758863;49.387271;1.318081;1.779153;0.562065;0.526188;98.000000;0.827093;129.213000;113.615079;59;223
17;M-11901b-x40-02.tif;2375;963.279579;168.109474;52.374728;73.830532;2.338051;1.409659;0.709391;0.554756;879.000000;0.704815;264.158000;105.888000;25;211
18;M-11901b-x40-02.tif;996;1028.934739;471.417671;21.574868;60.622632;1.533358;2.809873;0.355888;0.345064;51.000000;0.934529;138.534000;146.773092;108;219
19;M-11901b-x40-02.tif;915;1032.731148;512.853552;30.171967;39.263657;1.079778;1.301329;0.768445;0.755701;46.000000;0.639916;111.425000;127.182514;65;220
20;M-11901b-x40-02.tif;1158;1067.598446;232.717617;29.997950;50.350803;1.175719;1.678475;0.595779;0.581575;61.000000;0.803148;130.801000;134.574266;53;214
21;M-11901b-x40-02.tif;580;1060.763793;521.044828;23.977640;31.946951;1.133429;1.332364;0.750545;0.723568;41.000000;0.660819;90.890000;113.755172;34;224
22;M-11901b-x40-02.tif;938;1072.776119;486.530917;23.981053;51.299566;1.384898;2.139171;0.467471;0.453822;100.000000;0.884008;127.766000;137.782516;69;219
23;M-11901b-x40-02.tif;1378;1127.003628;456.968795;33.114551;58.356784;1.619956;1.762270;0.567450;0.515201;231.000000;0.823408;167.487000;117.465893;58;200
24;M-11901b-x40-02.tif;855;1163.727485;411.097076;29.739155;37.807984;1.084117;1.271320;0.786584;0.761569;45.000000;0.617483;107.926000;128.040936;38;225
25;M-11901b-x40-02.tif;654;1192.055046;235.555046;26.834044;32.165414;1.146664;1.198679;0.834251;0.804840;49.000000;0.551384;97.076000;126.750765;57;199
26;M-11901b-x40-02.tif;1022;1208.271037;214.486301;29.197182;46.167855;1.143804;1.581244;0.632414;0.610494;45.000000;0.774631;121.201000;116.698630;28;209
27;M-11901b-x40-02.tif;1138;1261.608963;183.448155;33.829600;44.518698;1.155163;1.315969;0.759896;0.731084;69.000000;0.650044;128.528000;112.200351;45;200
28;M-11901b-x40-02.tif;481;1273.008316;790.877339;18.656015;37.040063;1.605092;1.985422;0.503671;0.446387;124.000000;0.863895;98.498000;181.299376;71;217
29;M-11901b-x40-02.tif;853;1304.195780;319.779601;26.155747;45.109266;1.283709;1.724641;0.579831;0.533737;70.000000;0.814737;117.304000;115.560375;41;225
30;M-11901b-x40-02.tif;969;1320.352941;226.749226;27.411556;46.985248;1.299943;1.714067;0.583408;0.558870;107.000000;0.812179;125.814000;131.297214;68;227
31;M-11901b-x40-02.tif;958;1393.789144;444.975992;25.259543;59.869392;1.850794;2.370169;0.421911;0.340303;255.000000;0.906637;149.268000;121.902923;54;213
32;M-11901b-x40-02.tif;3489;1438.411866;377.866437;42.912495;111.062988;1.754759;2.588127;0.386380;0.360141;414.000000;0.922340;277.373000;102.771854;25;224
33;M-11901b-x40-02.tif;580;1419.263793;495.360345;17.652044;43.433878;1.366242;2.460558;0.406412;0.391454;41.000000;0.913690;99.789000;81.755172;11;223
34;M-11901b-x40-02.tif;695;1449.798561;466.244604;22.939786;42.115503;1.661382;1.835915;0.544687;0.498897;128.000000;0.838639;120.457000;97.087770;12;211
35;M-11901b-x40-02.tif;1357;1465.404569;430.243920;38.659396;49.761215;1.673592;1.287170;0.776898;0.697763;193.000000;0.629626;168.935000;78.669860;10;220
36;M-11901b-x40-02.tif;1616;1463.087252;499.595297;41.376936;57.767220;2.285373;1.396121;0.716270;0.616579;356.000000;0.697823;215.429000;141.351485;88;218
37;M-11901b-x40-02.tif;896;1490.074777;459.312500;30.633907;39.458249;1.242020;1.288058;0.776363;0.732728;83.000000;0.630287;118.256000;136.476563;82;200
38;M-11901b-x40-02.tif;2046;1497.814272;366.937928;39.713064;69.480202;1.495348;1.749555;0.571574;0.539627;236.000000;0.820551;196.078000;81.008798;9;231
39;M-11901b-x40-02.tif;735;1550.189116;439.790476;23.059678;41.839535;1.180692;1.814402;0.551146;0.534594;62.000000;0.834409;104.428000;129.787755;66;219
40;M-11901b-x40-02.tif;678;1558.227139;408.728614;27.224745;32.146530;1.030700;1.180784;0.846895;0.835356;34.000000;0.531760;93.710000;104.809735;43;223
