No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1717;34.231800;239.254514;41.020798;53.558067;1.081758;1.305632;0.765913;0.762133;60.000000;0.642945;152.776000;0.480397;1.966292e-01;7.210884e-01
2;B-11865-x40-02.tif;5065;60.621520;644.513722;52.537292;132.362404;1.570958;2.519399;0.396920;0.368095;654.000000;0.917853;316.211000;0.473675;1.633663e-01;7.117647e-01
3;B-11865-x40-02.tif;1951;44.156843;523.903639;47.363372;52.521222;0.971895;1.108900;0.901795;0.900529;26.000000;0.432164;154.363000;0.493320;1.635514e-01;7.797619e-01
4;B-11865-x40-02.tif;1826;44.140745;119.846112;41.846781;55.647189;0.999419;1.329784;0.752002;0.750800;36.000000;0.659161;151.436000;0.490772;2.169312e-01;7.228916e-01
5;B-11865-x40-02.tif;2025;48.682469;366.644444;47.346299;54.536699;0.978591;1.151868;0.868155;0.866877;33.000000;0.496293;157.804000;0.490168;1.776650e-01;8.095238e-01
6;B-11865-x40-02.tif;1948;58.258214;741.343429;41.646904;60.725387;1.149806;1.458101;0.685824;0.672603;106.000000;0.727768;167.769000;0.472198;2.153110e-01;6.956522e-01
7;B-11865-x40-02.tif;1723;60.858387;173.101567;43.005078;51.196762;0.997613;1.190482;0.839996;0.836971;39.000000;0.542593;146.970000;0.464163;1.526316e-01;7.324841e-01
8;B-11865-x40-02.tif;1781;71.810780;58.473330;41.811741;54.367240;0.994342;1.300286;0.769061;0.767184;24.000000;0.639175;149.178000;0.499549;1.736842e-01;7.943262e-01
9;B-11865-x40-02.tif;3159;103.339348;467.531814;51.087025;88.008756;1.472966;1.722722;0.580477;0.519288;429.000000;0.814277;241.811000;0.517584;1.450000e-01;7.819549e-01
10;B-11865-x40-02.tif;1881;77.922913;284.781499;41.066075;58.804425;1.251026;1.431947;0.698350;0.692594;72.000000;0.715756;171.962000;0.479636;1.398964e-01;6.887417e-01
11;B-11865-x40-02.tif;1758;80.369738;420.802048;44.109579;50.877975;1.013167;1.153445;0.866968;0.864708;44.000000;0.498364;149.608000;0.503434;1.778846e-01;8.720000e-01
12;B-11865-x40-02.tif;1896;90.852321;586.546414;47.922091;50.460842;0.970520;1.052977;0.949689;0.948068;34.000000;0.313195;152.064000;0.465637;1.213592e-01;7.189542e-01
13;B-11865-x40-02.tif;1916;95.818894;516.321503;45.285250;54.016442;0.987316;1.192804;0.838360;0.836091;30.000000;0.545116;154.181000;0.486121;1.287129e-01;7.647059e-01
14;B-11865-x40-02.tif;1844;96.594902;205.664859;39.306240;59.998236;1.140609;1.526430;0.655123;0.652220;54.000000;0.755522;162.575000;0.487420;2.139303e-01;7.467532e-01
15;B-11865-x40-02.tif;1740;104.845402;343.053448;44.941303;49.406669;0.969162;1.099360;0.909620;0.907587;27.000000;0.415441;145.572000;0.521582;2.039801e-01;7.225806e-01
16;B-11865-x40-02.tif;2398;115.365721;747.838616;49.780936;61.673357;1.019136;1.238895;0.807171;0.802720;56.000000;0.590318;175.245000;0.453314;2.018779e-01;7.878788e-01
17;B-11865-x40-02.tif;1888;126.901483;633.133475;48.610564;49.532753;0.971136;1.018971;0.981382;0.979777;33.000000;0.192065;151.791000;0.469017;1.237624e-01;7.419355e-01
18;B-11865-x40-02.tif;1985;133.119395;392.565239;48.133561;52.687523;0.983499;1.094611;0.913567;0.910448;36.000000;0.406689;156.629000;0.509785;2.284264e-01;7.588652e-01
19;B-11865-x40-02.tif;1828;137.599015;224.375274;42.386645;55.022382;0.999737;1.298107;0.770353;0.768790;36.000000;0.637618;151.543000;0.501427;1.732673e-01;7.924528e-01
20;B-11865-x40-02.tif;5032;168.291932;266.313593;52.146325;137.956391;1.791900;2.645563;0.377991;0.336641;948.000000;0.925809;336.614000;0.523243;2.060302e-01;9.600000e-01
21;B-11865-x40-02.tif;1850;152.816216;166.852973;43.011778;55.863625;1.129523;1.298798;0.769942;0.754786;75.000000;0.638113;162.046000;0.490630;2.580645e-01;7.329193e-01
22;B-11865-x40-02.tif;1845;161.244986;528.306775;45.208898;52.012283;0.968491;1.150488;0.869197;0.868350;23.000000;0.494467;149.848000;0.496987;1.464646e-01;8.095238e-01
23;B-11865-x40-02.tif;2112;165.657197;332.950284;45.239013;59.519578;1.012777;1.315669;0.760069;0.759074;37.000000;0.649842;163.949000;0.510550;2.079208e-01;9.411765e-01
24;B-11865-x40-02.tif;1856;168.995151;54.780711;42.697609;55.528346;0.999106;1.300502;0.768934;0.766405;29.000000;0.639329;152.651000;0.507109;2.380952e-01;7.012987e-01
25;B-11865-x40-02.tif;3746;188.096903;447.554992;55.482355;99.215207;1.926380;1.788230;0.559212;0.484531;633.000000;0.829025;301.134000;0.505777;1.788991e-01;9.307692e-01
