No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11183a-x40-08.tif;1028;545.848249;584.585603;23.167832;78.684618;2.360964;3.396287;0.294439;0.211409;453.000000;0.955670;174.641000;0.328954;1.030928e-02;5.714286e-01
2;F-11183a-x40-08.tif;823;665.704739;502.481166;31.242685;33.713381;1.019997;1.079081;0.926715;0.921946;26.000000;0.375766;102.708000;0.326944;1.218274e-01;5.740741e-01
3;F-11183a-x40-08.tif;4060;702.522660;565.741133;75.720724;105.259078;3.838810;1.390096;0.719375;0.466570;1689.000000;0.694622;442.554000;0.348998;1.384615e-01;6.122449e-01
4;F-11183a-x40-08.tif;817;697.271726;513.652387;32.097847;32.534360;0.956123;1.013599;0.986583;0.982760;18.000000;0.163260;99.077000;0.363218;1.295337e-01;6.027397e-01
5;F-11183a-x40-08.tif;2300;738.821739;618.856522;57.381556;66.513547;2.511845;1.159145;0.862705;0.661939;688.000000;0.505708;269.442000;0.369713;1.105263e-01;5.797101e-01
6;F-11183a-x40-08.tif;954;733.018868;532.211740;32.746075;37.259514;0.986707;1.137831;0.878865;0.874952;25.000000;0.477071;108.761000;0.335021;1.421569e-01;5.477707e-01
7;F-11183a-x40-08.tif;2354;790.087511;542.220051;48.302613;79.475030;2.560351;1.645357;0.607771;0.474521;643.000000;0.794112;275.206000;0.348159;7.329843e-02;5.314685e-01
8;F-11183a-x40-08.tif;676;817.088757;583.939349;26.298217;33.592728;1.171021;1.277377;0.782854;0.762722;47.000000;0.622205;99.738000;0.333416;1.891892e-01;6.351351e-01
9;F-11183a-x40-08.tif;653;850.003063;581.718224;27.857237;30.426648;1.075626;1.092235;0.915554;0.898080;42.000000;0.402195;93.949000;0.335403;1.564246e-01;6.107383e-01
10;F-11183a-x40-08.tif;1614;884.058860;346.661710;32.683078;69.230981;1.670215;2.118252;0.472087;0.428758;244.000000;0.881552;184.053000;0.319849;9.852217e-02;5.414013e-01
11;F-11183a-x40-08.tif;1663;888.569453;480.153337;35.494322;63.732412;1.470120;1.795566;0.556927;0.521293;210.000000;0.830561;175.278000;0.319004;1.632653e-01;6.012270e-01
12;F-11183a-x40-08.tif;1262;953.272583;65.623613;34.463258;47.796939;1.337899;1.386896;0.721035;0.703346;90.000000;0.692899;145.662000;0.338858;9.729730e-02;5.102041e-01
13;F-11183a-x40-08.tif;1476;1192.108401;651.202575;35.364933;59.425068;1.764861;1.680339;0.595118;0.532178;269.000000;0.803638;180.927000;0.410173;1.783784e-01;8.020833e-01
14;F-11183a-x40-08.tif;1032;1461.391473;655.483527;25.977730;53.371918;1.471740;2.054526;0.486730;0.461280;109.000000;0.873552;138.153000;0.333958;5.050505e-03;5.562914e-01
15;F-11183a-x40-08.tif;322;1512.164596;816.636646;13.805102;36.726277;1.985811;2.660341;0.375892;0.303957;86.000000;0.926664;89.640000;0.294027;2.205882e-01;4.114286e-01
16;F-11183a-x40-08.tif;1092;1541.989927;575.042125;28.681707;58.097020;1.677044;2.025577;0.493686;0.411932;203.000000;0.869640;151.701000;0.361004;4.205607e-02;5.625000e-01
