No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-05.tif;1551;292.724049;170.647969;39.214865;51.790297;1.174291;1.320680;0.757186;0.736250;89.000000;0.653200;151.286000;0.341492;3.902439e-02;5.629139e-01
2;M-11783-x40-05.tif;1235;388.996761;291.659919;39.093878;40.410992;0.999291;1.033691;0.967407;0.962893;30.000000;0.253226;124.533000;0.376891;1.428571e-02;5.900621e-01
3;M-11783-x40-05.tif;2257;433.559592;442.609659;50.928384;57.307953;1.180693;1.125265;0.888679;0.875008;116.000000;0.458530;182.995000;0.367977;8.292683e-02;6.011905e-01
4;M-11783-x40-05.tif;647;432.962906;312.216383;23.465227;35.896151;1.187854;1.529759;0.653698;0.639321;48.000000;0.756756;98.274000;0.250079;1.176471e-01;3.243243e-01
5;M-11783-x40-05.tif;3648;497.290570;357.914474;58.781983;97.822028;3.420905;1.664150;0.600907;0.485391;1552.000000;0.799319;396.007000;0.322697;1.161616e-01;6.209150e-01
6;M-11783-x40-05.tif;2648;494.183157;516.102341;54.416511;62.837408;1.058960;1.154749;0.865989;0.853870;75.000000;0.500063;187.717000;0.348916;7.035176e-02;6.000000e-01
7;M-11783-x40-05.tif;3831;555.034456;490.933438;50.940051;98.851759;1.280880;1.940551;0.515318;0.499176;253.000000;0.856999;248.322000;0.385928;8.163265e-02;7.625899e-01
8;M-11783-x40-05.tif;2270;562.358150;426.157269;43.650738;66.461700;1.043031;1.522579;0.656780;0.654324;44.000000;0.754082;172.491000;0.385636;8.095238e-02;6.118421e-01
9;M-11783-x40-05.tif;1037;552.844744;757.069431;31.637216;42.045691;1.034316;1.328995;0.752448;0.746872;31.000000;0.658651;116.097000;0.428313;5.181347e-02;7.286822e-01
10;M-11783-x40-05.tif;3580;630.199162;334.232123;53.121295;88.538775;1.367209;1.666728;0.599978;0.581468;357.000000;0.800017;248.007000;0.439543;1.370558e-01;7.847222e-01
11;M-11783-x40-05.tif;4134;625.750605;501.387518;53.983572;124.119843;1.970214;2.299215;0.434931;0.341663;1197.000000;0.900464;319.924000;0.372319;1.970443e-02;7.823129e-01
12;M-11783-x40-05.tif;1127;622.498669;398.054126;35.129235;41.275658;1.010219;1.174966;0.851088;0.842260;36.000000;0.525022;119.612000;0.407502;9.433962e-02;6.513158e-01
13;M-11783-x40-05.tif;1126;651.366785;607.440497;28.667659;50.700259;1.110613;1.768552;0.565434;0.557735;37.000000;0.824793;125.359000;0.433752;4.972376e-02;6.620690e-01
14;M-11783-x40-05.tif;4035;747.380669;295.059480;64.894759;80.448132;1.126303;1.239671;0.806666;0.793819;165.000000;0.591008;238.976000;0.466555;2.038835e-01;7.196970e-01
15;M-11783-x40-05.tif;2122;775.378417;233.202168;50.188807;55.488970;1.209913;1.105604;0.904483;0.877490;169.000000;0.426511;179.620000;0.450725;7.547170e-02;7.293233e-01
16;M-11783-x40-05.tif;2016;913.901290;428.434028;48.777397;52.896353;1.026906;1.084444;0.922132;0.917380;65.000000;0.386876;161.293000;0.421225;1.500000e-01;7.209302e-01
17;M-11783-x40-05.tif;1928;1056.660788;278.757780;39.759956;64.004827;1.281866;1.609781;0.621202;0.599227;139.000000;0.783650;176.230000;0.373952;1.342593e-01;6.038961e-01
18;M-11783-x40-05.tif;1448;1180.213398;295.442680;27.155158;69.575882;1.437501;2.562161;0.390296;0.380856;80.000000;0.920690;161.731000;0.428442;3.723404e-02;5.629139e-01
19;M-11783-x40-05.tif;4593;1315.979099;288.607446;45.471245;181.878228;3.325903;3.999852;0.250009;0.176785;1784.000000;0.968243;438.135000;0.458106;1.282051e-01;6.312057e-01
20;M-11783-x40-05.tif;1391;1306.370237;647.500359;37.241542;47.892219;1.029926;1.285989;0.777612;0.772160;31.000000;0.628745;134.175000;0.466691;2.251309e-01;6.712329e-01
21;M-11783-x40-05.tif;2360;1320.096610;462.379661;50.718653;60.504815;1.139999;1.192950;0.838258;0.820809;128.000000;0.545274;183.871000;0.400984;1.359223e-01;6.184211e-01
22;M-11783-x40-05.tif;2219;1343.120324;617.374493;46.009495;62.685727;1.110731;1.362452;0.733971;0.719002;68.000000;0.679181;175.990000;0.420996;1.394231e-01;6.000000e-01
23;M-11783-x40-05.tif;4661;1365.363656;381.061575;67.261431;94.309325;1.335001;1.402131;0.713200;0.667237;423.000000;0.700960;279.631000;0.444767;1.200000e-01;8.015267e-01
24;M-11783-x40-05.tif;2323;1426.123978;362.117090;48.303478;61.754760;1.042241;1.278474;0.782182;0.775565;36.000000;0.623050;174.427000;0.499506;1.900000e-01;6.482759e-01
25;M-11783-x40-05.tif;1517;1471.750165;160.800923;41.552474;46.779359;1.056375;1.125790;0.888265;0.882647;61.000000;0.459331;141.908000;0.515152;3.112245e-01;7.027027e-01
26;M-11783-x40-05.tif;1961;1527.562468;44.563998;41.042011;63.169759;1.656763;1.539149;0.649710;0.625704;236.000000;0.760182;202.057000;0.397396;2.154696e-01;6.258503e-01
