No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-06.tif;1213;118.279472;679.649629;24.714596;64.091998;1.447492;2.593285;0.385611;0.375979;55.000000;0.922661;148.540000;0.270500;6.074766e-02;3.948718e-01
2;M-11830a-x40-06.tif;2188;144.619744;613.332724;48.174842;60.139786;1.310193;1.248365;0.801048;0.770253;177.000000;0.598600;189.800000;0.254618;1.173709e-01;3.439153e-01
3;M-11830a-x40-06.tif;4931;170.040763;361.477185;75.480909;83.784493;1.208657;1.110009;0.900894;0.894371;214.000000;0.434040;273.668000;0.481920;1.138614e-01;7.062937e-01
4;M-11830a-x40-06.tif;5041;184.318786;223.186273;67.603216;95.408179;1.065906;1.411296;0.708568;0.705108;103.000000;0.705642;259.850000;0.483147;1.076923e-01;6.838710e-01
5;M-11830a-x40-06.tif;3716;243.445371;635.074273;44.538263;135.282990;2.506052;3.037455;0.329223;0.258523;971.000000;0.944252;342.088000;0.281799;9.405941e-02;8.561151e-01
6;M-11830a-x40-06.tif;1116;345.821685;661.258961;25.439722;56.911540;1.290845;2.237113;0.447005;0.438706;54.000000;0.894532;134.547000;0.279750;1.470588e-01;3.756345e-01
7;M-11830a-x40-06.tif;4181;433.221478;641.392251;61.760344;126.309691;2.791964;2.045158;0.488960;0.333670;2010.000000;0.872306;383.001000;0.273378;8.823529e-02;6.612903e-01
8;M-11830a-x40-06.tif;1448;473.756215;539.398481;33.390623;57.149784;1.267334;1.711552;0.584265;0.564481;95.000000;0.811563;151.857000;0.248910;8.571429e-02;3.850000e-01
9;M-11830a-x40-06.tif;4183;496.401865;173.732967;68.948387;78.281539;1.121852;1.135364;0.880775;0.869119;176.000000;0.473536;242.838000;0.504683;8.133971e-02;8.455882e-01
10;M-11830a-x40-06.tif;5129;596.249561;539.790992;76.848863;96.542532;2.536681;1.256265;0.796010;0.700657;1314.000000;0.605283;404.347000;0.263631;6.046512e-02;4.210526e-01
