No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-03.tif;2690;62.540149;580.950558;44.150848;89.160490;2.440078;2.019451;0.495184;0.430841;548.000000;0.868788;287.199000;0.302895;2.597403e-02;6.021505e-01
2;M-11901b-x40-03.tif;971;84.752832;422.710608;27.496526;45.771270;1.106505;1.664620;0.600738;0.590124;36.000000;0.799446;116.196000;0.472495;1.351351e-02;9.907407e-01
3;M-11901b-x40-03.tif;5109;150.214719;340.915835;55.672784;123.858307;2.044044;2.224755;0.449488;0.424029;741.000000;0.893287;362.258000;0.428937;9.389671e-03;1
4;M-11901b-x40-03.tif;5208;153.172811;463.217550;51.509150;163.097558;2.711022;3.166380;0.315818;0.249279;1477.000000;0.948820;421.218000;0.394998;3.947368e-02;7.237569e-01
5;M-11901b-x40-03.tif;3479;171.466226;572.231388;51.182565;94.979658;1.606812;1.855703;0.538879;0.491025;485.000000;0.842383;265.042000;0.312979;1.055046e-01;4.369369e-01
6;M-11901b-x40-03.tif;1315;164.510266;255.641825;34.778566;50.656802;1.377487;1.456552;0.686553;0.652470;132.000000;0.727080;150.873000;0.426978;1.160714e-01;6.943005e-01
7;M-11901b-x40-03.tif;306;166.026144;198.372549;18.164771;22.973535;1.391203;1.264730;0.790682;0.738203;47.000000;0.612226;73.141000;0.334598;2.676056e-01;4.313725e-01
8;M-11901b-x40-03.tif;4730;256.359197;290.240803;51.487029;151.967631;2.833855;2.951571;0.338803;0.260777;1874.000000;0.940857;410.416000;0.453525;2.222222e-02;1
9;M-11901b-x40-03.tif;1550;288.897419;629.795484;35.364878;56.362155;1.085379;1.593732;0.627458;0.621250;38.000000;0.778651;145.399000;0.370362;2.631579e-02;5.291005e-01
10;M-11901b-x40-03.tif;5212;333.356869;203.092287;56.085067;140.756792;2.793832;2.509702;0.398454;0.334947;1614.000000;0.917188;427.767000;0.506346;1.408451e-02;1
11;M-11901b-x40-03.tif;5600;446.207321;253.981071;68.611631;118.381551;1.989089;1.725386;0.579580;0.508780;1250.000000;0.814915;374.133000;0.542484;1.456311e-02;1
12;M-11901b-x40-03.tif;2711;446.015124;687.710070;50.644046;70.449209;1.245272;1.391066;0.718873;0.695484;187.000000;0.695141;205.969000;0.353616;1.706161e-01;4.871795e-01
13;M-11901b-x40-03.tif;1104;476.130435;104.260870;37.622779;38.422218;1.186278;1.021249;0.979193;0.952170;79.000000;0.202930;128.287000;0.351352;1.441860e-01;4.772727e-01
14;M-11901b-x40-03.tif;1251;517.701039;301.668265;33.444631;57.325627;1.652162;1.714046;0.583415;0.484696;211.000000;0.812174;161.161000;0.533441;3.960396e-02;9.767442e-01
15;M-11901b-x40-03.tif;1084;564.386531;588.722325;31.771770;44.108087;1.042895;1.388279;0.720316;0.709419;42.000000;0.693646;119.190000;0.605801;2.020202e-02;1
16;M-11901b-x40-03.tif;1621;616.758174;751.523134;41.606830;54.653308;1.281736;1.313566;0.761287;0.690972;230.000000;0.648416;161.583000;0.372889;4.524887e-02;6.701571e-01
17;M-11901b-x40-03.tif;739;674.228687;293.106901;26.752970;37.817221;1.181374;1.413571;0.707428;0.657923;52.000000;0.706785;104.742000;0.526646;3.982301e-02;9.664430e-01
18;M-11901b-x40-03.tif;1648;876.694782;125.381068;41.347548;51.048615;1.031648;1.234623;0.809964;0.805192;48.000000;0.586479;146.167000;0.336610;6.944444e-02;4.285714e-01
19;M-11901b-x40-03.tif;1150;1089.735652;201.482609;27.084389;58.242018;1.544892;2.150391;0.465032;0.431653;82.000000;0.885294;149.418000;0.474189;6.666667e-02;9.635036e-01
20;M-11901b-x40-03.tif;1459;1189.393420;636.753941;38.281143;48.702834;1.031074;1.272241;0.786015;0.783172;37.000000;0.618208;137.492000;0.378378;1.324201e-01;4.405286e-01
21;M-11901b-x40-03.tif;838;1235.949881;462.217184;24.090736;54.128900;1.629853;2.246876;0.445062;0.364163;220.000000;0.895500;131.009000;0.502252;2.631579e-02;1
22;M-11901b-x40-03.tif;1547;1247.711700;587.330317;43.458724;45.846046;1.059809;1.054933;0.947927;0.937123;62.000000;0.318486;143.537000;0.359289;2.045455e-01;4.025424e-01
23;M-11901b-x40-03.tif;1375;1294.397091;467.245818;28.567423;62.992606;1.370040;2.205050;0.453504;0.441198;79.000000;0.891254;153.859000;0.458953;9.009009e-03;9.874214e-01
24;M-11901b-x40-03.tif;1646;1300.565614;524.433171;39.633046;53.600301;1.040874;1.352414;0.739418;0.729467;27.000000;0.673246;146.730000;0.400487;9.606987e-02;5.312500e-01
25;M-11901b-x40-03.tif;4083;1431.818761;410.157482;53.881667;118.423493;2.435067;2.197844;0.454991;0.370692;1885.000000;0.890496;353.468000;0.604290;2.212389e-02;1
26;M-11901b-x40-03.tif;1388;1450.036744;469.418588;26.682525;70.986947;1.491085;2.660428;0.375879;0.350706;131.000000;0.926669;161.269000;0.580008;4.629630e-03;1
27;M-11901b-x40-03.tif;1816;1543.695485;177.866740;36.024062;71.786659;1.703986;1.992742;0.501821;0.448682;359.000000;0.864971;197.195000;0.507789;1.298701e-02;1
