No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11930-x40-05.tif;6297;639.104177;288.766079;60.141117;185.627714;3.913468;3.086536;0.323988;0.232680;2852.000000;0.946061;556.484000;0.538658;4.000000e-01;6.941176e-01
2;B-11930-x40-05.tif;3168;671.104798;215.005682;52.049805;88.068013;2.055336;1.691995;0.591018;0.520067;628.000000;0.806658;286.048000;0.547679;4.352941e-01;6.666667e-01
3;B-11930-x40-05.tif;1224;709.624183;398.687092;35.102323;44.566032;1.038484;1.269603;0.787647;0.784664;34.000000;0.616126;126.385000;0.566750;4.901961e-01;6.823529e-01
4;B-11930-x40-05.tif;3762;812.363105;415.614301;44.563691;128.737546;2.410484;2.888844;0.346159;0.289014;1102.000000;0.938176;337.572000;0.587259;4.745098e-01;7.568627e-01
5;B-11930-x40-05.tif;3380;879.471893;174.873373;40.411559;131.206731;2.708084;3.246762;0.307999;0.249985;1064.000000;0.951387;339.152000;0.584337;4.980392e-01;7.137255e-01
6;B-11930-x40-05.tif;2482;850.529009;371.184932;45.882112;73.223378;1.387270;1.595903;0.626605;0.589403;281.000000;0.779337;208.011000;0.556243;4.431373e-01;7.764706e-01
7;B-11930-x40-05.tif;3784;885.461152;333.562632;44.632185;120.897569;2.102656;2.708753;0.369174;0.329630;767.000000;0.929360;316.202000;0.582347;4.862745e-01;7.725490e-01
8;B-11930-x40-05.tif;957;871.663532;466.391850;30.872219;40.073972;1.162026;1.298059;0.770381;0.758748;59.000000;0.637584;118.214000;0.613056;5.450980e-01;7.607843e-01
9;B-11930-x40-05.tif;1134;882.981481;232.768078;33.676822;43.234689;1.117677;1.283811;0.778931;0.772429;59.000000;0.627110;126.203000;0.588505;5.058824e-01;7.098039e-01
10;B-11930-x40-05.tif;1076;895.393123;404.863383;32.343175;42.506245;0.990312;1.314226;0.760904;0.758258;22.000000;0.648864;115.717000;0.579295;4.901961e-01;7.960784e-01
11;B-11930-x40-05.tif;3418;953.832358;248.651551;41.351452;126.102007;2.251717;3.049518;0.327921;0.273677;1048.000000;0.944705;310.991000;0.553327;4.392157e-01;7.764706e-01
12;B-11930-x40-05.tif;1149;937.399478;314.641427;35.060232;43.224603;1.275746;1.232867;0.811117;0.783011;102.000000;0.584883;135.721000;0.603369;5.450980e-01;7.333333e-01
13;B-11930-x40-05.tif;1234;946.339546;381.016207;34.011750;46.414375;1.043593;1.364657;0.732785;0.729324;48.000000;0.680460;127.212000;0.595192;5.019608e-01;7.333333e-01
14;B-11930-x40-05.tif;870;1315.454023;502.648276;29.659724;41.104160;1.778313;1.385858;0.721575;0.655628;185.000000;0.692337;139.434000;0.751936;6.745098e-01;8.156863e-01
