No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1302;417.869432;331.421659;33.248554;51.059315;1.212944;1.535685;0.651175;0.635874;67.000000;0.758928;140.874000;0.592648;2.039216e-01;8.862745e-01
2;F-11904a-x40-06.tif;1425;525.623158;291.268070;33.130419;56.060372;1.203792;1.692112;0.590978;0.577315;58.000000;0.806688;146.821000;0.615009;3.098039e-01;8.745098e-01
3;F-11904a-x40-06.tif;1218;766.282430;746.874384;33.182642;47.032856;1.049752;1.417393;0.705520;0.701059;39.000000;0.708690;126.757000;0.599363;2.627451e-01;9.058824e-01
4;F-11904a-x40-06.tif;1646;804.415553;261.788578;40.610954;51.688944;0.998718;1.272783;0.785680;0.784413;33.000000;0.618633;143.728000;0.601163;3.921569e-01;8.431373e-01
5;F-11904a-x40-06.tif;942;800.188960;434.428875;28.403866;42.826852;1.113134;1.507782;0.663226;0.653926;44.000000;0.748420;114.790000;0.551909;3.568627e-01;8.313725e-01
6;F-11904a-x40-06.tif;1415;824.770318;629.717314;33.719216;56.901075;1.440209;1.687497;0.592594;0.556449;115.000000;0.805502;160.028000;0.631816;4.392157e-01;9.254902e-01
7;F-11904a-x40-06.tif;1839;856.264274;297.290919;40.841990;58.107462;1.122047;1.422738;0.702870;0.693471;71.000000;0.711318;161.028000;0.610952;4.470588e-01;7.764706e-01
8;F-11904a-x40-06.tif;1285;846.431907;467.458366;34.858816;47.366742;1.092465;1.358817;0.735934;0.729233;59.000000;0.677053;132.819000;0.605814;3.725490e-01;9.019608e-01
9;F-11904a-x40-06.tif;1250;897.829600;384.492000;36.132711;44.438194;1.070944;1.229860;0.813100;0.805949;50.000000;0.582124;129.701000;0.576442;4.705882e-01;8.666667e-01
10;F-11904a-x40-06.tif;1881;899.878256;335.003190;45.665735;52.768342;1.001270;1.155535;0.865400;0.860106;43.000000;0.501081;153.842000;0.558028;3.725490e-01;8.509804e-01
11;F-11904a-x40-06.tif;2115;1061.448227;651.924350;35.965975;83.554969;2.166927;2.323167;0.430447;0.385723;521.000000;0.902616;239.984000;0.669257;4.156863e-01;8.784314e-01
12;F-11904a-x40-06.tif;784;1182.011480;374.933673;23.917195;42.163079;1.126424;1.762877;0.567254;0.561515;31.000000;0.823543;105.345000;0.542032;2.862745e-01;8.470588e-01
13;F-11904a-x40-06.tif;944;1249.379237;690.220339;26.961023;44.746902;1.065477;1.659689;0.602523;0.600283;24.000000;0.798102;112.425000;0.567078;2.941176e-01;8.745098e-01
14;F-11904a-x40-06.tif;1049;1397.303146;572.282173;29.506280;45.500684;1.083069;1.542068;0.648480;0.645134;32.000000;0.761232;119.487000;0.608561;4.156863e-01;8.941176e-01
15;F-11904a-x40-06.tif;2034;1418.338741;620.093904;40.958266;69.235884;1.660541;1.690401;0.591576;0.540255;289.000000;0.806249;206.018000;0.625847;3.568627e-01;9.176471e-01
16;F-11904a-x40-06.tif;869;1513.959724;666.952819;28.922733;38.550432;1.039041;1.332877;0.750257;0.744511;33.000000;0.661146;106.520000;0.629504;3.686275e-01;8.901961e-01
17;F-11904a-x40-06.tif;1689;1543.275311;743.510953;44.903524;51.466136;1.684158;1.146149;0.872487;0.811889;250.000000;0.488638;189.065000;0.627906;4.117647e-01;8.784314e-01
