No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-10.tif;3214;376.613255;142.760734;43.891044;97.399327;1.646466;2.219116;0.450630;0.431364;306.000000;0.892711;257.872000;0.621775;5.137255e-01;8.235294e-01
2;M-11811a-x40-10.tif;3253;454.723947;349.457117;55.485730;75.970134;1.093272;1.369183;0.730362;0.717643;92.000000;0.683060;211.403000;0.600954;4.862745e-01;7.411765e-01
3;M-11811a-x40-10.tif;3941;506.468663;62.410809;58.881562;86.183490;1.232535;1.463675;0.683212;0.675567;219.000000;0.730220;247.063000;0.614697;5.215686e-01;7.529412e-01
4;M-11811a-x40-10.tif;1206;485.987562;797.234660;35.202192;51.387403;1.798719;1.459779;0.685035;0.581492;266.000000;0.728510;165.105000;0.648132;5.450980e-01;8.196078e-01
5;M-11811a-x40-10.tif;4854;549.688710;193.496704;75.509159;82.682830;1.129198;1.095004;0.913239;0.904022;199.000000;0.407425;262.446000;0.629406;4.941176e-01;7.843137e-01
6;M-11811a-x40-10.tif;5488;587.280977;60.969206;76.756815;91.594674;1.143709;1.193310;0.838005;0.832883;223.000000;0.545662;280.847000;0.627495;5.372549e-01;7.411765e-01
7;M-11811a-x40-10.tif;1029;609.042760;794.760933;28.052813;47.143215;1.132576;1.680517;0.595055;0.589504;53.000000;0.803685;121.017000;0.613468;5.098039e-01;8.392157e-01
8;M-11811a-x40-10.tif;3693;676.792039;71.441376;64.660494;73.790418;1.327385;1.141198;0.876272;0.863554;259.000000;0.481816;248.195000;0.630164;5.372549e-01;8.274510e-01
9;M-11811a-x40-10.tif;4284;720.295752;149.309757;65.174250;83.901484;1.082307;1.287341;0.776795;0.774855;122.000000;0.629754;241.382000;0.634942;5.176471e-01;7.921569e-01
10;M-11811a-x40-10.tif;3366;857.515152;740.235294;59.225444;72.905928;1.087805;1.230990;0.812354;0.806304;98.000000;0.583164;214.505000;0.637389;4.901961e-01;8.784314e-01
11;M-11811a-x40-10.tif;5537;971.106195;715.027993;70.148442;101.198444;1.183531;1.442633;0.693177;0.688394;233.000000;0.720767;286.967000;0.635981;5.215686e-01;7.803922e-01
12;M-11811a-x40-10.tif;2763;960.552660;572.805284;55.913116;74.578122;2.170234;1.333822;0.749725;0.632511;845.000000;0.661749;274.504000;0.637002;3.960784e-01;8.078431e-01
13;M-11811a-x40-10.tif;1063;1228.780809;547.465663;29.814757;45.926357;1.049376;1.540390;0.649186;0.641681;32.000000;0.760630;118.396000;0.577179;4.000000e-01;8.392157e-01
14;M-11811a-x40-10.tif;5151;1467.835372;546.610949;76.544012;93.876104;2.033224;1.226433;0.815373;0.744203;857.000000;0.578936;362.780000;0.605682;4.980392e-01;8.117647e-01
