No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-08.tif;2767;176.353090;202.480665;32.829322;111.840923;1.987510;3.406739;0.293536;0.281655;363.000000;0.955948;262.884000;0.598967;4.549020e-01;9.490196e-01
2;M-11940-x40-08.tif;1484;206.661725;58.217655;33.070467;68.651206;2.042030;2.075907;0.481717;0.400911;347.000000;0.876327;195.143000;0.613847;3.803922e-01;9.254902e-01
3;M-11940-x40-08.tif;3153;339.247383;258.530923;53.011216;76.122088;1.080459;1.435962;0.696397;0.692808;86.000000;0.717656;206.905000;0.621719;4.627451e-01;9.215686e-01
4;M-11940-x40-08.tif;2454;338.846781;56.059495;45.872503;71.152110;1.326416;1.551084;0.644710;0.617176;153.000000;0.764427;202.247000;0.608339;4.627451e-01;8.627451e-01
5;M-11940-x40-08.tif;4534;394.212175;87.122850;61.319437;110.703717;2.215689;1.805361;0.553906;0.471050;986.000000;0.832579;355.304000;0.602715;3.254902e-01;9.450980e-01
6;M-11940-x40-08.tif;1786;399.016237;215.321948;45.340243;50.535530;1.034663;1.114584;0.897195;0.890426;62.000000;0.441634;152.386000;0.592069;3.843137e-01;9.607843e-01
7;M-11940-x40-08.tif;4409;445.521433;274.334089;69.269745;81.609819;1.046662;1.178145;0.848792;0.842879;112.000000;0.528727;240.812000;0.653534;4.666667e-01;9.960784e-01
8;M-11940-x40-08.tif;1238;463.158320;704.977383;29.969664;58.416800;1.359682;1.949198;0.513032;0.461908;184.000000;0.858370;145.440000;0.619073;3.254902e-01;9.176471e-01
9;M-11940-x40-08.tif;849;547.232038;689.599529;29.823886;37.981940;1.201302;1.273541;0.785212;0.749313;80.000000;0.619227;113.210000;0.647770;3.490196e-01;9.529412e-01
10;M-11940-x40-08.tif;6011;603.174846;98.591416;77.045527;110.255487;2.858058;1.431043;0.698791;0.629588;1219.000000;0.715326;464.637000;0.650744;4.156863e-01;9.882353e-01
11;M-11940-x40-08.tif;3447;718.485640;133.174645;57.850030;76.264931;1.114378;1.318321;0.758540;0.754574;141.000000;0.651626;219.706000;0.635341;4.549020e-01;9.529412e-01
12;M-11940-x40-08.tif;3899;758.160298;73.691716;62.953186;79.547819;1.125199;1.263603;0.791388;0.784525;156.000000;0.611314;234.799000;0.648948;4.156863e-01;9.098039e-01
13;M-11940-x40-08.tif;2227;758.187247;718.022901;44.394560;65.021069;1.178606;1.464618;0.682772;0.670690;142.000000;0.730632;181.614000;0.684042;5.254902e-01;9.372549e-01
14;M-11940-x40-08.tif;1336;858.899701;222.541916;25.418068;78.749002;1.873552;3.098151;0.322773;0.274300;326.000000;0.946476;177.354000;0.608785;2.823529e-01;9.686275e-01
15;M-11940-x40-08.tif;4013;867.376277;714.919262;49.281488;108.986605;1.524553;2.211512;0.452179;0.430163;407.000000;0.891927;277.275000;0.657437;4.941176e-01;9.333333e-01
16;M-11940-x40-08.tif;3370;852.699703;427.022849;64.240973;67.497538;1.090275;1.050693;0.951753;0.941812;127.000000;0.306866;214.876000;0.598066;4.901961e-01;7.725490e-01
17;M-11940-x40-08.tif;6434;1007.324681;447.963942;69.151075;120.788547;1.236172;1.746734;0.572497;0.561487;326.000000;0.819907;316.144000;0.594606;4.627451e-01;8.705882e-01
18;M-11940-x40-08.tif;1396;1119.042980;346.539398;30.104270;60.250777;1.207318;2.001403;0.499649;0.489632;57.000000;0.866228;145.532000;0.622819;4.588235e-01;8.980392e-01
19;M-11940-x40-08.tif;3104;1151.130477;464.741302;62.051564;64.526740;1.147715;1.039889;0.961641;0.949188;173.000000;0.274311;211.584000;0.630270;5.529412e-01;8.627451e-01
20;M-11940-x40-08.tif;1952;1445.705430;766.248975;47.575740;64.652725;2.204193;1.358943;0.735866;0.594588;582.000000;0.677127;232.525000;0.630627;3.411765e-01;9.137255e-01
