No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;1001;73.530470;249.262737;29.922108;42.707155;0.991248;1.427278;0.700635;0.698784;17.000000;0.713520;111.664000;0.316090;9.866790e-02;1.328659e+00
2;B-11865-x40-03.tif;1810;123.958564;305.789503;40.181443;58.081944;1.309370;1.445492;0.691806;0.683135;100.000000;0.722083;172.574000;0.399171;2.281905e-01;8.730641e-01
3;B-11865-x40-03.tif;1625;156.074462;278.800000;38.115633;54.641156;1.046379;1.433563;0.697563;0.692985;44.000000;0.716524;146.176000;0.386566;1.920759e-01;7.879034e-01
4;B-11865-x40-03.tif;1590;176.867296;382.575472;36.358980;55.834359;1.028893;1.535642;0.651194;0.649388;25.000000;0.758912;143.380000;0.372950;2.435948e-01;7.706945e-01
5;B-11865-x40-03.tif;2642;180.431491;334.896291;53.445927;65.730940;1.258598;1.229859;0.813102;0.778580;232.000000;0.582122;204.416000;0.354395;1.697670e-01;8.929024e-01
6;B-11865-x40-03.tif;1655;181.895468;239.033837;39.995930;52.955711;1.050211;1.324027;0.755271;0.751420;48.000000;0.655412;147.789000;0.403165;2.253506e-01;8.413425e-01
7;B-11865-x40-03.tif;1629;180.820135;434.488643;38.245377;54.778289;1.117694;1.432285;0.698185;0.691217;42.000000;0.715917;151.261000;0.358566;1.493149e-01;8.763610e-01
8;B-11865-x40-03.tif;1525;221.893770;309.219016;35.841771;54.599083;1.044121;1.523337;0.656454;0.651342;31.000000;0.754366;141.454000;0.365135;2.133966e-01;7.773525e-01
9;B-11865-x40-03.tif;1754;230.259977;272.924743;41.138449;54.442887;1.006064;1.323406;0.755626;0.753455;32.000000;0.655004;148.913000;0.397066;2.217678e-01;8.431777e-01
10;B-11865-x40-03.tif;2876;251.809110;200.318150;49.112831;81.239761;1.405491;1.654145;0.604542;0.554832;313.000000;0.796573;225.379000;0.412542;1.490735e-01;1.126812e+00
11;B-11865-x40-03.tif;1767;279.959819;255.807018;38.622276;58.647762;1.066090;1.518496;0.658546;0.654099;41.000000;0.752540;153.858000;0.415622;2.720908e-01;9.131392e-01
12;B-11865-x40-03.tif;1852;281.775378;307.898488;44.350161;53.352344;1.006597;1.202980;0.831269;0.828408;44.000000;0.555870;153.057000;0.398448;2.436092e-01;9.497729e-01
13;B-11865-x40-03.tif;1489;307.450638;342.729349;28.195684;69.341281;1.441154;2.459287;0.406622;0.394295;112.000000;0.913597;164.213000;0.400239;1.801168e-01;9.415977e-01
14;B-11865-x40-03.tif;1404;307.178775;485.146724;35.589079;50.499419;1.029735;1.418958;0.704742;0.700978;41.000000;0.709463;134.788000;0.313784;1.500216e-01;7.572828e-01
