No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1474;419.100407;330.139077;36.567329;52.264285;1.079346;1.429262;0.699662;0.687065;53.000000;0.714474;141.395000;0.339203;1.497179e-02;1.216432e+00
2;F-11904a-x40-06.tif;1562;525.482714;289.463508;34.941760;57.778936;1.115481;1.653578;0.604749;0.595734;49.000000;0.796416;147.971000;0.356149;3.075234e-02;1.383033e+00
3;F-11904a-x40-06.tif;5204;540.861645;389.284012;74.217529;99.117340;1.785973;1.335498;0.748785;0.674447;673.000000;0.662814;341.752000;0.306339;2.326681e-02;8.767204e-01
4;F-11904a-x40-06.tif;2226;578.370620;439.252920;50.091674;56.892121;1.012878;1.135760;0.880468;0.875651;52.000000;0.474106;168.324000;0.358052;2.084517e-01;8.845816e-01
5;F-11904a-x40-06.tif;1744;584.978211;345.172018;38.683876;58.658397;1.200024;1.516353;0.659477;0.645351;78.000000;0.751725;162.171000;0.356823;1.240068e-01;9.716565e-01
6;F-11904a-x40-06.tif;2056;612.258268;400.508268;41.619182;63.251355;1.060921;1.519765;0.657997;0.654325;39.000000;0.753021;165.561000;0.358700;1.618490e-01;7.504996e-01
7;F-11904a-x40-06.tif;1214;618.264415;461.592257;39.363961;39.505291;1.004191;1.003590;0.996422;0.990417;36.000000;0.084512;123.772000;0.320082;9.626716e-02;1.579743e+00
8;F-11904a-x40-06.tif;2038;628.271835;349.407753;42.253556;61.983480;1.078323;1.466941;0.681691;0.675402;66.000000;0.731641;166.181000;0.377386;1.550263e-01;1.220256e+00
9;F-11904a-x40-06.tif;1619;663.504015;320.880791;44.786794;46.499387;1.044918;1.038239;0.963170;0.953372;70.000000;0.268895;145.804000;0.287933;1.277641e-01;8.018461e-01
10;F-11904a-x40-06.tif;1931;688.177628;417.278094;42.205755;58.592206;1.053407;1.388252;0.720331;0.716164;44.000000;0.693631;159.880000;0.354058;1.821697e-01;8.563107e-01
11;F-11904a-x40-06.tif;1618;694.711990;497.413473;35.368889;61.655022;1.284112;1.743199;0.573658;0.541941;160.000000;0.819095;161.583000;0.274136;6.220348e-02;8.419114e-01
12;F-11904a-x40-06.tif;1356;700.503687;461.896755;36.838117;47.062728;1.017429;1.277555;0.782745;0.779499;34.000000;0.622343;131.670000;0.299907;1.161893e-01;1.295990e+00
13;F-11904a-x40-06.tif;2031;748.708026;426.801083;46.887378;55.378934;1.012659;1.181105;0.846665;0.843201;59.000000;0.532127;160.765000;0.359078;1.237338e-01;1.080325e+00
14;F-11904a-x40-06.tif;1423;743.703443;493.594519;38.853978;47.399405;1.083525;1.219937;0.819714;0.806435;64.000000;0.572772;139.196000;0.327641;5.060540e-02;1.453553e+00
15;F-11904a-x40-06.tif;1245;765.983133;747.931727;33.788089;47.094248;1.008179;1.393812;0.717457;0.714733;31.000000;0.696603;125.591000;0.333789;2.811868e-02;1.356500e+00
16;F-11904a-x40-06.tif;2233;789.334975;476.043887;47.101860;60.949937;1.126600;1.294003;0.772796;0.765336;119.000000;0.634655;177.801000;0.358585;1.676748e-01;1.075727e+00
17;F-11904a-x40-06.tif;1610;804.149689;261.278261;40.194222;51.098668;0.998612;1.271294;0.786600;0.785085;31.000000;0.617463;142.140000;0.322624;5.712623e-02;1.075489e+00
18;F-11904a-x40-06.tif;1038;799.837187;433.026012;29.506640;45.300095;1.090611;1.535251;0.651359;0.644035;38.000000;0.758769;119.272000;0.301339;5.657760e-02;1.226077e+00
19;F-11904a-x40-06.tif;1113;819.995508;626.785265;34.917947;41.011325;0.993433;1.174506;0.851422;0.842554;29.000000;0.524481;117.875000;0.321495;1.004963e-01;1.340205e+00
20;F-11904a-x40-06.tif;1962;857.497452;296.699286;41.130916;61.108146;1.102650;1.485699;0.673084;0.668977;53.000000;0.739566;164.882000;0.358309;1.407762e-01;8.763949e-01
21;F-11904a-x40-06.tif;1441;846.854962;465.657876;36.182862;50.949339;1.064018;1.408107;0.710173;0.706801;46.000000;0.704027;138.807000;0.357140;1.058101e-01;1.376038e+00
22;F-11904a-x40-06.tif;1439;898.193885;383.656706;39.320395;46.872959;0.994118;1.192078;0.838872;0.833923;24.000000;0.544329;134.077000;0.326343;1.109488e-01;1.245538e+00
23;F-11904a-x40-06.tif;1984;899.587702;334.365423;46.851814;54.215967;0.987428;1.157180;0.864170;0.859404;33.000000;0.503200;156.902000;0.286162;8.100587e-02;1.289415e+00
24;F-11904a-x40-06.tif;755;1140.686093;607.345695;29.774227;32.644917;0.969370;1.096415;0.912063;0.902040;6.000000;0.410050;95.901000;0.269320;5.377878e-02;1.421840e+00
25;F-11904a-x40-06.tif;609;1167.152709;605.527094;25.514363;31.052505;1.021861;1.217060;0.821652;0.804145;10.000000;0.569989;88.432000;0.233338;2.344358e-02;1.400708e+00
26;F-11904a-x40-06.tif;1610;1180.192547;452.797516;39.631240;54.473924;1.779172;1.374520;0.727527;0.690810;200.000000;0.686079;189.726000;0.421663;1.618901e-01;8.647253e-01
27;F-11904a-x40-06.tif;874;1181.336384;374.030892;25.745926;43.692415;1.076192;1.697061;0.589254;0.582921;18.000000;0.807948;108.719000;0.293651;3.426833e-02;1.306806e+00
28;F-11904a-x40-06.tif;927;1193.352751;598.340885;29.182991;41.164104;1.089654;1.410551;0.708943;0.696550;39.000000;0.705266;112.665000;0.315966;6.121958e-02;1.404513e+00
29;F-11904a-x40-06.tif;1007;1248.711023;688.952334;27.280693;47.135897;1.069079;1.727812;0.578767;0.577080;26.000000;0.815493;116.312000;0.307787;3.898730e-02;1.307054e+00
30;F-11904a-x40-06.tif;1247;1396.252606;570.437851;33.881464;46.985478;1.005633;1.386761;0.721105;0.719199;27.000000;0.692826;125.533000;0.345406;1.070602e-01;1.324628e+00
31;F-11904a-x40-06.tif;2129;1417.206200;619.787224;42.409975;68.654979;1.553764;1.618840;0.617726;0.575098;206.000000;0.786393;203.885000;0.400044;7.072289e-02;1.388639e+00
32;F-11904a-x40-06.tif;1247;1469.607859;473.282277;25.432147;70.412163;2.007994;2.768628;0.361190;0.320244;248.000000;0.932492;177.386000;0.391470;1.702126e-01;1.276203e+00
33;F-11904a-x40-06.tif;742;1514.032345;667.225067;25.901912;36.772455;1.016698;1.419681;0.704384;0.698665;24.000000;0.709820;97.365000;0.428300;1.176708e-01;9.024191e-01
34;F-11904a-x40-06.tif;1142;1544.242557;744.770578;35.134639;42.573876;1.096224;1.211735;0.825263;0.802213;71.000000;0.564749;125.426000;0.327440;8.152827e-02;1.305132e+00
