No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-04.tif;3517;49.121979;213.735001;48.576461;94.776113;1.534970;1.951071;0.512539;0.498522;396.000000;0.858664;260.460000;0.391817;2.181847e-01;7.974337e-01
2;M-11830a-x40-04.tif;1181;34.925487;540.754445;35.048131;43.157023;0.988848;1.231364;0.812107;0.807341;22.000000;0.583508;121.142000;0.376719;2.064821e-01;8.190812e-01
3;M-11830a-x40-04.tif;968;44.506198;350.128099;34.480472;35.907775;0.974369;1.041395;0.960251;0.955891;24.000000;0.279138;108.869000;0.376380;1.715897e-01;1.044164e+00
4;M-11830a-x40-04.tif;1701;83.212228;648.712522;39.921382;54.665058;1.097114;1.369318;0.730291;0.724761;60.000000;0.683137;153.138000;0.409504;2.438778e-01;1.099565e+00
5;M-11830a-x40-04.tif;1167;177.125964;48.549272;32.112278;47.181956;1.105955;1.469281;0.680605;0.667466;41.000000;0.732650;127.353000;0.400923;2.192879e-01;9.404970e-01
6;M-11830a-x40-04.tif;884;210.148190;552.792986;31.905387;35.869571;1.072628;1.124248;0.889483;0.874802;45.000000;0.456968;109.158000;0.365161;1.141525e-01;1.043382e+00
7;M-11830a-x40-04.tif;1035;239.101449;351.284058;34.500245;38.622053;1.057380;1.119472;0.893278;0.883446;46.000000;0.449504;117.271000;0.342564;1.368218e-01;9.166153e-01
8;M-11830a-x40-04.tif;956;288.129707;58.757322;26.410226;46.691603;1.195203;1.767937;0.565631;0.558329;43.000000;0.824658;119.827000;0.378617;2.115417e-01;8.494747e-01
9;M-11830a-x40-04.tif;763;308.406291;677.279161;30.659792;32.515318;1.049076;1.060520;0.942934;0.918880;33.000000;0.332980;100.293000;0.352945;1.553989e-01;1.089227e+00
10;M-11830a-x40-04.tif;2753;330.612786;638.177261;54.316823;66.537972;1.477670;1.224998;0.816328;0.791730;320.000000;0.577588;226.098000;0.399592;2.303316e-01;1.030530e+00
11;M-11830a-x40-04.tif;666;330.379880;214.421922;26.161844;32.468947;0.949170;1.241080;0.805750;0.804355;11.000000;0.592256;89.128000;0.292378;1.067227e-01;9.763724e-01
12;M-11830a-x40-04.tif;717;336.648536;711.083682;29.229584;32.698621;1.154615;1.118682;0.893909;0.853828;44.000000;0.448249;101.996000;0.399852;2.399942e-01;8.271826e-01
13;M-11830a-x40-04.tif;748;462.664439;468.536096;25.381114;37.980313;1.095486;1.496401;0.668270;0.660229;32.000000;0.743919;101.475000;0.377109;1.271380e-01;1.212351e+00
14;M-11830a-x40-04.tif;2891;499.012798;348.022138;42.499818;87.859419;1.297854;2.067289;0.483725;0.476850;179.000000;0.875220;217.141000;0.288026;1.683113e-01;7.061779e-01
15;M-11830a-x40-04.tif;3669;496.859362;397.822567;65.308480;76.527620;1.466626;1.171787;0.853398;0.797667;337.000000;0.521261;260.039000;0.394463;2.017834e-01;6.113303e-01
16;M-11830a-x40-04.tif;3698;497.831531;516.140076;61.062760;79.461114;1.253118;1.301302;0.768461;0.745706;305.000000;0.639897;241.315000;0.405569;2.517460e-01;9.872383e-01
17;M-11830a-x40-04.tif;3467;586.638304;523.077877;57.642818;83.198725;1.839764;1.443349;0.692833;0.637721;610.000000;0.721098;283.115000;0.411765;2.507244e-01;1.017436e+00
18;M-11830a-x40-04.tif;862;576.013921;324.011601;24.842463;45.273397;1.189820;1.822420;0.548721;0.535465;33.000000;0.836006;113.527000;0.371291;1.462996e-01;8.217243e-01
19;M-11830a-x40-04.tif;3574;624.722999;342.205652;58.530954;79.504706;1.227717;1.358336;0.736195;0.719911;216.000000;0.676770;234.818000;0.367965;1.433174e-01;8.304736e-01
20;M-11830a-x40-04.tif;3496;665.394737;540.469394;49.880817;92.967200;1.423882;1.863787;0.536542;0.515018;248.000000;0.843874;250.108000;0.374120;2.415424e-01;8.451713e-01
21;M-11830a-x40-04.tif;3635;698.852270;273.482256;65.157791;71.692450;1.133925;1.100290;0.908852;0.900467;164.000000;0.417120;227.588000;0.371416;1.847221e-01;7.416060e-01
22;M-11830a-x40-04.tif;2669;706.031472;176.318846;36.992244;92.866407;1.364064;2.510429;0.398338;0.394041;104.000000;0.917239;213.893000;0.299152;1.287475e-01;1.205737e+00
23;M-11830a-x40-04.tif;5453;714.598753;370.355401;55.994285;127.455820;1.353765;2.276229;0.439323;0.427392;373.000000;0.898329;304.575000;0.352255;1.977601e-01;7.435934e-01
24;M-11830a-x40-04.tif;3617;806.889964;198.351120;46.137734;103.681655;1.397703;2.247220;0.444994;0.428405;304.000000;0.895533;252.050000;0.292796;1.000354e-01;9.466775e-01
25;M-11830a-x40-04.tif;3816;828.339361;261.478774;66.185676;75.752940;1.253232;1.144552;0.873704;0.846680;317.000000;0.486457;245.146000;0.286775;1.003304e-01;9.218127e-01
26;M-11830a-x40-04.tif;2154;825.621634;625.523677;48.558318;57.568514;1.092775;1.185554;0.843487;0.827534;88.000000;0.537149;171.986000;0.322479;1.414785e-01;1.033859e+00
27;M-11830a-x40-04.tif;5668;845.080628;409.389732;75.677873;97.811817;1.204388;1.292476;0.773709;0.754323;206.000000;0.633541;292.889000;0.339860;1.709943e-01;7.216819e-01
