No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-07.tif;909;36.845985;275.803080;29.248857;41.727460;1.272659;1.426636;0.700950;0.664707;107.000000;0.713211;120.571000;0.332170;1.036077e-01;1.154064e+00
2;M-11940-x40-07.tif;1351;598.340489;433.692080;38.680772;47.894887;1.518425;1.238209;0.807618;0.749872;185.000000;0.589706;160.557000;0.425628;2.627224e-01;7.284589e-01
3;M-11940-x40-07.tif;1511;645.240238;494.954335;40.325088;50.747681;1.437381;1.258464;0.794619;0.747037;198.000000;0.607108;165.205000;0.433296;2.804128e-01;6.372203e-01
4;M-11940-x40-07.tif;1965;652.870738;435.409160;44.495061;56.728826;1.037966;1.274947;0.784347;0.777437;61.000000;0.620323;160.095000;0.387086;1.736629e-01;1.021608e+00
5;M-11940-x40-07.tif;1669;688.209107;457.857400;42.729637;51.095907;1.145018;1.195795;0.836263;0.813943;87.000000;0.548328;154.967000;0.398234;1.913674e-01;7.971836e-01
6;M-11940-x40-07.tif;1448;704.165055;494.482044;40.772153;48.842296;1.521185;1.197933;0.834771;0.772835;162.000000;0.550597;166.372000;0.423590;2.319748e-01;6.538004e-01
7;M-11940-x40-07.tif;1736;707.006336;539.386521;45.782691;50.712341;1.496146;1.107675;0.902792;0.859474;173.000000;0.430078;180.662000;0.453776;1.799650e-01;8.592429e-01
8;M-11940-x40-07.tif;2445;762.657260;307.806135;52.510320;61.677137;1.423878;1.174572;0.851374;0.818353;201.000000;0.524559;209.161000;0.420177;2.231484e-01;8.686904e-01
9;M-11940-x40-07.tif;666;806.420420;390.315315;26.537247;32.580205;1.130392;1.227716;0.814521;0.798871;46.000000;0.580135;97.265000;0.441405;1.421940e-01;1.052018e+00
10;M-11940-x40-07.tif;776;833.505155;387.015464;31.271497;32.597723;1.279026;1.042410;0.959315;0.929817;47.000000;0.282337;111.680000;0.450065;2.952356e-01;1.013422e+00
11;M-11940-x40-07.tif;2824;851.952195;210.976275;46.390047;78.578742;1.410137;1.693871;0.590364;0.582324;144.000000;0.807137;223.701000;0.367963;1.421678e-01;8.401336e-01
12;M-11940-x40-07.tif;2186;864.985361;32.241537;46.837955;62.062344;1.302039;1.325044;0.754692;0.722610;175.000000;0.656079;189.122000;0.369528;8.082855e-02;8.626738e-01
13;M-11940-x40-07.tif;3122;891.369635;245.284753;55.213219;72.452318;1.075444;1.312228;0.762063;0.757249;93.000000;0.647503;205.407000;0.395642;1.426942e-01;8.897111e-01
14;M-11940-x40-07.tif;719;877.354659;386.011127;27.656080;33.250084;0.960633;1.202270;0.831760;0.828044;15.000000;0.555136;93.164000;0.340489;3.907344e-02;1.105085e+00
15;M-11940-x40-07.tif;2846;898.677091;332.209417;57.158534;65.630354;1.635745;1.148216;0.870916;0.841270;266.000000;0.491432;241.869000;0.411865;1.614540e-01;1.035762e+00
16;M-11940-x40-07.tif;2707;926.285187;102.175102;49.959602;72.530267;1.442917;1.451778;0.688810;0.655179;271.000000;0.724942;221.549000;0.404195;1.990024e-01;8.952135e-01
17;M-11940-x40-07.tif;2639;940.837438;192.776809;48.702339;70.091087;1.156297;1.439173;0.694844;0.683949;104.000000;0.719161;195.821000;0.392770;1.886193e-01;1.206574e+00
18;M-11940-x40-07.tif;1010;1214.869307;325.003960;28.573424;46.472605;1.440027;1.626428;0.614844;0.595439;101.000000;0.788648;135.192000;0.339707;9.337788e-02;1.179987e+00
19;M-11940-x40-07.tif;1268;1297.755521;441.066246;38.316760;46.871484;1.723309;1.223263;0.817486;0.734872;176.000000;0.575949;165.709000;0.452434;2.843003e-01;7.118922e-01
20;M-11940-x40-07.tif;1426;1311.153576;298.099579;30.198792;61.588312;1.337129;2.039430;0.490333;0.478667;107.000000;0.871535;154.793000;0.374369;5.624095e-02;1.064122e+00
21;M-11940-x40-07.tif;1322;1375.912254;449.098336;32.492602;54.182126;1.399794;1.667522;0.599692;0.573363;117.000000;0.800231;152.494000;0.391084;1.636209e-01;1.052479e+00
22;M-11940-x40-07.tif;1091;1414.815765;435.501375;35.562650;43.636307;1.571231;1.227026;0.814978;0.729523;188.000000;0.579491;146.770000;0.459468;1.679248e-01;1.018009e+00
23;M-11940-x40-07.tif;1032;1453.031977;429.715116;31.643603;43.162071;1.267894;1.364006;0.733134;0.705318;64.000000;0.680084;128.229000;0.422220;1.154645e-01;7.634596e-01
24;M-11940-x40-07.tif;1629;1536.543892;515.215470;44.169299;47.392123;1.080007;1.072965;0.931997;0.923462;54.000000;0.362467;148.689000;0.417598;1.702809e-01;9.349593e-01
