No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1604;20.301746;778.866584;36.106195;57.120871;1.156194;1.582024;0.632102;0.625929;58.000000;0.774885;152.659000;0.665391;4.849748e-01;1
2;B-11865-x40-02.tif;1575;34.453333;239.705397;38.306457;52.986151;1.231415;1.383217;0.722952;0.714276;100.000000;0.690898;156.116000;0.675067;4.627682e-01;1
3;B-11865-x40-02.tif;1537;39.054001;617.530254;35.995908;56.587202;1.442367;1.572045;0.636114;0.611150;133.000000;0.771595;166.909000;0.697563;5.805722e-01;9.751802e-01
4;B-11865-x40-02.tif;1710;43.566082;524.268421;44.186981;49.899317;1.109818;1.129276;0.885523;0.874414;76.000000;0.464596;154.429000;0.657931;4.745919e-01;1
5;B-11865-x40-02.tif;1636;43.811125;119.897922;38.500675;54.418633;1.103573;1.413446;0.707491;0.703393;64.000000;0.706723;150.625000;0.663298;4.995405e-01;1
6;B-11865-x40-02.tif;1785;49.933894;366.703081;43.437034;53.881737;1.441785;1.240456;0.806155;0.782826;131.000000;0.591704;179.835000;0.670642;4.183389e-01;1
7;B-11865-x40-02.tif;1542;58.646563;741.061608;37.840951;54.124566;1.431271;1.430317;0.699146;0.670202;181.000000;0.714979;166.536000;0.671570;5.189220e-01;9.629750e-01
8;B-11865-x40-02.tif;1383;59.538684;175.553145;40.084835;45.352992;1.372955;1.131425;0.883841;0.856092;121.000000;0.467787;154.470000;0.679377;4.862110e-01;1
9;B-11865-x40-02.tif;2732;73.997438;662.323939;42.640827;82.966949;1.320872;1.945716;0.513950;0.505336;190.000000;0.857820;212.949000;0.639862;4.802217e-01;1
10;B-11865-x40-02.tif;1644;71.349148;58.906934;39.423657;53.389061;1.088919;1.354239;0.738422;0.734357;60.000000;0.674339;149.987000;0.651539;4.422298e-01;1
11;B-11865-x40-02.tif;1651;78.479709;284.685645;36.701981;58.993280;1.518485;1.607360;0.622138;0.604021;180.000000;0.782907;177.494000;0.676685;4.956026e-01;1
12;B-11865-x40-02.tif;1706;80.428488;420.873974;43.065505;50.657137;1.085073;1.176281;0.850137;0.846463;56.000000;0.526562;152.519000;0.659116;3.159711e-01;1
