No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1577;97.244134;548.185796;38.142384;52.915850;1.100783;1.387324;0.720812;0.717084;58.000000;0.693131;147.697000;0.629307;4.120390e-01;1
2;B-hosp1385-x40-09.tif;2495;127.210822;592.541082;52.307503;61.049934;0.999593;1.167135;0.856799;0.852335;40.000000;0.515651;177.032000;0.573962;3.428049e-01;1
3;B-hosp1385-x40-09.tif;2698;134.658636;492.518532;50.703338;68.631692;1.090409;1.353593;0.738774;0.729294;112.000000;0.673953;192.274000;0.600476;2.529164e-01;1
4;B-hosp1385-x40-09.tif;1512;126.568783;647.493386;39.293477;49.111354;0.990147;1.249860;0.800089;0.798175;26.000000;0.599881;137.161000;0.576132;2.872472e-01;9.051789e-01
5;B-hosp1385-x40-09.tif;1702;156.847826;397.403055;43.261488;51.127265;1.329395;1.181819;0.846153;0.829019;125.000000;0.532940;168.621000;0.642319;3.863049e-01;1
6;B-hosp1385-x40-09.tif;2379;175.289197;635.934847;53.363606;56.961590;0.997643;1.067424;0.936835;0.933556;54.000000;0.349772;172.699000;0.544545;3.072971e-01;9.416811e-01
7;B-hosp1385-x40-09.tif;1457;166.581332;691.711050;41.579251;44.792249;0.976264;1.077274;0.928269;0.924621;31.000000;0.371910;133.696000;0.554585;3.143656e-01;1
8;B-hosp1385-x40-09.tif;1056;187.105114;580.828598;32.958288;41.984646;1.078177;1.273872;0.785008;0.762769;18.000000;0.619485;119.614000;0.549042;3.759585e-01;1
9;B-hosp1385-x40-09.tif;2812;203.592105;536.732930;58.238614;61.542460;0.978662;1.056729;0.946316;0.945313;39.000000;0.323243;185.964000;0.577143;3.510642e-01;9.798417e-01
10;B-hosp1385-x40-09.tif;1591;203.143935;425.866122;42.950974;47.293222;1.014537;1.101098;0.908185;0.905696;36.000000;0.418570;142.421000;0.609829;4.524892e-01;9.746140e-01
11;B-hosp1385-x40-09.tif;1815;219.257851;608.639118;44.897473;52.417905;1.098829;1.167502;0.856529;0.841061;90.000000;0.516098;158.310000;0.522243;3.019610e-01;1
12;B-hosp1385-x40-09.tif;1636;214.768949;729.062958;44.676152;47.073275;1.031707;1.053656;0.949077;0.940036;58.000000;0.315045;145.638000;0.568429;1.721438e-01;1
13;B-hosp1385-x40-09.tif;2959;227.256844;326.513349;56.149091;67.617474;1.013046;1.204249;0.830393;0.824019;63.000000;0.557178;194.085000;0.593980;3.183836e-01;1
14;B-hosp1385-x40-09.tif;2998;239.973316;491.803202;53.191453;71.960391;1.008324;1.352856;0.739177;0.737148;38.000000;0.673511;194.904000;0.586312;3.791333e-01;1
15;B-hosp1385-x40-09.tif;2308;231.143847;664.773397;51.310259;57.366605;0.978332;1.118034;0.894427;0.892951;33.000000;0.447213;168.448000;0.528695;1.997764e-01;1
16;B-hosp1385-x40-09.tif;1857;259.936457;396.076467;41.276506;57.435232;1.022958;1.391475;0.718662;0.716746;41.000000;0.695360;154.504000;0.625548;4.868412e-01;9.219246e-01
17;B-hosp1385-x40-09.tif;2824;262.067635;561.549929;56.237960;64.176533;1.012491;1.141160;0.876301;0.873016;57.000000;0.481764;189.554000;0.566212;3.202016e-01;1
18;B-hosp1385-x40-09.tif;1777;256.445132;441.527856;47.334649;47.846570;0.974168;1.010815;0.989301;0.988316;35.000000;0.145890;147.491000;0.600170;3.892412e-01;8.685323e-01
19;B-hosp1385-x40-09.tif;1404;269.554131;241.516382;34.391845;53.682288;1.461251;1.560902;0.640655;0.620319;143.000000;0.767829;160.565000;0.634977;2.425081e-01;1
20;B-hosp1385-x40-09.tif;999;266.545546;283.665666;29.805365;43.909735;1.137771;1.473216;0.678787;0.659711;73.000000;0.734335;119.513000;0.563969;4.150695e-01;9.936258e-01
21;B-hosp1385-x40-09.tif;1448;272.642956;772.104972;37.703485;49.169373;1.000401;1.304107;0.766808;0.762587;26.000000;0.641876;134.920000;0.552853;2.827401e-01;1
22;B-hosp1385-x40-09.tif;1240;281.644355;312.689516;36.460896;43.754451;1.016925;1.200038;0.833307;0.824684;46.000000;0.552810;125.881000;0.569622;3.903621e-01;1
23;B-hosp1385-x40-09.tif;1623;286.064695;653.798521;41.105692;50.417566;0.984976;1.226535;0.815305;0.812952;26.000000;0.579032;141.735000;0.567566;3.709130e-01;9.203971e-01
24;B-hosp1385-x40-09.tif;2949;307.355714;524.758223;52.246717;72.247064;1.147809;1.382806;0.723167;0.719357;98.000000;0.690673;206.242000;0.593478;3.518399e-01;9.866474e-01
25;B-hosp1385-x40-09.tif;2460;308.542276;365.746341;54.334307;57.744544;0.984288;1.062764;0.940943;0.939341;40.000000;0.338566;174.435000;0.554138;2.146332e-01;1
26;B-hosp1385-x40-09.tif;923;303.588299;473.754063;33.598155;35.594643;1.024672;1.059423;0.943910;0.927561;33.000000;0.330202;109.018000;0.524775;1.738663e-01;1
27;B-hosp1385-x40-09.tif;1728;312.646412;179.617477;42.673328;52.416222;1.166946;1.228313;0.814124;0.800797;64.000000;0.580690;159.185000;0.625009;4.404849e-01;9.964205e-01
28;B-hosp1385-x40-09.tif;1653;318.549304;759.776770;41.982535;50.299011;1.014041;1.198094;0.834659;0.831887;38.000000;0.550767;145.134000;0.548955;2.671955e-01;8.968949e-01
29;B-hosp1385-x40-09.tif;343;313.478134;787.344023;13.810582;33.019713;1.419451;2.390899;0.418253;0.400551;40.000000;0.908331;78.219000;0.677314;5.490368e-01;8.749099e-01
30;B-hosp1385-x40-09.tif;2925;343.652991;459.465299;60.016183;63.270801;1.120038;1.054229;0.948561;0.930314;147.000000;0.316596;202.901000;0.556982;3.041229e-01;1
31;B-hosp1385-x40-09.tif;1713;336.852306;664.453006;42.379921;51.587947;1.012483;1.217273;0.821508;0.819542;36.000000;0.570197;147.631000;0.576346;3.155976e-01;9.172474e-01
32;B-hosp1385-x40-09.tif;3099;350.744756;274.562439;60.555728;65.388256;1.058704;1.079803;0.926095;0.922852;84.000000;0.377291;203.050000;0.593103;4.127356e-01;9.697576e-01
33;B-hosp1385-x40-09.tif;2402;354.502498;144.092839;45.275585;70.017916;1.306910;1.546483;0.646629;0.623828;148.000000;0.762805;198.616000;0.598231;3.855753e-01;1
34;B-hosp1385-x40-09.tif;1734;344.470012;408.207036;43.900886;50.386813;0.986825;1.147740;0.871277;0.869612;39.000000;0.490791;146.639000;0.590407;3.230339e-01;9.617408e-01
35;B-hosp1385-x40-09.tif;2742;379.356674;347.292487;57.049709;61.978027;1.048963;1.086386;0.920483;0.908871;115.000000;0.390783;190.116000;0.560920;3.307173e-01;9.957384e-01
36;B-hosp1385-x40-09.tif;3490;389.442693;217.033238;64.089961;69.401614;0.989905;1.082878;0.923465;0.922564;51.000000;0.383683;208.360000;0.601015;2.264978e-01;9.926800e-01
37;B-hosp1385-x40-09.tif;1792;383.147879;498.296317;44.400427;51.626367;1.001105;1.162745;0.860034;0.856062;51.000000;0.510237;150.146000;0.607427;4.185178e-01;9.935704e-01
38;B-hosp1385-x40-09.tif;2775;400.001802;411.916036;52.984364;67.320116;1.030000;1.270566;0.787051;0.779621;70.000000;0.616888;189.520000;0.566932;3.027960e-01;1
39;B-hosp1385-x40-09.tif;2771;410.718513;460.018766;48.193256;74.098601;1.135615;1.537531;0.650394;0.642579;113.000000;0.759597;198.856000;0.511241;2.930342e-01;9.242514e-01
40;B-hosp1385-x40-09.tif;1144;410.774476;722.107517;41.004168;60.826283;2.901427;1.483417;0.674119;0.393689;898.000000;0.738623;204.232000;0.766706;2.985012e-01;1
41;B-hosp1385-x40-09.tif;1900;417.823684;150.997895;47.333030;51.242024;0.972698;1.082585;0.923715;0.921321;28.000000;0.383080;152.395000;0.592930;3.428118e-01;1
42;B-hosp1385-x40-09.tif;5019;434.557282;329.183901;67.394164;98.261368;1.268117;1.458010;0.685866;0.661853;444.000000;0.727728;282.809000;0.551934;2.823613e-01;1
43;B-hosp1385-x40-09.tif;1001;433.595405;677.437562;25.971396;57.486073;1.758970;2.213438;0.451786;0.385673;287.000000;0.892126;148.748000;0.834538;3.095568e-01;1
44;B-hosp1385-x40-09.tif;3084;455.113813;264.875162;53.525234;73.960509;1.087116;1.381788;0.723700;0.717835;136.000000;0.690115;205.258000;0.546603;1.482633e-01;9.922314e-01
45;B-hosp1385-x40-09.tif;794;450.221662;626.003778;29.883010;36.267538;1.354893;1.213651;0.823960;0.768590;137.000000;0.566648;116.270000;0.820821;3.324545e-01;1
46;B-hosp1385-x40-09.tif;1860;467.453763;383.500000;40.109640;60.176155;1.088644;1.500292;0.666537;0.653995;90.000000;0.745472;159.516000;0.591291;3.205406e-01;9.557050e-01
47;B-hosp1385-x40-09.tif;643;458.049767;655.125972;20.846307;43.888775;1.593404;2.105350;0.474980;0.425025;148.000000;0.879996;113.468000;0.839353;3.157887e-01;1
48;B-hosp1385-x40-09.tif;3311;471.465418;149.840834;60.549915;69.790640;1.000220;1.152613;0.867594;0.865516;62.000000;0.497274;204.001000;0.575549;3.474321e-01;1
49;B-hosp1385-x40-09.tif;1826;469.239321;216.590909;44.862619;51.898625;0.976623;1.156834;0.864428;0.863176;33.000000;0.502757;149.699000;0.587727;2.718349e-01;9.819886e-01
50;B-hosp1385-x40-09.tif;902;513.788248;666.782705;35.376332;56.853777;2.582788;1.607113;0.622234;0.355302;654.000000;0.782832;171.101000;0.847389;4.015298e-01;1
51;B-hosp1385-x40-09.tif;2987;521.845665;215.444258;56.765413;67.080603;0.984991;1.181716;0.846227;0.845184;40.000000;0.532823;192.282000;0.568243;3.229671e-01;1
52;B-hosp1385-x40-09.tif;2712;528.027286;346.420723;55.077976;62.975603;1.020792;1.143390;0.874592;0.870673;75.000000;0.484859;186.517000;0.535757;1.759517e-01;9.346195e-01
53;B-hosp1385-x40-09.tif;1831;536.237575;398.374113;45.750901;51.208724;1.030057;1.119294;0.893420;0.889018;50.000000;0.449222;153.950000;0.598151;3.687194e-01;9.136119e-01
54;B-hosp1385-x40-09.tif;2733;546.510428;578.748628;54.816788;64.910179;1.215596;1.184130;0.844502;0.825894;194.000000;0.535552;204.324000;0.543932;2.598179e-01;9.297450e-01
55;B-hosp1385-x40-09.tif;3017;548.606894;295.078886;58.595704;65.835733;1.024981;1.123559;0.890029;0.886262;75.000000;0.455904;197.129000;0.568792;2.730278e-01;1
56;B-hosp1385-x40-09.tif;879;552.606371;672.302617;27.515570;48.695056;1.591319;1.769727;0.565059;0.471986;229.000000;0.825051;132.580000;0.879693;2.953568e-01;1
57;B-hosp1385-x40-09.tif;2663;577.010514;80.188885;50.089389;67.743355;1.008202;1.352449;0.739399;0.738836;42.000000;0.673267;183.681000;0.543695;2.961830e-01;9.911090e-01
58;B-hosp1385-x40-09.tif;1583;571.813013;207.842072;43.822081;46.117423;0.970653;1.052379;0.950228;0.947678;29.000000;0.311554;138.956000;0.578953;3.674883e-01;9.862699e-01
59;B-hosp1385-x40-09.tif;735;572.029932;741.114286;30.150547;52.265050;2.547864;1.733469;0.576878;0.342590;505.000000;0.816830;153.404000;0.784374;2.948698e-01;1
60;B-hosp1385-x40-09.tif;3039;592.758144;343.697269;59.627637;65.087219;1.009710;1.091561;0.916119;0.913376;56.000000;0.400906;196.367000;0.569202;2.423796e-01;1
61;B-hosp1385-x40-09.tif;2513;593.385993;444.474731;54.642242;58.684116;0.975264;1.073970;0.931125;0.929098;39.000000;0.364700;175.494000;0.546843;2.174325e-01;1
62;B-hosp1385-x40-09.tif;1498;591.563418;393.715621;39.635885;48.275777;1.000129;1.217982;0.821030;0.818396;28.000000;0.570884;137.211000;0.560775;3.144811e-01;1
63;B-hosp1385-x40-09.tif;3002;606.464690;562.056962;54.852601;71.701535;1.148901;1.307167;0.765013;0.743471;172.000000;0.644015;208.186000;0.516071;1.863759e-01;1
64;B-hosp1385-x40-09.tif;544;600.023897;714.209559;26.540722;32.437963;1.519086;1.222196;0.818199;0.658267;131.000000;0.574935;101.905000;0.834481;3.130420e-01;1
65;B-hosp1385-x40-09.tif;1736;609.805300;254.692396;42.374926;52.266151;0.985459;1.233422;0.810753;0.809131;30.000000;0.585389;146.622000;0.595693;3.066536e-01;1
66;B-hosp1385-x40-09.tif;1899;645.993154;314.999473;46.454753;52.374602;1.194525;1.127433;0.886971;0.881442;63.000000;0.461825;168.836000;0.601614;3.278494e-01;1
67;B-hosp1385-x40-09.tif;3031;650.441109;384.668096;56.644566;68.643492;1.075239;1.211828;0.825199;0.819025;77.000000;0.564842;202.372000;0.571622;2.723265e-01;9.435176e-01
68;B-hosp1385-x40-09.tif;2659;662.453178;481.471982;51.680850;69.925264;1.597934;1.353021;0.739087;0.692405;285.000000;0.673610;231.070000;0.522144;1.688033e-01;1
69;B-hosp1385-x40-09.tif;1598;659.003755;671.757196;42.233958;48.347547;0.989546;1.144755;0.873549;0.870438;35.000000;0.486736;140.965000;0.565266;2.063476e-01;9.383929e-01
70;B-hosp1385-x40-09.tif;1894;665.888596;260.329989;47.157126;51.323538;0.985549;1.088352;0.918821;0.915497;35.000000;0.394675;153.156000;0.601630;3.123144e-01;1
71;B-hosp1385-x40-09.tif;4316;675.220575;539.100324;57.587783;99.006571;1.434660;1.719229;0.581656;0.560613;435.000000;0.813435;278.946000;0.525261;1.743233e-01;1
72;B-hosp1385-x40-09.tif;2590;677.238224;609.160232;48.635587;68.152623;1.067180;1.401291;0.713628;0.709978;70.000000;0.700525;186.369000;0.547304;2.720081e-01;9.760542e-01
73;B-hosp1385-x40-09.tif;3112;692.073907;141.592545;56.411119;70.684945;1.067720;1.253032;0.798064;0.793041;146.000000;0.602573;204.340000;0.547655;2.927759e-01;1
74;B-hosp1385-x40-09.tif;1600;685.146875;415.922500;41.507680;49.343773;0.996923;1.188787;0.841194;0.836692;33.000000;0.540734;141.578000;0.591239;3.815731e-01;9.766396e-01
75;B-hosp1385-x40-09.tif;1655;696.681571;226.366163;41.667635;50.870065;1.022413;1.220853;0.819099;0.814298;33.000000;0.573652;145.820000;0.584782;2.344353e-01;9.048896e-01
76;B-hosp1385-x40-09.tif;2787;713.546466;674.077861;52.933014;71.487499;1.608160;1.350528;0.740451;0.694363;329.000000;0.672110;237.322000;0.528650;2.065902e-01;9.607645e-01
77;B-hosp1385-x40-09.tif;1382;706.122287;458.505065;39.717378;45.554205;1.045755;1.146959;0.871871;0.847932;37.000000;0.489736;134.764000;0.559887;2.617286e-01;1
78;B-hosp1385-x40-09.tif;3128;730.281650;369.385550;51.498584;79.229631;1.352603;1.538482;0.649991;0.634456;240.000000;0.759942;230.581000;0.568095;3.110431e-01;9.891792e-01
79;B-hosp1385-x40-09.tif;2009;719.557491;318.515182;47.827420;53.653073;0.993109;1.121806;0.891420;0.888589;41.000000;0.453178;158.341000;0.565584;3.059751e-01;9.772997e-01
80;B-hosp1385-x40-09.tif;1746;724.304696;102.032073;39.957871;56.166558;1.068629;1.405644;0.711417;0.704691;65.000000;0.702770;153.123000;0.570981;3.725120e-01;1
81;B-hosp1385-x40-09.tif;2631;737.091600;569.057013;53.243383;63.047451;0.997802;1.184137;0.844497;0.842744;51.000000;0.535560;181.630000;0.558730;3.034141e-01;1
