No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11879-x40-08.tif;868;21.073733;168.195853;28.159948;41.442947;1.247691;1.471698;0.679487;0.643470;100.000000;0.733687;116.659000;0.645667;4.438415e-01;8.197616e-01
2;F-11879-x40-08.tif;1006;176.351889;279.105368;33.354238;41.426102;1.307732;1.242004;0.805150;0.746380;94.000000;0.593071;128.577000;0.611138;4.613531e-01;9.206329e-01
3;F-11879-x40-08.tif;1113;222.807727;311.299191;29.406388;48.426460;1.101307;1.646801;0.607238;0.604282;41.000000;0.794520;124.110000;0.640496;5.105608e-01;9.126084e-01
4;F-11879-x40-08.tif;306;221.124183;273.428105;17.849888;21.998955;0.939329;1.232442;0.811397;0.805059;5.000000;0.584495;60.100000;0.576364;3.859267e-01;9.425868e-01
5;F-11879-x40-08.tif;558;236.394265;257.926523;24.710111;29.205949;1.001341;1.181943;0.846064;0.832917;19.000000;0.533081;83.794000;0.590877;3.611917e-01;8.956830e-01
6;F-11879-x40-08.tif;2393;298.393230;296.403677;54.948962;58.828830;1.316108;1.070609;0.934048;0.880385;236.000000;0.357147;198.940000;0.634180;5.189261e-01;9.633102e-01
7;F-11879-x40-08.tif;961;471.969823;221.493236;24.582377;51.689159;1.291541;2.102692;0.475581;0.457967;54.000000;0.879672;124.888000;0.614757;4.512229e-01;9.431102e-01
8;F-11879-x40-08.tif;1135;498.986784;254.480176;29.074145;50.008970;1.089483;1.720050;0.581379;0.577843;35.000000;0.813633;124.656000;0.621952;4.344134e-01;9.894192e-01
9;F-11879-x40-08.tif;961;630.757544;301.526535;26.593095;46.504358;1.097580;1.748738;0.571841;0.565778;33.000000;0.820365;115.129000;0.583832;4.442132e-01;1
10;F-11879-x40-08.tif;1734;635.174164;397.371972;36.809645;60.755017;1.135876;1.650519;0.605870;0.598129;65.000000;0.795564;157.324000;0.624996;4.623844e-01;8.588510e-01
11;F-11879-x40-08.tif;5503;698.558968;357.059240;71.436691;107.958417;1.548969;1.511246;0.661706;0.601169;701.000000;0.749764;327.285000;0.593590;3.831655e-01;9.831106e-01
12;F-11879-x40-08.tif;3530;723.329745;412.913314;48.428261;94.962022;1.470842;1.960880;0.509975;0.498408;240.000000;0.860189;255.432000;0.577616;4.130974e-01;9.056829e-01
13;F-11879-x40-08.tif;1233;713.283861;485.647202;33.508992;47.575830;1.072757;1.419793;0.704328;0.693586;38.000000;0.709875;128.925000;0.589656;3.492067e-01;9.988861e-01
14;F-11879-x40-08.tif;5523;764.229404;471.301286;84.286042;92.497020;1.328492;1.097418;0.911230;0.821920;476.000000;0.411898;303.649000;0.590851;3.665255e-01;1
15;F-11879-x40-08.tif;1590;773.384277;307.834591;43.449525;46.760569;0.979302;1.076204;0.929192;0.925865;34.000000;0.369599;139.882000;0.611206;4.825787e-01;8.930170e-01
16;F-11879-x40-08.tif;1887;779.957605;353.428723;46.858850;51.514820;1.012855;1.099362;0.909619;0.905352;61.000000;0.415444;154.976000;0.608782;4.244618e-01;9.280723e-01
17;F-11879-x40-08.tif;1884;794.787686;411.973992;44.933950;53.729408;1.017166;1.195742;0.836301;0.830935;59.000000;0.548271;155.182000;0.607424;4.544041e-01;8.482626e-01
18;F-11879-x40-08.tif;1566;801.424010;269.323755;41.808183;47.789902;0.980145;1.143075;0.874833;0.873031;32.000000;0.484425;138.882000;0.619560;4.484765e-01;9.124515e-01
19;F-11879-x40-08.tif;1779;826.898820;362.239460;40.056603;57.087839;1.097734;1.425179;0.701666;0.695022;73.000000;0.712506;156.654000;0.615326;4.520000e-01;9.457235e-01
20;F-11879-x40-08.tif;799;821.062578;139.703379;28.249671;36.154701;0.998495;1.279827;0.781355;0.778265;21.000000;0.624086;100.127000;0.605823;4.529317e-01;1
21;F-11879-x40-08.tif;1918;831.836809;300.169969;42.695839;57.402655;1.044252;1.344455;0.743796;0.741131;49.000000;0.668407;158.647000;0.640119;4.922044e-01;9.535225e-01
