No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1446;419.026971;330.352697;35.838466;52.203434;1.061087;1.456631;0.686515;0.675585;36.000000;0.727115;138.856000;0.567296;8.420785e-02;1
2;F-11904a-x40-06.tif;1537;525.424854;289.655172;34.402858;57.843580;1.165269;1.681360;0.594757;0.584889;60.000000;0.803906;150.022000;0.581479;1.137176e-01;1
3;F-11904a-x40-06.tif;5211;540.750528;389.779121;74.154414;99.246107;1.805656;1.338371;0.747177;0.673603;668.000000;0.664625;343.861000;0.529717;9.191578e-02;9.750938e-01
4;F-11904a-x40-06.tif;2267;578.278341;439.430966;50.528253;57.395934;1.022116;1.135918;0.880346;0.876192;57.000000;0.474333;170.640000;0.577773;4.036691e-01;9.842717e-01
5;F-11904a-x40-06.tif;1743;584.681583;345.578313;38.768587;58.737485;1.275314;1.515079;0.660031;0.643246;91.000000;0.751238;167.133000;0.585244;2.639022e-01;1
6;F-11904a-x40-06.tif;2068;612.219536;400.821567;41.901952;63.256588;1.055185;1.509633;0.662412;0.658035;41.000000;0.749139;165.594000;0.575682;3.285601e-01;9.027832e-01
7;F-11904a-x40-06.tif;1211;618.271676;461.796036;39.166954;39.640606;1.008566;1.012093;0.988051;0.981237;37.000000;0.154125;123.888000;0.540894;2.345736e-01;1
8;F-11904a-x40-06.tif;2051;628.257435;349.406143;42.488409;62.025376;1.092285;1.459819;0.685017;0.678792;86.000000;0.728528;167.786000;0.595535;3.137165e-01;1
9;F-11904a-x40-06.tif;1643;663.819842;321.125989;44.383280;47.717349;1.053505;1.075120;0.930129;0.918745;86.000000;0.367234;147.483000;0.503417;2.711309e-01;9.016549e-01
10;F-11904a-x40-06.tif;2064;677.662306;364.434593;51.746014;52.458322;1.182839;1.013765;0.986421;0.954973;173.000000;0.164234;175.155000;0.564550;3.326900e-01;8.748179e-01
11;F-11904a-x40-06.tif;5102;729.760682;331.187574;75.268392;90.104382;1.447536;1.197108;0.835347;0.800127;654.000000;0.549724;304.642000;0.592284;3.148404e-01;9.899116e-01
12;F-11904a-x40-06.tif;1220;766.014754;747.801639;33.360212;46.754630;1.004458;1.401509;0.713517;0.710593;26.000000;0.700638;124.094000;0.538529;1.116142e-01;1
13;F-11904a-x40-06.tif;1598;804.255319;261.444305;39.953966;51.030757;0.992932;1.277239;0.782939;0.781309;26.000000;0.622099;141.206000;0.542930;1.381276e-01;1
14;F-11904a-x40-06.tif;1059;799.461756;433.469311;30.188997;45.261141;1.097639;1.499260;0.666996;0.658196;41.000000;0.745061;120.860000;0.506184;1.565237e-01;1
15;F-11904a-x40-06.tif;1129;820.126661;627.342781;35.200645;41.487050;1.012481;1.178588;0.848473;0.835178;34.000000;0.529239;119.852000;0.548186;2.400078e-01;1
