No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-03.tif;596;69.864094;352.827181;26.811787;28.600721;0.975055;1.066722;0.937451;0.927689;20.000000;0.348116;85.456000;0.702449;5.486973e-01;9.918690e-01
2;M-11811a-x40-03.tif;1076;80.526022;326.966543;28.474131;53.711013;1.614961;1.886309;0.530136;0.474893;235.000000;0.847913;147.772000;0.682592;4.489332e-01;9.762230e-01
3;M-11811a-x40-03.tif;4529;277.191212;517.957165;67.953215;89.650756;1.360706;1.319301;0.757977;0.717471;511.000000;0.652281;278.284000;0.534940;3.331452e-01;9.228779e-01
4;M-11811a-x40-03.tif;4300;332.012791;548.825814;61.431655;94.116480;1.567797;1.532052;0.652719;0.618084;638.000000;0.757600;291.061000;0.572625;3.152017e-01;8.979145e-01
5;M-11811a-x40-03.tif;3850;392.244675;542.241039;67.160871;76.472532;1.186626;1.138647;0.878235;0.838224;251.000000;0.478229;239.603000;0.580024;3.865358e-01;9.863457e-01
6;M-11811a-x40-03.tif;6905;402.186531;674.713975;86.405439;109.647775;1.788899;1.268992;0.788027;0.731264;709.000000;0.615640;393.985000;0.556132;3.567525e-01;1
7;M-11811a-x40-03.tif;4932;403.927210;380.704582;74.148626;88.878333;1.239081;1.198651;0.834271;0.794953;371.000000;0.551354;277.119000;0.590368;4.220644e-01;9.423503e-01
8;M-11811a-x40-03.tif;2989;402.041820;593.425895;49.031113;82.169909;1.403547;1.675873;0.596704;0.563651;357.000000;0.802461;229.605000;0.562785;3.348685e-01;9.907898e-01
9;M-11811a-x40-03.tif;2085;394.138129;303.625899;39.551818;68.423960;1.336492;1.729983;0.578040;0.567022;130.000000;0.816008;187.129000;0.596031;3.777864e-01;1
10;M-11811a-x40-03.tif;4276;413.195510;131.405051;60.796986;90.977491;1.216300;1.496414;0.668264;0.657779;190.000000;0.743924;255.649000;0.548184;3.723870e-01;1
11;M-11811a-x40-03.tif;5614;430.167082;450.802636;74.925529;96.023539;1.132650;1.281586;0.780283;0.775224;233.000000;0.625427;282.676000;0.526425;3.745320e-01;8.911002e-01
12;M-11811a-x40-03.tif;4843;477.921330;617.768738;64.783348;97.125949;1.275732;1.499243;0.667003;0.653663;297.000000;0.745055;278.639000;0.600367;3.157950e-01;9.231652e-01
13;M-11811a-x40-03.tif;4171;505.238552;686.057780;70.582019;76.224235;1.073860;1.079938;0.925979;0.914038;91.000000;0.377576;237.246000;0.564121;3.061793e-01;9.410745e-01
14;M-11811a-x40-03.tif;4489;514.577189;544.440410;73.609312;80.427806;1.201782;1.092631;0.915222;0.883583;307.000000;0.402950;260.371000;0.524538;3.743470e-01;9.232190e-01
15;M-11811a-x40-03.tif;3571;553.903948;597.909549;64.104810;72.121256;1.102987;1.125052;0.888848;0.874125;193.000000;0.458203;222.477000;0.555154;3.605745e-01;9.732077e-01
16;M-11811a-x40-03.tif;3410;567.334018;687.856012;57.309669;76.510213;1.073428;1.335031;0.749046;0.741696;74.000000;0.662518;214.471000;0.549566;3.798375e-01;8.851906e-01
17;M-11811a-x40-03.tif;2654;569.614544;80.992841;50.690670;68.777275;1.195476;1.356803;0.737026;0.714367;143.000000;0.675864;199.676000;0.580439;3.679498e-01;1
18;M-11811a-x40-03.tif;3540;620.259322;585.830508;61.571072;74.759371;1.067768;1.214196;0.823590;0.806459;91.000000;0.567186;217.944000;0.574804;3.155723e-01;9.266229e-01
19;M-11811a-x40-03.tif;3073;644.772860;657.665148;55.063545;72.076241;1.118435;1.308965;0.763962;0.753162;102.000000;0.645261;207.822000;0.550252;3.392423e-01;1
20;M-11811a-x40-03.tif;2990;700.664548;672.201672;56.153966;68.110998;1.016351;1.212933;0.824448;0.820629;65.000000;0.565938;195.417000;0.543113;3.319391e-01;9.218700e-01
21;M-11811a-x40-03.tif;1728;778.065394;180.056134;28.965557;108.212359;3.166900;3.735898;0.267673;0.187888;1020.000000;0.963510;262.237000;0.780902;5.763947e-01;1
22;M-11811a-x40-03.tif;2428;889.065486;224.380972;45.109366;71.665828;1.473577;1.588713;0.629440;0.601914;269.000000;0.777049;212.039000;0.818746;4.774617e-01;9.873537e-01
23;M-11811a-x40-03.tif;1871;913.104222;83.957242;44.619073;57.718512;1.406944;1.293584;0.773046;0.715078;216.000000;0.634350;181.878000;0.789743;5.635853e-01;1
24;M-11811a-x40-03.tif;2995;965.191653;78.786644;56.800350;88.564907;2.412720;1.559232;0.641341;0.486165;1423.000000;0.767256;301.340000;0.836270;5.882845e-01;1
25;M-11811a-x40-03.tif;678;997.858407;722.084071;24.125644;37.957090;1.279121;1.573309;0.635603;0.599175;50.000000;0.772016;104.394000;0.684121;4.609348e-01;1
26;M-11811a-x40-03.tif;773;1488.723157;749.328590;29.116310;33.935254;0.955307;1.165507;0.857996;0.854648;15.000000;0.513656;96.331000;0.510206;2.514897e-01;1
