No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-06.tif;1159;364.014668;68.831752;27.132874;62.219422;1.627633;2.293138;0.436084;0.381190;199.000000;0.899906;153.966000;0.683086;4.624672e-01;1
2;M-11897-x40-06.tif;472;417.989407;56.741525;19.156937;33.143717;1.213870;1.730116;0.577996;0.547079;39.000000;0.816040;84.852000;0.710829;4.874360e-01;1
3;M-11897-x40-06.tif;705;426.865248;29.580142;25.113715;36.232585;1.064591;1.442741;0.693125;0.683755;23.000000;0.720817;97.116000;0.671788;4.774037e-01;1
4;M-11897-x40-06.tif;1451;607.347347;384.279118;40.739924;47.024891;1.117085;1.154270;0.866348;0.835453;91.000000;0.499441;142.719000;0.552783;2.817658e-01;1
5;M-11897-x40-06.tif;1597;621.232311;347.015028;41.322414;50.250976;1.127553;1.216071;0.822321;0.805241;104.000000;0.569024;150.427000;0.568137;2.791836e-01;1
6;M-11897-x40-06.tif;1276;634.946708;191.140282;29.587954;58.762797;1.640968;1.986038;0.503515;0.470496;177.000000;0.863986;162.211000;0.678507;5.561952e-01;8.335444e-01
7;M-11897-x40-06.tif;969;629.898865;418.738906;28.499226;43.954628;1.080421;1.542310;0.648378;0.638594;37.000000;0.761318;114.700000;0.515873;1.976357e-01;1
8;M-11897-x40-06.tif;1825;644.985753;306.472877;42.370420;55.473037;1.075605;1.309240;0.763802;0.755108;59.000000;0.645451;157.059000;0.586367;2.647945e-01;1
9;M-11897-x40-06.tif;1153;651.853426;395.035559;35.574696;41.413129;0.965047;1.164118;0.859020;0.855979;15.000000;0.511942;118.248000;0.500658;2.777686e-01;1
10;M-11897-x40-06.tif;1510;670.608609;432.811921;41.793201;46.879165;1.049058;1.121694;0.891509;0.874837;55.000000;0.453003;141.089000;0.577275;2.500977e-01;1
11;M-11897-x40-06.tif;1625;685.844308;352.315077;40.937976;50.816129;1.025637;1.241296;0.805610;0.801236;39.000000;0.592446;144.720000;0.590141;1.811719e-01;1
12;M-11897-x40-06.tif;981;687.371050;778.730887;27.260409;47.421977;1.212166;1.739592;0.574848;0.555418;60.000000;0.818261;122.242000;0.498369;1.108233e-01;1
13;M-11897-x40-06.tif;1632;710.257353;390.409926;39.443952;52.971551;1.077312;1.342958;0.744625;0.740534;45.000000;0.667483;148.640000;0.599785;1.492654e-01;1
14;M-11897-x40-06.tif;823;702.334143;205.341434;29.863836;35.797423;1.065481;1.198688;0.834245;0.817723;33.000000;0.551393;104.973000;0.611484;4.290050e-01;1
15;M-11897-x40-06.tif;1425;722.132632;275.608421;35.379778;52.480142;1.104884;1.483337;0.674156;0.658772;59.000000;0.738589;140.660000;0.555615;1.375663e-01;1
16;M-11897-x40-06.tif;1561;736.180653;459.038437;38.853344;52.041110;1.112699;1.339424;0.746589;0.733871;73.000000;0.665285;147.739000;0.598888;2.318740e-01;1
17;M-11897-x40-06.tif;1119;739.155496;171.531725;36.289464;41.114346;1.233685;1.132955;0.882647;0.842856;112.000000;0.470036;131.711000;0.657675;4.465557e-01;1
18;M-11897-x40-06.tif;926;738.262419;211.116631;27.370137;44.737081;1.204954;1.634522;0.611800;0.589096;58.000000;0.791013;118.412000;0.614353;3.781626e-01;1
19;M-11897-x40-06.tif;1476;737.357724;355.646341;36.783955;51.275206;1.019569;1.393956;0.717383;0.714795;29.000000;0.696679;137.517000;0.572043;2.003203e-01;1
20;M-11897-x40-06.tif;1618;763.573548;642.856613;36.194766;58.148459;1.260319;1.606543;0.622454;0.609273;107.000000;0.782656;160.079000;0.615549;2.085653e-01;1
21;M-11897-x40-06.tif;1081;766.313599;311.888067;34.168685;44.094786;1.441426;1.290503;0.774892;0.707883;144.000000;0.632094;139.931000;0.535808;1.258167e-01;1
22;M-11897-x40-06.tif;1683;769.985146;404.484254;42.000582;51.470089;1.108138;1.225461;0.816019;0.808881;69.000000;0.578025;153.089000;0.616878;1.964128e-01;1
23;M-11897-x40-06.tif;2950;773.346441;478.012542;45.761946;89.904874;1.921797;1.964621;0.509004;0.464692;413.000000;0.860764;266.913000;0.594164;1.826137e-01;1
24;M-11897-x40-06.tif;860;782.710465;202.262791;31.835862;34.460638;0.946462;1.082447;0.923833;0.922066;17.000000;0.382797;101.136000;0.480540;1.598821e-01;1
25;M-11897-x40-06.tif;1310;821.352672;408.300763;35.992890;48.009771;1.259195;1.333868;0.749699;0.723639;105.000000;0.661779;143.975000;0.568186;2.156466e-01;1
26;M-11897-x40-06.tif;1326;826.915535;503.820513;38.800388;43.932896;1.047381;1.132280;0.883174;0.874730;53.000000;0.469046;132.108000;0.561890;1.399384e-01;1
27;M-11897-x40-06.tif;1143;863.043745;453.033246;37.702116;39.009656;1.001866;1.034681;0.966482;0.956340;33.000000;0.256736;119.959000;0.560645;1.764347e-01;1
28;M-11897-x40-06.tif;2265;1141.282561;317.393819;35.980237;82.826354;1.313861;2.301996;0.434406;0.420379;77.000000;0.900717;193.381000;0.544692;2.238664e-01;1
29;M-11897-x40-06.tif;2767;1208.250813;365.851464;52.075178;71.296444;1.277150;1.369106;0.730404;0.693080;197.000000;0.683016;210.732000;0.529199;2.010253e-01;1
30;M-11897-x40-06.tif;2633;1206.495632;435.846943;47.730639;83.645819;1.822193;1.752455;0.570628;0.479151;455.000000;0.821209;245.543000;0.521587;1.581594e-01;1
31;M-11897-x40-06.tif;847;1214.390791;489.187721;24.137394;46.133291;1.212427;1.911279;0.523210;0.506716;51.000000;0.852204;113.599000;0.495605;1.405880e-01;1
32;M-11897-x40-06.tif;2129;1254.903241;395.426022;34.241916;86.663082;1.632249;2.530906;0.395115;0.360925;332.000000;0.918632;208.971000;0.550544;2.119374e-01;1
33;M-11897-x40-06.tif;3718;1306.626950;365.231576;49.518711;99.211165;1.650921;2.003509;0.499124;0.480948;304.000000;0.866530;277.730000;0.583022;2.562599e-01;1
