No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-06.tif;850;21.321176;350.487059;30.903354;36.758045;1.143793;1.189452;0.840724;0.800985;58.000000;0.541465;110.532000;0.553846;1.736584e-01;1
2;M-11934b-x40-06.tif;725;65.692414;344.433103;25.015818;48.891737;1.871481;1.954433;0.511657;0.386169;228.000000;0.859190;130.577000;0.663681;3.550416e-01;9.817815e-01
3;M-11934b-x40-06.tif;1172;151.003413;126.833618;34.604237;43.285926;0.993729;1.250885;0.799434;0.796424;27.000000;0.600754;120.977000;0.576013;1.544128e-01;1
4;M-11934b-x40-06.tif;2230;258.863229;391.032287;47.234097;61.248397;1.055753;1.296699;0.771189;0.756877;62.000000;0.636606;172.004000;0.494639;1.646995e-01;1
5;M-11934b-x40-06.tif;3150;294.973016;293.891429;58.055659;74.317529;1.445313;1.280108;0.781184;0.726170;426.000000;0.624301;239.189000;0.582499;4.036695e-01;8.743332e-01
6;M-11934b-x40-06.tif;2603;328.793700;89.101806;45.499932;74.975823;1.359653;1.647823;0.606861;0.589579;243.000000;0.794808;210.890000;0.598212;2.988495e-01;8.582282e-01
7;M-11934b-x40-06.tif;985;324.006091;256.488325;29.227655;43.851178;1.237153;1.500332;0.666519;0.652205;63.000000;0.745488;123.747000;0.672426;5.419391e-01;8.975448e-01
8;M-11934b-x40-06.tif;3295;370.750228;330.123824;60.334704;72.401666;1.196882;1.200000;0.833333;0.800329;156.000000;0.552771;222.617000;0.570194;2.887496e-01;1
9;M-11934b-x40-06.tif;5057;528.637137;352.486257;74.290006;87.682219;1.183543;1.180269;0.847264;0.837491;267.000000;0.531172;274.248000;0.578948;2.976499e-01;1
10;M-11934b-x40-06.tif;4939;607.157522;343.490788;66.711027;101.708302;2.093695;1.524610;0.655905;0.607906;626.000000;0.754843;360.480000;0.586554;2.528722e-01;1
11;M-11934b-x40-06.tif;2954;610.801963;269.179756;59.752255;69.853527;2.004170;1.169053;0.855394;0.770804;667.000000;0.517979;272.758000;0.599859;2.636987e-01;1
12;M-11934b-x40-06.tif;2767;616.715215;466.829418;56.726753;65.815434;1.365023;1.160219;0.861907;0.813324;251.000000;0.507067;217.861000;0.608448;3.566710e-01;1
13;M-11934b-x40-06.tif;3767;678.968144;448.808601;62.015473;80.058897;1.261829;1.290950;0.774623;0.748319;229.000000;0.632423;244.401000;0.613216;4.024611e-01;1
14;M-11934b-x40-06.tif;1343;709.186150;310.478779;35.787299;51.045960;1.629506;1.426371;0.701080;0.656241;160.000000;0.713083;165.833000;0.609560;3.858329e-01;8.682791e-01
15;M-11934b-x40-06.tif;2617;741.235766;491.701949;51.681238;64.776522;1.059641;1.253386;0.797839;0.794106;77.000000;0.602871;186.675000;0.518425;2.146067e-01;1
