No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-06.tif;1619;128.095738;603.951822;43.950130;48.898837;1.303892;1.112598;0.898797;0.862105;123.000000;0.438365;162.873000;111.512044;80;188
2;B-11704-x40-06.tif;1395;162.530466;498.345520;36.342760;49.232503;1.017885;1.354672;0.738186;0.732792;32.000000;0.674597;133.580000;98.427957;60;186
3;B-11704-x40-06.tif;730;156.771233;783.017808;26.056975;35.940715;1.001877;1.379313;0.724999;0.719548;18.000000;0.688750;95.868000;103.031507;37;209
4;B-11704-x40-06.tif;1621;172.458976;542.459593;38.755279;53.638844;1.159498;1.384040;0.722523;0.717355;72.000000;0.691347;153.685000;115.423196;62;162
5;B-11704-x40-06.tif;1363;211.975789;566.774028;36.164156;48.427495;1.050458;1.339102;0.746769;0.739983;49.000000;0.665083;134.135000;99.442406;62;180
6;B-11704-x40-06.tif;2729;236.906926;505.019787;50.053860;71.699087;1.268937;1.432439;0.698110;0.675906;194.000000;0.715990;208.606000;86.227556;48;201
7;B-11704-x40-06.tif;1730;273.913295;552.930058;32.115146;69.985010;1.287805;2.179190;0.458886;0.449724;95.000000;0.888495;167.322000;95.154335;46;179
8;B-11704-x40-06.tif;1340;280.952239;510.523134;38.478549;44.517234;1.029703;1.156936;0.864352;0.860912;40.000000;0.502888;131.678000;102.858955;54;188
9;B-11704-x40-06.tif;1747;339.054379;507.344591;39.546700;56.420914;1.028698;1.426691;0.700923;0.698752;40.000000;0.713237;150.278000;107.608472;60;188
10;B-11704-x40-06.tif;1319;382.801365;479.957544;27.751471;61.127010;1.272396;2.202658;0.453997;0.449457;44.000000;0.891003;145.224000;87.125853;42;179
11;B-11704-x40-06.tif;1538;409.579324;508.087126;37.293544;53.444381;1.156422;1.433073;0.697801;0.685587;70.000000;0.716292;149.500000;102.165150;46;179
12;B-11704-x40-06.tif;1493;484.904889;511.417950;43.395063;44.139803;1.032589;1.017162;0.983128;0.975684;50.000000;0.182920;139.187000;98.095780;46;182
13;B-11704-x40-06.tif;1402;498.879458;463.688302;34.402695;52.418258;1.118909;1.523667;0.656311;0.649670;63.000000;0.754490;140.403000;91.040656;38;195
14;B-11704-x40-06.tif;1299;505.099307;424.293303;34.028929;50.139809;1.179617;1.473447;0.678681;0.657891;66.000000;0.734433;138.765000;85.785989;36;205
15;B-11704-x40-06.tif;1454;559.143741;520.575653;35.599662;52.317233;1.050255;1.469599;0.680458;0.676371;31.000000;0.732787;138.527000;90.193260;50;193
16;B-11704-x40-06.tif;1428;564.348739;443.158964;30.795117;59.932545;1.231213;1.946170;0.513830;0.506189;74.000000;0.857892;148.640000;90.675070;38;204
17;B-11704-x40-06.tif;3111;585.297332;387.788492;54.468982;75.911689;1.388357;1.393668;0.717531;0.687374;319.000000;0.696527;232.973000;91.133076;47;213
18;B-11704-x40-06.tif;1791;592.394752;497.201005;41.936720;54.475448;1.009619;1.298992;0.769828;0.768430;39.000000;0.638252;150.741000;96.261307;32;194
19;B-11704-x40-06.tif;947;610.273495;341.124604;29.855118;41.625233;1.098515;1.394241;0.717236;0.695900;39.000000;0.696830;114.336000;85.864836;45;176
20;B-11704-x40-06.tif;1655;624.277946;466.199396;41.109749;51.483244;0.991574;1.252337;0.798507;0.795017;30.000000;0.601985;143.604000;96.602417;30;231
21;B-11704-x40-06.tif;1338;655.095665;525.507474;37.021588;46.325930;1.008562;1.251322;0.799155;0.793813;32.000000;0.601125;130.222000;82.435725;38;193
22;B-11704-x40-06.tif;1448;676.831492;424.101519;37.888929;50.005428;1.303068;1.319790;0.757696;0.737300;89.000000;0.652607;153.983000;92.716851;36;180
23;B-11704-x40-06.tif;1852;684.458423;489.997300;43.160034;54.724890;0.998236;1.267953;0.788673;0.787374;32.000000;0.614813;152.420000;97.381749;29;195
24;B-11704-x40-06.tif;1521;689.589086;360.284024;41.149132;47.734341;1.075704;1.160033;0.862045;0.849919;59.000000;0.506832;143.389000;97.103879;54;160
25;B-11704-x40-06.tif;1777;723.749015;593.687676;41.149226;56.446993;1.364011;1.371763;0.728989;0.710094;145.000000;0.684526;174.525000;95.879572;51;181
26;B-11704-x40-06.tif;1105;723.081448;402.485973;31.555843;45.469723;1.105887;1.440929;0.693997;0.680499;47.000000;0.719978;123.920000;94.923982;36;180
