No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11930-x40-05.tif;1182;658.818951;492.383249;31.353440;48.910388;1.099720;1.559969;0.641038;0.629108;46.000000;0.767509;127.807000;0.337370;1.639541e-01;8.440691e-01
2;B-11930-x40-05.tif;1263;707.830562;482.612827;34.618188;47.521996;1.084265;1.372746;0.728467;0.712072;68.000000;0.685081;131.182000;0.323425;1.739709e-01;8.030408e-01
3;B-11930-x40-05.tif;1065;719.900469;513.721127;32.256899;42.300839;1.013309;1.311373;0.762559;0.757812;30.000000;0.646918;116.453000;0.365903;2.084140e-01;1.057390e+00
4;B-11930-x40-05.tif;1274;759.037677;445.174254;35.451416;47.288674;1.115812;1.333901;0.749681;0.725380;93.000000;0.661799;133.655000;0.277071;1.629610e-01;7.129913e-01
5;B-11930-x40-05.tif;1601;768.159275;480.339788;44.683867;48.865075;1.230237;1.093573;0.914434;0.853698;158.000000;0.404736;157.324000;0.352140;2.121526e-01;7.686064e-01
6;B-11930-x40-05.tif;1464;791.153689;382.415301;41.147271;45.653897;0.990201;1.109524;0.901287;0.894325;33.000000;0.433222;134.970000;0.309672;1.826677e-01;7.819025e-01
7;B-11930-x40-05.tif;1320;802.122727;500.478030;37.045642;45.648481;1.033920;1.232223;0.811542;0.806550;49.000000;0.584295;130.959000;0.381964;2.270812e-01;9.579499e-01
8;B-11930-x40-05.tif;1519;805.580645;420.042133;40.620278;47.928057;1.019763;1.179905;0.847526;0.841954;54.000000;0.530754;139.519000;0.326610;1.762452e-01;9.417726e-01
9;B-11930-x40-05.tif;1356;837.962389;442.559735;41.078715;42.385356;1.021405;1.031808;0.969172;0.961033;45.000000;0.246384;131.927000;0.344232;1.803709e-01;8.652876e-01
10;B-11930-x40-05.tif;1063;839.140169;159.844779;32.251973;42.060757;0.991280;1.304130;0.766795;0.765049;20.000000;0.641892;115.072000;0.317898;1.370829e-01;8.746029e-01
11;B-11930-x40-05.tif;1123;837.197685;355.968833;32.860731;43.961091;1.013275;1.337800;0.747496;0.739866;20.000000;0.664267;119.580000;0.276178;1.372926e-01;7.411292e-01
12;B-11930-x40-05.tif;1543;859.331821;381.624757;39.155872;50.543410;0.997134;1.290826;0.774698;0.769037;21.000000;0.632332;139.048000;0.316466;1.631809e-01;9.624997e-01
13;B-11930-x40-05.tif;1357;871.887251;181.356669;38.602879;44.923674;0.980728;1.163739;0.859299;0.856129;15.000000;0.511473;129.321000;0.312609;1.835579e-01;8.164198e-01
14;B-11930-x40-05.tif;1135;870.052863;465.816740;33.024102;44.025472;1.052518;1.333132;0.750114;0.745586;37.000000;0.661309;122.523000;0.377158;2.435112e-01;1.036872e+00
15;B-11930-x40-05.tif;1437;884.743911;327.910230;37.340119;50.181966;1.081665;1.343916;0.744094;0.726560;72.000000;0.668075;139.759000;0.308715;1.611051e-01;8.468253e-01
16;B-11930-x40-05.tif;1293;883.757927;232.505800;35.378694;47.122793;1.061903;1.331954;0.750777;0.741390;50.000000;0.660556;131.355000;0.311459;1.287253e-01;7.048462e-01
17;B-11930-x40-05.tif;1136;889.593310;282.126761;33.309038;44.937399;1.100854;1.349105;0.741232;0.716263;77.000000;0.671249;125.360000;0.277913;1.487553e-01;8.189121e-01
18;B-11930-x40-05.tif;1114;895.283662;404.282765;33.068394;43.043249;0.983518;1.301643;0.768260;0.765571;19.000000;0.640138;117.338000;0.331733;2.025709e-01;9.557306e-01
19;B-11930-x40-05.tif;1409;912.240596;356.054649;40.783520;44.065517;0.960434;1.080474;0.925520;0.923897;16.000000;0.378699;130.405000;0.331912;1.930701e-01;9.106236e-01
20;B-11930-x40-05.tif;1366;914.722548;180.270864;38.098483;45.745487;0.979003;1.200717;0.832836;0.831121;23.000000;0.553520;129.635000;0.327679;1.929752e-01;9.615956e-01
21;B-11930-x40-05.tif;3345;939.843647;263.559940;54.841591;81.617565;1.557139;1.488242;0.671934;0.639350;314.000000;0.740611;255.839000;0.313474;1.038686e-01;9.185800e-01
22;B-11930-x40-05.tif;1432;928.221369;221.767458;41.761238;44.646466;1.065990;1.069089;0.935376;0.914701;79.000000;0.353655;138.501000;0.299873;1.780713e-01;7.208552e-01
23;B-11930-x40-05.tif;1498;936.856475;314.132844;41.789738;45.872213;0.991344;1.097691;0.911003;0.906406;34.000000;0.412399;136.607000;0.349012;2.090761e-01;9.383756e-01
24;B-11930-x40-05.tif;1364;945.175220;380.980938;36.672016;47.421320;0.990979;1.293120;0.773323;0.772284;33.000000;0.634012;130.330000;0.347235;2.027333e-01;9.911989e-01
25;B-11930-x40-05.tif;1084;982.958487;322.284133;34.677718;39.910956;0.975153;1.150911;0.868877;0.866473;21.000000;0.495028;115.254000;0.358502;1.942991e-01;1.163593e+00
26;B-11930-x40-05.tif;747;986.572959;272.293173;25.446395;37.934637;1.043968;1.490767;0.670796;0.660935;33.000000;0.741642;98.994000;0.332689;1.725581e-01;1.125554e+00
