No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1637;96.792914;548.037874;38.490276;54.416137;1.073660;1.413763;0.707332;0.703888;53.000000;0.706881;148.615000;0.373716;1.342446e-01;1.205171e+00
2;B-hosp1385-x40-09.tif;2519;127.169512;592.597856;52.664767;61.236742;0.993215;1.162765;0.860019;0.855291;39.000000;0.510262;177.313000;0.300034;9.252765e-02;1.278394e+00
3;B-hosp1385-x40-09.tif;2727;134.646865;492.329300;51.208781;68.694133;1.075942;1.341452;0.745461;0.735794;95.000000;0.666550;192.018000;0.338004;5.491095e-02;1.403077e+00
4;B-hosp1385-x40-09.tif;1529;126.531066;647.406802;39.680099;49.169579;0.991455;1.239150;0.807005;0.805239;34.000000;0.590545;138.021000;0.299704;6.940024e-02;8.684320e-01
5;B-hosp1385-x40-09.tif;1752;156.526256;397.085616;44.339605;51.344737;1.218411;1.157988;0.863567;0.846160;110.000000;0.504235;163.783000;0.392349;1.191615e-01;1.569571e+00
6;B-hosp1385-x40-09.tif;2420;175.477686;635.802066;53.259422;58.048979;0.996397;1.089929;0.917491;0.914400;49.000000;0.397756;174.072000;0.263453;7.935761e-02;9.930535e-01
7;B-hosp1385-x40-09.tif;1471;166.570360;691.683209;41.739217;45.043068;0.972245;1.079155;0.926651;0.923139;27.000000;0.375922;134.060000;0.291550;7.976942e-02;1.646361e+00
8;B-hosp1385-x40-09.tif;1067;187.084349;580.705717;33.195571;42.116778;1.082012;1.268747;0.788179;0.765886;21.000000;0.615446;120.449000;0.269306;1.107909e-01;1.158761e+00
9;B-hosp1385-x40-09.tif;2840;203.664437;536.671831;58.572847;61.804030;0.973928;1.055165;0.947719;0.946662;38.000000;0.319106;186.435000;0.295869;9.609207e-02;1.051340e+00
10;B-hosp1385-x40-09.tif;1618;203.204574;425.695921;43.204345;47.786283;0.989861;1.106053;0.904116;0.902157;27.000000;0.427287;141.867000;0.334709;1.623732e-01;9.794704e-01
11;B-hosp1385-x40-09.tif;1828;219.847921;608.296499;45.454030;52.270741;1.157184;1.149969;0.869588;0.851862;145.000000;0.493777;163.040000;0.256814;7.187776e-02;1.244427e+00
12;B-hosp1385-x40-09.tif;1667;214.871026;729.376725;44.465732;48.201025;1.053288;1.084004;0.922506;0.913552;48.000000;0.385983;148.541000;0.307180;3.090244e-02;1.634417e+00
13;B-hosp1385-x40-09.tif;2987;227.203883;326.368597;56.424929;67.853494;0.999706;1.202545;0.831570;0.826040;50.000000;0.555420;193.713000;0.323742;9.014624e-02;1.260066e+00
14;B-hosp1385-x40-09.tif;3037;240.032269;491.682252;53.459387;72.505273;1.011826;1.356268;0.737317;0.735556;43.000000;0.675547;196.508000;0.308469;1.138592e-01;1.144478e+00
15;B-hosp1385-x40-09.tif;2323;231.036160;664.721050;51.523543;57.506199;0.972107;1.116115;0.895965;0.894396;32.000000;0.444125;168.456000;0.253113;3.882884e-02;1.283600e+00
16;B-hosp1385-x40-09.tif;1896;259.887131;396.018460;41.979546;57.647243;1.010194;1.373222;0.728214;0.726426;33.000000;0.685350;155.141000;0.349689;1.911121e-01;8.577528e-01
17;B-hosp1385-x40-09.tif;2856;262.069328;561.627801;56.621180;64.472091;1.017725;1.138657;0.878228;0.874832;64.000000;0.478243;191.117000;0.286375;8.630331e-02;1.122053e+00
18;B-hosp1385-x40-09.tif;1805;256.438227;441.507479;47.681659;48.242650;0.967463;1.011765;0.988371;0.987473;29.000000;0.152059;148.136000;0.320105;1.211421e-01;7.540631e-01
19;B-hosp1385-x40-09.tif;1534;269.549544;240.244459;36.769985;54.276580;1.241657;1.476111;0.677456;0.662995;117.000000;0.735563;154.710000;0.409777;5.272900e-02;1.897397e+00
20;B-hosp1385-x40-09.tif;1003;266.516451;283.679960;29.809666;44.053586;1.122752;1.477829;0.676668;0.658034;71.000000;0.736288;118.959000;0.295154;1.552466e-01;1.306718e+00
21;B-hosp1385-x40-09.tif;1374;271.375546;771.922125;38.502191;45.640093;1.010027;1.185390;0.843605;0.839854;32.000000;0.536965;132.058000;0.287361;6.959218e-02;1.731506e+00
22;B-hosp1385-x40-09.tif;1244;281.671222;312.687299;36.560282;43.788201;1.013655;1.197699;0.834935;0.826069;45.000000;0.550349;125.881000;0.301256;1.206946e-01;1.450032e+00
23;B-hosp1385-x40-09.tif;1662;286.196149;653.850782;41.438493;51.226425;0.984787;1.236204;0.808928;0.806405;21.000000;0.587908;143.414000;0.285543;1.103580e-01;8.468183e-01
24;B-hosp1385-x40-09.tif;3052;307.269004;524.177588;53.383917;73.071648;1.045877;1.368795;0.730569;0.727775;62.000000;0.682838;200.280000;0.319911;1.013827e-01;1.065309e+00
25;B-hosp1385-x40-09.tif;2491;308.705339;365.603774;54.626593;58.166237;0.978413;1.064797;0.939146;0.937437;42.000000;0.343518;175.006000;0.281586;4.225893e-02;1.216776e+00
26;B-hosp1385-x40-09.tif;931;303.486574;473.832438;33.716256;35.774417;1.026218;1.061044;0.942468;0.926221;33.000000;0.334295;109.572000;0.253741;2.883782e-02;1.290985e+00
27;B-hosp1385-x40-09.tif;1759;312.544628;179.656623;43.177007;52.473430;1.082496;1.215310;0.822836;0.813387;49.000000;0.568279;154.686000;0.361751;1.553180e-01;1.122765e+00
28;B-hosp1385-x40-09.tif;2957;319.226243;757.957727;53.163111;77.607219;2.245892;1.459795;0.685028;0.625111;700.000000;0.728517;288.885000;0.377070;6.348958e-02;9.529626e-01
29;B-hosp1385-x40-09.tif;2958;343.578431;459.455037;60.430825;63.625410;1.123858;1.052864;0.949791;0.930352;134.000000;0.312886;204.390000;0.276705;7.561246e-02;1.145094e+00
30;B-hosp1385-x40-09.tif;3168;350.805240;274.546086;61.450700;65.920475;1.028740;1.072738;0.932194;0.928228;77.000000;0.361958;202.372000;0.314740;1.344955e-01;9.749178e-01
31;B-hosp1385-x40-09.tif;1777;344.388858;408.154192;44.409548;51.040264;0.991496;1.149308;0.870089;0.868504;42.000000;0.492895;148.797000;0.313525;8.581800e-02;9.544569e-01
32;B-hosp1385-x40-09.tif;2481;354.257154;143.371624;47.549293;69.616721;1.300950;1.464096;0.683015;0.651793;147.000000;0.730404;201.395000;0.337849;1.169048e-01;1.289663e+00
33;B-hosp1385-x40-09.tif;2760;379.327536;347.240217;57.010764;62.437143;1.054304;1.095182;0.913091;0.901432;120.000000;0.407757;191.224000;0.275408;8.950442e-02;1.049519e+00
34;B-hosp1385-x40-09.tif;3509;389.503277;216.991451;64.123372;69.741179;0.986341;1.087609;0.919448;0.918576;51.000000;0.393212;208.550000;0.322222;4.694358e-02;1.045154e+00
35;B-hosp1385-x40-09.tif;1843;383.487792;498.274010;44.501581;53.001664;1.044127;1.191006;0.839626;0.835327;60.000000;0.543165;155.505000;0.329165;1.387284e-01;1.013243e+00
36;B-hosp1385-x40-09.tif;2810;399.967972;411.942349;53.252622;67.885749;1.038677;1.274787;0.784445;0.776353;88.000000;0.620199;191.513000;0.283764;7.462362e-02;1.055872e+00
37;B-hosp1385-x40-09.tif;2780;410.726619;460.062590;48.408108;73.984035;1.108619;1.528340;0.654305;0.646664;91.000000;0.756231;196.797000;0.233039;6.753805e-02;1.023738e+00
38;B-hosp1385-x40-09.tif;363;410.330579;706.550964;12.683235;48.022504;2.231677;3.786298;0.264110;0.200414;140.000000;0.964493;100.896000;0.574562;1.761739e-01;8.481724e-01
39;B-hosp1385-x40-09.tif;5231;435.689543;329.054483;70.253722;96.954270;1.265518;1.380059;0.724607;0.708534;437.000000;0.689163;288.424000;0.274163;6.545761e-02;1.185484e+00
40;B-hosp1385-x40-09.tif;963;433.539979;677.476636;25.671233;56.390515;1.803658;2.196642;0.455240;0.385589;292.000000;0.890369;147.739000;0.686004;8.797462e-02;1.101725e+00
41;B-hosp1385-x40-09.tif;3136;455.037946;264.992666;54.191645;74.200708;1.090741;1.369228;0.730339;0.725220;146.000000;0.683085;207.326000;0.267340;2.325280e-02;1.038188e+00
42;B-hosp1385-x40-09.tif;1282;452.771451;641.230109;30.724206;64.007671;2.135023;2.083298;0.480008;0.398414;562.000000;0.877264;185.460000;0.710532;8.413045e-02;1.162715e+00
43;B-hosp1385-x40-09.tif;1871;467.746660;383.718867;40.077398;60.750420;1.107080;1.515827;0.659706;0.645484;100.000000;0.751524;161.336000;0.312474;8.605683e-02;9.411078e-01
44;B-hosp1385-x40-09.tif;1842;469.275787;216.528773;45.056240;52.139017;0.981561;1.157199;0.864156;0.862728;36.000000;0.503224;150.733000;0.308663;6.463549e-02;1.050916e+00
45;B-hosp1385-x40-09.tif;850;512.382353;666.738824;33.364801;58.578477;2.644171;1.755697;0.569574;0.315394;660.000000;0.821940;168.058000;0.739795;1.322940e-01;1.263965e+00
46;B-hosp1385-x40-09.tif;3011;521.908004;215.377615;56.991893;67.360058;0.984634;1.181924;0.846078;0.844921;40.000000;0.533058;193.018000;0.290801;8.454278e-02;1.162157e+00
47;B-hosp1385-x40-09.tif;2725;528.042202;346.642936;55.152152;63.292519;1.036109;1.147598;0.871385;0.866108;85.000000;0.490600;188.361000;0.255196;2.985453e-02;9.264748e-01
48;B-hosp1385-x40-09.tif;1938;537.271414;398.861197;45.248923;55.741605;1.272258;1.231888;0.811762;0.794154;101.000000;0.583988;176.023000;0.327146;1.065367e-01;1.279520e+00
49;B-hosp1385-x40-09.tif;3066;548.556099;294.998695;59.306143;66.018038;1.011396;1.113174;0.898332;0.895689;77.000000;0.439316;197.402000;0.290621;6.773371e-02;1.291372e+00
50;B-hosp1385-x40-09.tif;880;551.676136;672.503409;27.965726;48.334226;1.650779;1.728338;0.578591;0.479605;247.000000;0.815618;135.111000;0.843711;7.620440e-02;1.419562e+00
51;B-hosp1385-x40-09.tif;2676;576.891256;80.231315;50.017574;68.168708;1.009639;1.362895;0.733732;0.733206;42.000000;0.679439;184.260000;0.263887;7.459543e-02;1.128792e+00
52;B-hosp1385-x40-09.tif;1600;571.793125;207.719375;44.119098;46.290897;0.967901;1.049226;0.953084;0.950690;29.000000;0.302707;139.502000;0.300977;1.060217e-01;1.006578e+00
53;B-hosp1385-x40-09.tif;665;572.815038;741.112782;28.337975;52.285679;2.692938;1.845075;0.541983;0.309718;502.000000;0.840389;150.013000;0.599255;9.241413e-02;1.056067e+00
54;B-hosp1385-x40-09.tif;3081;592.732230;343.612788;60.245153;65.322397;1.001654;1.084276;0.922274;0.919343;58.000000;0.386537;196.929000;0.288676;5.279190e-02;1.174474e+00
55;B-hosp1385-x40-09.tif;2539;593.356440;444.398976;55.106497;58.786787;0.976685;1.066785;0.937396;0.935434;39.000000;0.348265;176.528000;0.277148;4.297962e-02;1.493737e+00
56;B-hosp1385-x40-09.tif;1531;591.775310;393.869366;39.868641;49.114819;1.014760;1.231916;0.811744;0.808091;35.000000;0.584014;139.725000;0.286526;7.944328e-02;1.117713e+00
57;B-hosp1385-x40-09.tif;3027;606.525273;562.016518;55.149657;71.972597;1.151760;1.305042;0.766259;0.744026;178.000000;0.642532;209.311000;0.249696;3.680464e-02;1.341246e+00
58;B-hosp1385-x40-09.tif;1828;610.541575;253.971007;42.260103;56.079736;1.159271;1.327014;0.753572;0.740073;93.000000;0.657366;163.187000;0.329970;7.626739e-02;1.132570e+00
59;B-hosp1385-x40-09.tif;511;600.297456;714.234834;23.976588;32.467065;1.437920;1.354115;0.738490;0.617227;102.000000;0.674265;96.091000;0.732435;8.692246e-02;1.259384e+00
60;B-hosp1385-x40-09.tif;1930;645.996373;314.821762;46.658443;52.919214;1.162938;1.134183;0.881692;0.877487;53.000000;0.471826;167.943000;0.331692;8.423622e-02;1.153272e+00
61;B-hosp1385-x40-09.tif;3072;650.371745;384.501302;56.984471;69.209349;1.077603;1.214530;0.823364;0.816586;98.000000;0.567514;203.960000;0.297793;6.750141e-02;1.010200e+00
62;B-hosp1385-x40-09.tif;2702;661.891192;481.420799;51.896162;70.705309;1.510105;1.362438;0.733978;0.688163;259.000000;0.679173;226.439000;0.258763;2.678287e-02;1.279644e+00
63;B-hosp1385-x40-09.tif;1919;665.916102;260.200104;47.482226;51.657749;0.975023;1.087939;0.919169;0.915618;30.000000;0.393862;153.338000;0.324417;8.083395e-02;1.084386e+00
